#,Item[0],Item[1],Item[2],Item[3],Item[4]
1,0,0,0,0,0
2642,45094,0,0,0,0
2643,45095,0,0,0,0
2650,45112,0,0,0,0
2770,51330,0,0,0,0
2771,51331,0,0,0,0
2772,51329,0,0,0,0
2920,50659,0,0,0,0
2921,50660,0,0,0,0
2922,50661,0,0,0,0
2923,50662,0,0,0,0
2924,50663,0,0,0,0
2925,50664,0,0,0,0
2926,50665,0,0,0,0
2927,50666,0,0,0,0
2928,50667,0,0,0,0
2929,50668,0,0,0,0
2930,50669,0,0,0,0
2965,45094,0,0,0,0
2966,45095,0,0,0,0
2973,45102,0,0,0,0
2974,45103,0,0,0,0
2975,45104,0,0,0,0
2976,45105,0,0,0,0
2977,45106,0,0,0,0
2978,45107,0,0,0,0
2979,45108,0,0,0,0
2980,45109,0,0,0,0
2981,45110,0,0,0,0
2982,45111,0,0,0,0
2983,50467,0,0,0,0
2984,50468,0,0,0,0
2985,50469,0,0,0,0
2986,50470,0,0,0,0
2987,50471,0,0,0,0
2988,50472,0,0,0,0
2989,50473,0,0,0,0
2990,50474,0,0,0,0
2991,50475,0,0,0,0
2992,50476,0,0,0,0
2993,45112,0,0,0,0
3034,51327,0,0,0,0
3035,51328,0,0,0,0
3122,51329,0,0,0,0
3123,51330,0,0,0,0
3124,51331,0,0,0,0
3189,51332,0,0,0,0
3190,51333,0,0,0,0
3229,50659,0,0,0,0
3230,50660,0,0,0,0
3231,50661,0,0,0,0
3232,50662,0,0,0,0
3233,50663,0,0,0,0
3234,50664,0,0,0,0
3235,50665,0,0,0,0
3236,50666,0,0,0,0
3237,50667,0,0,0,0
3238,50668,0,0,0,0
3239,50669,0,0,0,0
3286,45102,0,0,0,0
3287,45103,0,0,0,0
3288,45104,0,0,0,0
3289,45105,0,0,0,0
3290,45106,0,0,0,0
3291,45107,0,0,0,0
3292,45108,0,0,0,0
3293,45109,0,0,0,0
3294,45110,0,0,0,0
3295,45111,0,0,0,0
3296,50467,0,0,0,0
3297,50468,0,0,0,0
