#,SupplyItem[0],SupplyItem[1],SupplyItem[2],SupplyItem[3],SupplyItem[4],SupplyItem[5],SupplyItem[6],SupplyItem[7],SupplyItem[8],SupplyItem[9],SupplyItem[10],SupplyItem[11],SetQuantity[0],SetQuantity[1],SetQuantity[2],SetQuantity[3],SetQuantity[4],SetQuantity[5],SetQuantity[6],SetQuantity[7],SetQuantity[8],SetQuantity[9],SetQuantity[10],SetQuantity[11],SetsRequired[0],SetsRequired[1],SetsRequired[2],SetsRequired[3],SetsRequired[4],SetsRequired[5],SetsRequired[6],SetsRequired[7],SetsRequired[8],SetsRequired[9],SetsRequired[10],SetsRequired[11]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,112,113,229,340,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
2,9,216,340,630,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
3,12,337,346,412,628,0,0,0,0,0,0,0,2,3,3,2,3,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0
4,340,649,866,854,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
5,340,650,866,854,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
6,340,651,866,854,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,112,113,229,340,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
51,18,220,346,643,0,0,0,0,0,0,0,0,3,3,6,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
52,17,337,355,419,628,0,0,0,0,0,0,0,4,3,3,4,3,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0
53,340,652,866,854,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
54,340,653,866,854,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
55,340,654,866,854,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,115,232,346,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0
101,19,234,646,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0
102,22,363,359,420,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,115,234,359,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0
106,19,238,646,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0
107,22,354,363,420,0,0,0,0,0,0,0,0,1,5,2,2,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
