#,Text[0],Text[1],Text[2],Image,Type,IconType,TextType
0,,,,0,0,0,0
1,,,,150011,0,0,0
2,,,,150012,0,0,0
3,,,,0,0,0,0
4,,,,0,0,0,0
5,"Les personnages proposant des quêtes sont facilement reconnaissables grâce à l'icone en forme de **point d'exclamation** au-dessus de leur tête.

Faites un **clic droit** sur Ryssfloh pour lancer la quête.","Les personnages proposant des quêtes sont facilement reconnaissables grâce à l'icone en forme de **point d'exclamation** au-dessus de leur tête.

Faites un **clic droit** sur Bertennant pour lancer la quête.","Les personnages proposant des quêtes sont facilement reconnaissables grâce à l'icone en forme de **point d'exclamation** au-dessus de leur tête.

Faites un **clic droit** sur Wymond pour lancer la quête.",150021,1,1,1
6,"Les personnages proposant des quêtes sont facilement reconnaissables grâce à l'icone en forme de **point d'exclamation** au-dessus de leur tête.

Pour lancer la quête, ciblez Ryssfloh et pressez ensuite la touche **Confirmer**.","Les personnages proposant des quêtes sont facilement reconnaissables grâce à l'icone en forme de **point d'exclamation** au-dessus de leur tête.

Pour lancer la quête, ciblez Bertennant et pressez ensuite la touche **Confirmer**.","Les personnages proposant des quêtes sont facilement reconnaissables grâce à l'icone en forme de **point d'exclamation** au-dessus de leur tête.

Pour lancer la quête, ciblez Wymond et pressez ensuite la touche **Confirmer**.",150022,1,1,1
7,,,,0,0,0,0
8,,,,0,0,0,0
9,,,,0,0,0,0
10,"Lorsque vous lancez une quête, une fenêtre vous présentant brièvement son contenu ainsi que la récompense apparaît à l'écran.
Si cela vous intéresse et que vous vous sentez à la hauteur de la tâche, n'hésitez pas et cliquez sur **Accepter**.",,,150121,1,1,0
11,"Lorsque vous lancez une quête, une fenêtre vous présentant brièvement son contenu ainsi que la récompense apparaît à l'écran.
Si cela vous intéresse et que vous vous sentez à la hauteur de la tâche, n'hésitez pas et sélectionnez **Accepter**.",,,150121,1,1,0
12,,,,0,0,0,0
13,,,,0,0,0,0
14,,,,0,0,0,0
15,"Lorsque vous remplissez tous les objectifs d'une quête, vous recevez une **récompense**. Celle-ci peut prendre la forme de points d'expérience, de gils, ou encore d'objets.

Parlez à Baderon et accomplissez votre première quête !","Lorsque vous remplissez tous les objectifs d'une quête, vous recevez une **récompense**. Celle-ci peut prendre la forme de points d'expérience, de gils, ou encore d'objets.

Parlez à Miounne et accomplissez votre première quête !","Lorsque vous remplissez tous les objectifs d'une quête, vous recevez une **récompense**. Celle-ci peut prendre la forme de points d'expérience, de gils, ou encore d'objets.

Parlez à Momodi et accomplissez votre première quête !",150811,1,1,1
16,"Lorsque vous remplissez tous les objectifs d'une quête, vous recevez une **récompense**. Celle-ci peut prendre la forme de points d'expérience, de gils, ou encore d'objets.

Parlez à Baderon et accomplissez votre première quête !","Lorsque vous remplissez tous les objectifs d'une quête, vous recevez une **récompense**. Celle-ci peut prendre la forme de points d'expérience, de gils, ou encore d'objets.

Parlez à Miounne et accomplissez votre première quête !","Lorsque vous remplissez tous les objectifs d'une quête, vous recevez une **récompense**. Celle-ci peut prendre la forme de points d'expérience, de gils, ou encore d'objets.

Parlez à Momodi et accomplissez votre première quête !",150812,1,1,1
17,,,,0,0,0,0
18,,,,0,0,0,0
19,,,,0,0,0,0
20,"Le **menu principal** permet d'accéder rapidement aux fonctions les plus utilisées dans le jeu. L'option **Personnage**, par exemple, permet de voir diverses ca­rac­té­ris­ti­ques de votre personnage ainsi que son équipement. L'option **Journal**, quant à elle, permet d'obtenir des in­for­ma­tions relatives aux quêtes en cours ou achevées.",,,150141,1,0,0
21,"Pour accéder aux différentes options de personnalisation, telles que l'attribution des touches, la configuration sonore et graphique, les macros ou encore l'ATH, ouvrez le menu **Système**. Si vous voulez revoir les fenêtres d'aide contextuelle, sélectionnez le menu **Tutoriel**.",,,150142,1,0,0
22,"La progression dans le jeu est **au­to­ma­ti­que­ment sauvegardée**. Il est, par conséquent, possible de quitter le jeu à tout moment. Cependant, afin de prévenir tout risque de corruption des données, il est recommandé de terminer une partie en utilisant l'option **Déconnexion** ou **Quitter le jeu** à partir du menu **Système**.",,,150143,1,0,0
23,,,,0,0,0,0
24,,,,0,0,0,0
25,"Le sort **Rapatriement** vous permet de retourner im­mé­dia­te­ment à l'éthérite que vous avez enregistrée comme **point de retour**. Pour l'utiliser, cliquez sur l'icone **Déplacements** du menu principal et choisissez l'option “Rapatriement”.",,,150131,1,0,0
26,"Vous ne pouvez enregistrer qu'une seule éthérite comme **point de retour**. Pour ce faire, effectuez un **clic droit** sur l'éthérite de votre choix.
Le sort Rapatriement ne consomme aucun PM, néanmoins un délai de **15 minutes** est nécessaire pour pouvoir le lancer de nouveau.",,,150132,1,0,0
27,"Le sort **Rapatriement** vous permet de retourner im­mé­dia­te­ment à l'éthérite que vous avez enregistrée comme **point de retour**. Pour l'utiliser, ouvrez le menu principal et sélectionnez l'option “Rapatriement” à partir de la rubrique **Déplacements**.",,,150131,1,0,0
28,"Vous ne pouvez enregistrer qu'une seule éthérite comme **point de retour**. Pour ce faire, **ciblez l'éthérite** de votre choix et pressez la touche **Confirmer**.
Le sort Rapatriement ne consomme aucun PM, néanmoins un délai de **15 minutes** est nécessaire pour pouvoir le lancer de nouveau.",,,150133,1,0,0
29,,,,0,0,0,0
30,"Pour afficher la carte, cliquez sur l'icone **Déplacements** du menu principal et sélectionnez l'option “Carte”. Vous pouvez également appuyez sur la touche **M** du clavier.

Les objectifs de quête situés à proximité de votre personnage sont indiqués par des icones.",,,150041,1,1,0
31,"Si vous vous êtes égaré(e) ou que vous avez oublié votre destination, vous pouvez visualiser l'endroit où vous devez vous rendre en cliquant sur l'objectif voulu dans la **liste des objectifs**.",,,150042,1,1,0
32,"Pour afficher la carte, ouvrez le menu principal et sélectionnez l'option “Carte” à partir de la rubrique **Déplacements**.

Les objectifs de quête situés à proximité de votre personnage sont indiqués par des icones.",,,150041,1,1,0
33,"Si vous vous êtes égaré(e) ou que vous avez oublié votre destination, vous pouvez voir l'endroit où vous devez vous rendre en sélectionnant l'objectif voulu dans la **liste des objectifs**, puis en pressant la touche **Confirmer**.",,,150042,1,1,0
34,,,,0,0,0,0
35,"Pour gérer l'équipement de votre personnage, ouvrez la **fenêtre de personnage** à partir du menu principal (ou appuyez sur la touche **P** du clavier).",,,150181,1,0,0
36,"Pour modifier votre équipement, commencez par sélectionner une case d'équipement dans la fenêtre de personnage. Choisissez ensuite l'objet voulu dans l'**arsenal** (ou l'**inventaire**) et utilisez l'option **Équiper** du sous-menu.",,,150182,1,0,0
