#,Description,Unknown1,Level,Category
0,Nécessite d'avoir terminé au moins deux donjons des dernières mises à jour.,5,0,0
1,,8,0,0
2,,1,0,0
3,,1252,0,1
4,"Nécessite d'avoir terminé un donjon sans fond après en avoir obtenu l'accès via une quête de Gridania, et nécessite d'avoir progressé dans une quête de Cristarium.",1281,11875001,2
5,Nécessite d'avoir accès à la mission ci-dessus et terminé la quête correspondante.,1311,11875001,2
6,Nécessite d'avoir progressé dans une quête de donjons spéciaux de Sharlayan.,1315,0,3
7,Nécessite d'avoir terminé la mission ci-dessus et d'avoir obtenu l'accès en parlant à un PNJ.,1316,0,3
8,Nécessite d'avoir terminé la mission ci-dessus et d'avoir obtenu l'accès en parlant à un PNJ.,1317,0,3
9,Nécessite d'avoir progressé dans les Chroniques d'une nouvelle ère de Dawntrail et obtenu l'accès au raid.,1320,0,4
10,Nécessite d'avoir progressé dans les Chroniques d'une nouvelle ère de Dawntrail et obtenu l'accès au raid.,1322,0,4
11,Nécessite d'avoir progressé dans les Chroniques d'une nouvelle ère de Dawntrail et obtenu l'accès au raid.,1324,0,4
12,Nécessite d'avoir progressé dans les Chroniques d'une nouvelle ère de Dawntrail et obtenu l'accès au raid.,1326,0,4
13,Nécessite d'avoir progressé dans les Chroniques d'une nouvelle ère de Dawntrail et obtenu l'accès au raid à difficulté élevée en parlant à un PNJ.,1321,0,4
14,Nécessite d'avoir progressé dans les Chroniques d'une nouvelle ère de Dawntrail et obtenu l'accès au raid à difficulté élevée en parlant à un PNJ.,1323,0,4
15,Nécessite d'avoir progressé dans les Chroniques d'une nouvelle ère de Dawntrail et obtenu l'accès au raid à difficulté élevée en parlant à un PNJ.,1325,0,4
16,Nécessite d'avoir progressé dans les Chroniques d'une nouvelle ère de Dawntrail et obtenu l'accès au raid à difficulté élevée en parlant à un PNJ.,1327,0,4
17,"Nécessite d'avoir progressé dans l'épopée de Dawntrail, terminé le défi, et obtenu l'accès à la difficulté élevée en parlant au ménestrel errant.",1308,0,5
18,,1187,0,6
19,,1188,0,6
20,,1189,0,6
21,,1190,0,6
22,,1191,0,6
23,,1192,0,6
