#,FolkloreBook,Quest,Item,Division,GatheringType,ClassJob,Unknown0
2000,Légendes géologiques du Coerthas,0,12238,2000,1,16,0
2001,Légendes géologiques du Coerthas,0,12238,2000,1,16,0
2002,Légendes botaniques du Coerthas,0,12698,2000,2,17,0
2003,Légendes botaniques du Coerthas,0,12698,2000,2,17,0
2004,Légendes géologiques de Dravania,1,12239,2001,1,16,0
2005,Légendes géologiques de Dravania,1,12239,2001,1,16,0
2006,Légendes botaniques de Dravania,1,12699,2001,2,17,0
2007,Légendes botaniques de Dravania,1,12699,2001,2,17,0
2008,Légendes géologiques d'Abalathia,2,12240,2002,1,16,0
2009,Légendes géologiques d'Abalathia,2,12240,2002,1,16,0
2010,Légendes botaniques d'Abalathia,2,12700,2002,2,17,0
2011,Légendes botaniques d'Abalathia,2,12700,2002,2,17,0
2012,Légendes géologiques de Gyr Abania,3,17838,2003,1,16,0
2013,Légendes géologiques de Gyr Abania,3,17838,2003,1,16,0
2014,Légendes botaniques de Gyr Abania,3,17840,2003,2,17,0
2015,Légendes botaniques de Gyr Abania,3,17840,2003,2,17,0
2016,Légendes géologiques d'Othard,4,17839,2004,1,16,0
2017,Légendes géologiques d'Othard,4,17839,2004,1,16,0
2018,Légendes botaniques d'Othard,4,17841,2004,2,17,0
2019,Légendes botaniques d'Othard,4,17841,2004,2,17,0
2020,Légendes géologiques de Norvrandt,5,26808,2005,1,16,0
2021,Légendes géologiques de Norvrandt,5,26808,2005,1,16,0
2022,Légendes botaniques de Norvrandt,5,26809,2005,2,17,0
2023,Légendes botaniques de Norvrandt,5,26809,2005,2,17,0
2024,Lég. géo. des mers du Nord et d'Ilsabard,6,36598,2010,1,16,0
2025,Lég. géo. des mers du Nord et d'Ilsabard,6,36598,2010,1,16,0
2026,Lég. bot. des mers du Nord et d'Ilsabard,6,36602,2010,2,17,0
2027,Lég. bot. des mers du Nord et d'Ilsabard,6,36602,2010,2,17,0
2028,Lég. géo. de l'espace intersidéral,7,36600,2011,1,16,0
2029,Lég. géo. de l'espace intersidéral,7,36600,2011,1,16,0
2030,Lég. bot. de l'espace intersidéral,7,36604,2011,2,17,0
2031,Lég. bot. de l'espace intersidéral,7,36604,2011,2,17,0
2032,Lég. géo. de l'ancien monde,8,36601,2012,1,16,0
2033,Lég. géo. de l'ancien monde,8,36601,2012,1,16,0
2034,Lég. bot. de l'ancien monde,8,36605,2012,2,17,0
2035,Lég. bot. de l'ancien monde,8,36605,2012,2,17,0
2036,Légendes géologiques du Yok Tural,9,43878,2015,1,16,0
2037,Légendes géologiques du Yok Tural,9,43878,2015,1,16,0
2038,Légendes botaniques du Yok Tural,9,43881,2015,2,17,0
2039,Légendes botaniques du Yok Tural,9,43881,2015,2,17,0
2040,Légendes géologiques du Xak Tural,10,43879,2016,1,16,0
2041,Légendes géologiques du Xak Tural,10,43879,2016,1,16,0
2042,Légendes botaniques du Xak Tural,10,43882,2016,2,17,0
2043,Légendes botaniques du Xak Tural,10,43882,2016,2,17,0
2044,Légendes géologiques d'Alexandrie,11,43880,2017,1,16,0
2045,Légendes géologiques d'Alexandrie,11,43880,2017,1,16,0
2046,Légendes botaniques d'Alexandrie,11,43883,2017,2,17,0
2047,Légendes botaniques d'Alexandrie,11,43883,2017,2,17,0
2200,Azurée : ressources géologiques,74,0,2006,1,16,2
2201,Azurée : ressources géologiques,74,0,2006,1,16,2
2202,Azurée : ressources botaniques,74,0,2006,2,17,2
2203,Azurée : ressources botaniques,74,0,2006,2,17,2
2204,Azurée : ressources géologiques,74,0,2006,1,16,3
2205,Azurée : ressources géologiques,74,0,2006,1,16,3
2206,Azurée : ressources botaniques,74,0,2006,2,17,3
2207,Azurée : ressources botaniques,74,0,2006,2,17,3
2208,Cielacier : ressources géologiques (1),69384,0,2007,1,16,0
2209,Cielacier : ressources géologiques (1),69384,0,2007,1,16,0
2210,Cielacier : ressources botaniques (1),69384,0,2007,2,17,0
2211,Cielacier : ressources botaniques (1),69384,0,2007,2,17,0
2212,Azurée : ressources géologiques,74,0,2006,1,16,4
2213,Azurée : ressources géologiques,74,0,2006,1,16,4
2214,Azurée : ressources botaniques,74,0,2006,2,17,4
2215,Azurée : ressources botaniques,74,0,2006,2,17,4
2216,Cielacier : ressources géologiques (2),69428,0,2007,1,16,0
2217,,69428,0,0,1,16,0
2218,Cielacier : ressources botaniques (2),69428,0,2007,2,17,0
2219,,69428,0,0,2,17,0
2220,Nv 51,67631,0,2008,1,16,0
2221,Nv 51,67631,0,2008,1,16,0
2222,Nv 51,67631,0,2008,2,17,0
2223,Nv 51,67631,0,2008,2,17,0
2224,Nv 56,67631,0,2008,1,16,0
2225,Nv 56,67631,0,2008,1,16,0
2226,Nv 56,67631,0,2008,2,17,0
2227,Nv 56,67631,0,2008,2,17,0
2228,Nv 61,67631,0,2008,1,16,0
2229,Nv 61,67631,0,2008,1,16,0
2230,Nv 61,67631,0,2008,2,17,0
2231,Nv 61,67631,0,2008,2,17,0
2232,Nv 66,67631,0,2008,1,16,0
2233,Nv 66,67631,0,2008,1,16,0
2234,Nv 66,67631,0,2008,2,17,0
2235,Nv 66,67631,0,2008,2,17,0
2236,Nv 71,67631,0,2009,1,16,0
2237,Nv 71,67631,0,2009,1,16,0
2238,Nv 71,67631,0,2009,2,17,0
2239,Nv 71,67631,0,2009,2,17,0
2240,Nv 76,67631,0,2009,1,16,0
2241,Nv 76,67631,0,2009,1,16,0
2242,Nv 76,67631,0,2009,2,17,0
2243,Nv 76,67631,0,2009,2,17,0
2244,Nv 81,67631,0,2013,1,16,0
2245,Nv 81,67631,0,2013,1,16,0
2246,Nv 81,67631,0,2013,2,17,0
2247,Nv 81,67631,0,2013,2,17,0
2248,Azurée : ressources géologiques,74,0,2006,1,16,5
2249,Azurée : ressources géologiques,74,0,2006,1,16,5
2250,Azurée : ressources botaniques,74,0,2006,2,17,5
2251,Azurée : ressources botaniques,74,0,2006,2,17,5
2252,Cielacier : ressources géologiques (3),69518,0,2007,1,16,0
2253,,69518,0,0,1,16,0
2254,Cielacier : ressources botaniques (3),69518,0,2007,2,17,0
2255,,69518,0,0,2,17,0
2256,Nv 86,67631,0,2013,1,16,0
2257,Nv 86,67631,0,2013,1,16,0
2258,Nv 86,67631,0,2013,2,17,0
2259,Nv 86,67631,0,2013,2,17,0
2260,,70137,0,0,1,16,0
2261,,70137,0,0,1,16,0
2262,,70137,0,0,2,17,0
2263,,70137,0,0,2,17,0
2264,,70138,0,0,1,16,0
2265,,70138,0,0,1,16,0
2266,,70138,0,0,2,17,0
2267,,70138,0,0,2,17,0
2268,,70139,0,0,1,16,0
2269,,70139,0,0,1,16,0
2270,,70139,0,0,2,17,0
2271,,70139,0,0,2,17,0
2272,Merveilles : ressources géologiques (1),70266,0,2014,1,16,0
2273,,70266,0,2014,1,16,0
2274,Merveilles : ressources botaniques (1),70266,0,2014,2,17,0
2275,,70266,0,2014,2,17,0
2276,Merveilles : ressources géologiques (2),70303,0,2014,1,16,0
2277,,70303,0,2014,1,16,0
2278,Merveilles : ressources botaniques (2),70303,0,2014,2,17,0
2279,,70303,0,2014,2,17,0
2280,Merveilles : ressources géologiques (3),70338,0,2014,1,16,0
2281,,70338,0,2014,1,16,0
2282,Merveilles : ressources botaniques (3),70338,0,2014,2,17,0
2283,,70338,0,2014,2,17,0
2284,Nv 91,67631,0,2018,1,16,0
2285,Nv 91,67631,0,2018,1,16,0
2286,Nv 91,67631,0,2018,2,17,0
2287,Nv 91,67631,0,2018,2,17,0
2288,Nv 96,67631,0,2018,1,16,0
2289,Nv 96,67631,0,2018,1,16,0
2290,Nv 96,67631,0,2018,2,17,0
2291,Nv 96,67631,0,2018,2,17,0
2292,,70495,0,0,1,16,0
2293,,70495,0,0,1,16,0
2294,,70495,0,0,2,17,0
2295,,70495,0,0,2,17,0
2296,,70791,0,0,1,16,0
2297,,70791,0,0,1,16,0
2298,,70791,0,0,2,17,0
2299,,70791,0,0,2,17,0
2300,,0,0,0,0,0,0
2301,,0,0,0,0,0,0
2302,,0,0,0,0,0,0
2303,,0,0,0,0,0,0
2304,,0,0,0,0,0,0
2305,,0,0,0,0,0,0
2306,,0,0,0,0,0,0
2307,,0,0,0,0,0,0
2308,,0,0,0,0,0,0
2309,,0,0,0,0,0,0
2310,,0,0,0,0,0,0
2311,,0,0,0,0,0,0
2312,,0,0,0,0,0,0
2313,,0,0,0,0,0,0
2314,,0,0,0,0,0,0
2315,,0,0,0,0,0,0
2316,,0,0,0,0,0,0
2317,,0,0,0,0,0,0
2318,,0,0,0,0,0,0
2319,,0,0,0,0,0,0
2320,,0,0,0,0,0,0
2321,,0,0,0,0,0,0
2322,,0,0,0,0,0,0
2323,,0,0,0,0,0,0
2324,,0,0,0,0,0,0
2325,,0,0,0,0,0,0
2326,,0,0,0,0,0,0
2327,,0,0,0,0,0,0
2328,,0,0,0,0,0,0
2329,,0,0,0,0,0,0
2330,,0,0,0,0,0,0
2331,,0,0,0,0,0,0
2332,,0,0,0,0,0,0
2333,,0,0,0,0,0,0
2334,,0,0,0,0,0,0
2335,,0,0,0,0,0,0
2336,,0,0,0,0,0,0
2337,,0,0,0,0,0,0
2338,,0,0,0,0,0,0
2339,,0,0,0,0,0,0
2340,,0,0,0,0,0,0
2341,,0,0,0,0,0,0
2342,,0,0,0,0,0,0
2343,,0,0,0,0,0,0
2344,,0,0,0,0,0,0
2345,,0,0,0,0,0,0
2346,,0,0,0,0,0,0
2347,,0,0,0,0,0,0
2348,,0,0,0,0,0,0
2349,,0,0,0,0,0,0
2350,,0,0,0,0,0,0
2500,Légendes ichtyologiques du Coerthas,0,12701,0,3,18,0
2501,Légendes ichtyologiques de Dravania,1,12702,0,3,18,0
2502,Légendes ichtyologiques d'Abalathia,2,12703,0,3,18,0
2503,Légendes ichtyologiques de Gyr Abania,3,17842,0,3,18,0
2504,Légendes ichtyologiques de Gyr Abania,3,17842,0,3,18,0
2505,Légendes ichtyologiques d'Othard,4,17843,0,3,18,0
2506,Légendes ichtyologiques d'Othard,4,17843,0,3,18,0
2507,Légendes ichtyologiques de Norvrandt,5,26810,0,3,18,0
2508,Légendes ichtyologiques de Norvrandt,5,26810,0,3,18,0
2509,Lég. ichtyo. (mers du Nord/Ilsabard),6,36606,2010,3,18,0
2510,Lég. ichtyo. (mers du Nord/Ilsabard),6,36606,2010,3,18,0
2511,Lég. ichtyo. de l'espace intersidéral,7,36608,2011,3,18,0
2512,Lég. ichtyo. de l'espace intersidéral,7,36608,2011,3,18,0
2513,Lég. ichtyo. de l'ancien monde,8,36609,2012,3,18,0
2514,Lég. ichtyo. de l'ancien monde,8,36609,2012,3,18,0
2515,Légendes ichtyologiques du Yok Tural,9,43884,2015,3,18,0
2516,Légendes ichtyologiques du Yok Tural,9,43884,2015,3,18,0
2517,Légendes ichtyologiques du Xak Tural,10,43885,2016,3,18,0
2518,Légendes ichtyologiques du Xak Tural,10,43885,2016,3,18,0
2519,Légendes ichtyologiques d'Alexandrie,11,43886,2017,3,18,0
2520,Légendes ichtyologiques d'Alexandrie,11,43886,2017,3,18,0
