#,Requirement0,Requirement1,Unknown0,Unknown2,Unknown1
65961,66031,0,0,False,False
66572,17,0,0,False,False
67199,17,0,0,False,False
68668,226,0,0,False,True
69307,66031,17,0,False,False
69604,67194,0,0,False,False
69614,67119,0,0,False,False
69686,69953,0,0,False,False
69691,69919,0,0,False,False
69692,69936,0,0,False,False
69694,69970,0,0,False,False
69695,70000,0,0,False,False
69699,69934,0,0,False,False
69700,69954,0,0,False,False
69701,69974,0,0,False,False
69702,70000,67624,0,False,False
69713,69932,0,0,False,False
69714,69988,0,0,False,False
70009,67631,0,0,False,False
70010,69695,69702,0,False,True
70057,17,0,0,False,False
70115,69661,69667,70000,False,True
70186,67910,0,0,False,False
70198,68702,0,0,False,False
70297,69568,0,0,False,False
70348,70286,0,0,False,False
70382,70448,0,0,False,False
70387,67982,0,0,False,False
70392,67205,0,0,False,False
70393,68089,0,0,False,False
70502,67631,0,0,False,False
70503,70531,70538,70786,False,True
70509,70458,0,0,False,False
70515,70432,0,0,False,False
70516,70447,0,0,False,False
70521,70439,0,0,False,False
70523,70448,0,0,False,False
70524,70478,0,0,False,False
70528,70448,0,0,False,False
70535,70430,0,0,False,False
70536,70444,0,0,False,False
70537,70448,0,0,False,False
70538,70475,0,0,False,False
70546,70433,0,0,False,False
70547,70484,0,0,False,False
70548,70495,0,0,False,False
70724,70377,70383,70495,False,True
70831,70786,0,0,False,False
70851,509,0,0,False,False
70852,510,511,512,False,False
70853,513,0,0,False,False
70858,66043,66064,66082,True,False
70942,566,0,0,False,True
70979,65970,0,0,False,False
