#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article
0,,,0,0,0,1,0,0
1,filon de minerai,filons de minerai,0,0,0,1,0,0
2,carrière de pierre,carrières de pierre,0,0,0,1,1,0
3,arbre mature,arbres matures,0,0,1,1,0,0
4,carré de végétation,carrés de végétation,0,0,0,1,0,0
5,filon de minerai intact,filons de minerai intacts,0,0,0,1,0,0
6,carrière de pierre intacte,carrières de pierre intactes,0,0,0,1,1,0
7,arbre mature intact,arbres matures intacts,0,0,1,1,0,0
8,carré de végétation intact,carrés de végétation intacts,0,0,0,1,0,0
9,filon de minerai éphémère,filons de minerai éphémères,0,0,0,1,0,0
10,carrière de minerai éphémère,carrières de minerai éphémères,0,0,0,1,1,0
11,arbre mature éphémère,arbres matures éphémères,0,0,1,1,0,0
12,carré de végétation éphémère,carrés de végétation éphémères,0,0,0,1,0,0
13,filon de minerai légendaire,filons de minerai légendaires,0,0,0,1,0,0
14,carrière de minerai légendaire,carrières de minerai légendaires,0,0,0,1,1,0
15,arbre mature légendaire,arbres matures légendaires,0,0,1,1,0,0
16,carré de végétation légendaire,carrés de végétation légendaires,0,0,0,1,0,0
17,filon de minerai caché,filons de minerai cachés,0,0,0,1,0,0
18,carrière de minerai cachée,carrières de minerai cachées,0,0,0,1,1,0
19,arbre mature caché,arbres matures cachés,0,0,1,1,0,0
20,carré de végétation caché,carrés de végétation cachés,0,0,0,1,0,0
21,point de harponnage,points de harponnage,0,0,0,1,0,0
22,courant poissonneux,courants poissonneux,0,0,0,1,0,0
23,filon de minerai évanescent,filons de minerai évanescents,0,0,0,1,0,0
24,carrière de minerai évanescente,carrières de minerai évanescentes,0,0,0,1,1,0
25,arbre mature évanescent,arbres matures évanescents,0,0,1,1,0,0
26,carré de végétation évanescent,carrés de végétation évanescents,0,0,0,1,0,0
