#,Name,Description,Icon,Category,MainCommandCategory,Unknown0,SortID
0,,,0,0,0,0,0
1,Dégainer/Rengainer,Dégaine/rengaine votre arme principale.,16,1,1,1,-5
2,Personnage,"Affiche des in­for­ma­tions sur votre personnage, ses attributs, son équipement, ses titres, ses devises, etc.",1,6,1,6,0
3,Actions et traits,Affiche le menu des actions et des traits dont dispose votre personnage. Les actions peuvent être ajoutées aux barres de raccourcis et les actions de rôle peuvent y être sé­lec­tion­nées.,4,2,1,2,-4
4,Journal,"Affiche une liste des quêtes, mandats et missions de compagnie en cours et terminés. Depuis cette liste, vous pouvez confirmer les objectifs et les lieux ou abandonner la tâche.",5,4,2,22,0
5,Calendrier,Indique des in­for­ma­tions relatives à divers éléments de jeu comme l'obtention d'au­to­ri­sa­tions pour les mandats ou encore le quota restant de quêtes quotidiennes des peuples alliés.,47,13,2,31,9
6,Hauts faits,"Affiche une liste des hauts faits, leurs conditions d'obtention, leur taux de progression ainsi que les récompenses qui leur sont associées.",6,18,1,18,12
7,Carnet de récolte,Affiche des in­for­ma­tions sur les objets déjà récoltés ainsi que les lieux de récolte classés par zone.,23,4,3,35,1
8,Bestiaire,"Affiche une liste d'ennemis à vaincre pour les classes de combattants et de mages, des in­for­ma­tions sur l'habitat des monstres, le nombre tué, et l'expérience gagnée.",21,1,3,32,-2
9,Carnet d'artisanat,Ouvre l'interface d'artisanat depuis laquelle vous pouvez sélectionner des objets à synthétiser.,22,3,3,34,0
10,Inventaire,"Affiche une liste de tous les cristaux et objets de votre inventaire. À partir de cette liste, vous pouvez vous équiper d'objets, les utiliser, les jeter ou les trier.",2,8,1,8,2
11,Objets-clefs,"Affiche une liste des objets utilisés dans des éléments de jeu spécifiques. Lorsque vous abandonnez une quête, tous les objets-clefs associés sont jetés au­to­ma­ti­que­ment.",3,3,2,21,-1
12,Équipiers,"Affiche une liste de vos équipiers actuels. À partir de cette liste, vous pouvez changer l'ordre des équipiers et, si vous êtes le chef d'équipe, exclure d'autres joueurs ou dissoudre l'équipe.",17,1,5,46,0
13,Liste d'amis,"Affiche une liste des joueurs enregistrés dans votre liste d'amis. À partir de cette liste, vous pouvez leur envoyer des murmures et les inviter à former une équipe.",18,10,6,62,7
14,Liste noire,"Affiche les joueurs présents dans votre liste noire. Les personnages concernés n'ap­pa­rais­sent plus en jeu, leurs messages sont cachés et ils sont incapables de vous inviter ou d'échanger avec vous.",19,12,6,64,9
15,Recherche,"Permet de chercher d'autres joueurs à l'aide de variables comme le nom, la classe, le niveau et l'état en ligne.",20,1,6,53,-2
16,Carte,"Ouvre la carte de votre emplacement actuel. Vous y trouverez des in­for­ma­tions sur les équipiers, les éthérites, les échoppes, les guildes et la destination des quêtes. Vous pouvez consulter les autres zones, effectuer un zoom avant ou arrière, et passer à la carte de la région ou du monde.",7,4,4,43,0
17,Emotes,Affiche une liste des emotes disponibles. Vous pouvez les effectuer depuis la liste ou les ajouter à votre barre de raccourcis.,9,3,6,55,0
18,Signes,Permet de marquer diverses cibles pour que les membres d'une équipe ou d'une alliance les discernent plus facilement.,10,3,5,48,2
19,Configuration système,"Ouvre la fenêtre des paramètres système comme les options vidéo, audio, les fonctionnalités de jeu à la manette, etc.",29,6,7,72,1
20,Attribution des touches,Permet d'assigner diverses fonctions à des touches de votre clavier selon votre style de jeu.,28,9,7,75,4
21,Macros,"Permet de créer des macros, pour le personnage actuel ou pour tous, afin de lancer des commandes complexes d'un simple bouton. Vous pouvez leur assigner des icones et les placer dans votre barre de raccourcis. Une bibliothèque des commandes texte est également disponible.",30,8,7,74,3
