#,Message,YesButton,NoButton
0,"C'est un dummy, vous savez ?",Je le savais !,Ah bon !?
1,Prendre la cellule magitek ?,Oui,Non
2,,,
3,,,
4,Détruire le rosaire de culte ?,Oui,Non
5,Utiliser les cellules magitek ?,Oui,Non
6,Voulez-vous vraiment quitter “UNKNOWN” ?,Oui,Non
7,,,
8,Voulez-vous quitter l'instance ?,Oui,Non
9,Ouvrir la porte au moyen de la petite clef ?,Oui,Non
10,,,
11,Déclencher l'explosion ?,Oui,Non
12,Il y a un interrupteur. L'activer ?,Oui,Non
13,Ramasser la clef ?,Oui,Non
14,Ramasser la clef de type A ?,Oui,Non
15,Ramasser la clef de type B ?,Oui,Non
16,Ramasser la clef de type C ?,Oui,Non
17,Ramasser la clef de type D ?,Oui,Non
18,Ouvrir la porte au moyen de la petite clef ?,Oui,Non
19,Ouvrir la porte du Gui ?,Oui,Non
20,Ouvrir la porte de l'Œillet ?,Oui,Non
21,Ouvrir la porte du Lys ?,Oui,Non
22,Ouvrir la porte de la Rose ?,Oui,Non
23,,,
24,,,
25,Éteindre la lampe ?,Oui,Non
26,Activer le levier et ouvrir la porte ?,Oui,Non
27,,,
28,,,
29,Utiliser le rosaire de culte ?,Oui,Non
30,Utiliser le transporteur magitek ?,Oui,Non
31,Utiliser le parchemin ensanglanté ?,Oui,Non
32,Utiliser le levier du monte-charge ?,Oui,Non
33,Utiliser le levier du monte-charge ?,Oui,Non
34,Utiliser le détonateur ?,Oui,Non
35,Placer 12 onz de poudre dans le fourneau ?,Oui,Non
36,Utiliser le raccourci ?,Oui,Non
37,Ouvrir la porte frontale de l'Arrêt ?,Oui,Non
38,Utiliser  ?,Oui,Non
39,Vous trouvez une sorte d'interrupteur. L'activer ?,Oui,Non
40,Se jeter dans le flux éthéré ?,Oui,Non
41,Se jeter dans le flux éthéré ?,Oui,Non
42,Déclencher le piège ?,Oui,Non
43,Tirer sur le levier et ouvrir la porte ?,Oui,Non
44,Ouvrir la porte des quartiers du capitaine ?,Oui,Non
45,Ouvrir la porte des bourlingueurs ?,Oui,Non
46,Ouvrir la porte du Trou ?,Oui,Non
47,Pousser la balance de la justice ?,Oui,Non
48,Sauter dans le sable mouvant ?,Oui,Non
49,Utiliser la clef d'identification impériale pour désactiver le verrouillage ?,Oui,Non
50,Sauter dans le vide-ordures ?,Oui,Non
51,Se déplacer vers la prochaine zone ?,Oui,Non
