#,Name,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
0,,0,0,0,0,1,0,0
1000,,,0,0,0,0,0,0
1001,Cosmo-menuisier I,0,0,0,0,1,0,0
1002,Cosmo-menuisier II,0,0,0,0,1,0,0
1003,Cosmo-menuisier III,0,0,0,0,1,0,0
1004,Cosmo-menuisier IV,0,0,0,0,1,0,0
1005,Cosmo-forgeron I,0,0,0,0,1,0,0
1006,Cosmo-forgeron II,0,0,0,0,1,0,0
1007,Cosmo-forgeron III,0,0,0,0,1,0,0
1008,Cosmo-forgeron IV,0,0,0,0,1,0,0
1009,Cosmo-armurier I,0,0,0,0,1,0,0
1010,Cosmo-armurier II,0,0,0,0,1,0,0
1011,Cosmo-armurier III,0,0,0,0,1,0,0
1012,Cosmo-armurier IV,0,0,0,0,1,0,0
1013,Cosmo-orfèvre I,0,0,0,0,1,0,0
1014,Cosmo-orfèvre II,0,0,0,0,1,0,0
1015,Cosmo-orfèvre III,0,0,0,0,1,0,0
1016,Cosmo-orfèvre IV,0,0,0,0,1,0,0
1017,Cosmo-tanneur I,0,0,0,0,1,0,0
1018,Cosmo-tanneur II,0,0,0,0,1,0,0
1019,Cosmo-tanneur III,0,0,0,0,1,0,0
1020,Cosmo-tanneur IV,0,0,0,0,1,0,0
1021,Cosmo-couturier I,0,0,0,0,1,0,0
1022,Cosmo-couturier II,0,0,0,0,1,0,0
1023,Cosmo-couturier III,0,0,0,0,1,0,0
1024,Cosmo-couturier IV,0,0,0,0,1,0,0
1025,Cosmo-alchimiste I,0,0,0,0,1,0,0
1026,Cosmo-alchimiste II,0,0,0,0,1,0,0
1027,Cosmo-alchimiste III,0,0,0,0,1,0,0
1028,Cosmo-alchimiste IV,0,0,0,0,1,0,0
1029,Cosmo-cuisinier I,0,0,0,0,1,0,0
1030,Cosmo-cuisinier II,0,0,0,0,1,0,0
1031,Cosmo-cuisinier III,0,0,0,0,1,0,0
1032,Cosmo-cuisinier IV,0,0,0,0,1,0,0
1033,Cosmo-mineur I,0,0,0,0,1,0,0
1034,Cosmo-mineur II,0,0,0,0,1,0,0
1035,Cosmo-mineur III,0,0,0,0,1,0,0
1036,Cosmo-mineur IV,0,0,0,0,1,0,0
1037,Cosmo-botaniste I,0,0,0,0,1,0,0
1038,Cosmo-botaniste II,0,0,0,0,1,0,0
1039,Cosmo-botaniste III,0,0,0,0,1,0,0
1040,Cosmo-botaniste IV,0,0,0,0,1,0,0
1041,Cosmo-pêcheur I,0,0,0,0,1,0,0
1042,Cosmo-pêcheur II,0,0,0,0,1,0,0
1043,Cosmo-pêcheur III,0,0,0,0,1,0,0
1044,Cosmo-pêcheur IV,0,0,0,0,1,0,0
1045,Cosmo-menuisier V,0,0,0,0,1,0,0
1046,Cosmo-forgeron V,0,0,0,0,1,0,0
1047,Cosmo-armurier V,0,0,0,0,1,0,0
1048,Cosmo-orfèvre V,0,0,0,0,1,0,0
1049,Cosmo-tanneur V,0,0,0,0,1,0,0
1050,Cosmo-couturier V,0,0,0,0,1,0,0
1051,Cosmo-alchimiste V,0,0,0,0,1,0,0
1052,Cosmo-cuisinier V,0,0,0,0,1,0,0
1053,Cosmo-mineur V,0,0,0,0,1,0,0
1054,Cosmo-botaniste V,0,0,0,0,1,0,0
1055,Cosmo-pêcheur V,0,0,0,0,1,0,0
1056,Cosmo-menuisier VI,0,0,0,0,1,0,0
1057,Cosmo-forgeron VI,0,0,0,0,1,0,0
1058,Cosmo-armurier VI,0,0,0,0,1,0,0
1059,Cosmo-orfèvre VI,0,0,0,0,1,0,0
1060,Cosmo-tanneur VI,0,0,0,0,1,0,0
1061,Cosmo-couturier VI,0,0,0,0,1,0,0
1062,Cosmo-alchimiste VI,0,0,0,0,1,0,0
1063,Cosmo-cuisinier VI,0,0,0,0,1,0,0
1064,Cosmo-mineur VI,0,0,0,0,1,0,0
1065,Cosmo-botaniste VI,0,0,0,0,1,0,0
1066,Cosmo-pêcheur VI,0,0,0,0,1,0,0
2000,,,0,0,0,0,0,0
2001,Données de menuisier N-1,0,0,0,0,1,0,0
2002,Données de menuisier N-2,0,0,0,0,1,0,0
2003,Données de menuisier N-3,0,0,0,0,1,0,0
2004,Données de menuisier N-4,0,0,0,0,1,0,0
2005,Données de menuisier N-5,0,0,0,0,1,0,0
2006,Données de menuisier N-6,0,0,0,0,1,0,0
2007,Données de menuisier N-7,0,0,0,0,1,0,0
2008,Données de menuisier N-8,0,0,0,0,1,0,0
2009,Données de forgeron N-1,0,0,0,0,1,0,0
2010,Données de forgeron N-2,0,0,0,0,1,0,0
2011,Données de forgeron N-3,0,0,0,0,1,0,0
2012,Données de forgeron N-4,0,0,0,0,1,0,0
2013,Données de forgeron N-5,0,0,0,0,1,0,0
2014,Données de forgeron N-6,0,0,0,0,1,0,0
2015,Données de forgeron N-7,0,0,0,0,1,0,0
2016,Données de forgeron N-8,0,0,0,0,1,0,0
2017,Données d'armurier N-1,0,0,0,0,1,0,0
2018,Données d'armurier N-2,0,0,0,0,1,0,0
2019,Données d'armurier N-3,0,0,0,0,1,0,0
2020,Données d'armurier N-4,0,0,0,0,1,0,0
2021,Données d'armurier N-5,0,0,0,0,1,0,0
2022,Données d'armurier N-6,0,0,0,0,1,0,0
2023,Données d'armurier N-7,0,0,0,0,1,0,0
2024,Données d'armurier N-8,0,0,0,0,1,0,0
2025,Données d'orfèvre N-1,0,0,0,0,1,0,0
2026,Données d'orfèvre N-2,0,0,0,0,1,0,0
2027,Données d'orfèvre N-3,0,0,0,0,1,0,0
2028,Données d'orfèvre N-4,0,0,0,0,1,0,0
2029,Données d'orfèvre N-5,0,0,0,0,1,0,0
2030,Données d'orfèvre N-6,0,0,0,0,1,0,0
2031,Données d'orfèvre N-7,0,0,0,0,1,0,0
2032,Données d'orfèvre N-8,0,0,0,0,1,0,0
2033,Données de tanneur N-1,0,0,0,0,1,0,0
2034,Données de tanneur N-2,0,0,0,0,1,0,0
2035,Données de tanneur N-3,0,0,0,0,1,0,0
2036,Données de tanneur N-4,0,0,0,0,1,0,0
2037,Données de tanneur N-5,0,0,0,0,1,0,0
2038,Données de tanneur N-6,0,0,0,0,1,0,0
2039,Données de tanneur N-7,0,0,0,0,1,0,0
2040,Données de tanneur N-8,0,0,0,0,1,0,0
2041,Données de couturier N-1,0,0,0,0,1,0,0
2042,Données de couturier N-2,0,0,0,0,1,0,0
2043,Données de couturier N-3,0,0,0,0,1,0,0
2044,Données de couturier N-4,0,0,0,0,1,0,0
2045,Données de couturier N-5,0,0,0,0,1,0,0
2046,Données de couturier N-6,0,0,0,0,1,0,0
2047,Données de couturier N-7,0,0,0,0,1,0,0
2048,Données de couturier N-8,0,0,0,0,1,0,0
2049,Données d'alchimiste N-1,0,0,0,0,1,0,0
2050,Données d'alchimiste N-2,0,0,0,0,1,0,0
2051,Données d'alchimiste N-3,0,0,0,0,1,0,0
2052,Données d'alchimiste N-4,0,0,0,0,1,0,0
2053,Données d'alchimiste N-5,0,0,0,0,1,0,0
2054,Données d'alchimiste N-6,0,0,0,0,1,0,0
2055,Données d'alchimiste N-7,0,0,0,0,1,0,0
2056,Données d'alchimiste N-8,0,0,0,0,1,0,0
2057,Données de cuisinier N-1,0,0,0,0,1,0,0
2058,Données de cuisinier N-2,0,0,0,0,1,0,0
2059,Données de cuisinier N-3,0,0,0,0,1,0,0
2060,Données de cuisinier N-4,0,0,0,0,1,0,0
2061,Données de cuisinier N-5,0,0,0,0,1,0,0
2062,Données de cuisinier N-6,0,0,0,0,1,0,0
2063,Données de cuisinier N-7,0,0,0,0,1,0,0
2064,Données de cuisinier N-8,0,0,0,0,1,0,0
2065,Données de mineur N-1,0,0,0,0,1,0,0
2066,Données de mineur N-2,0,0,0,0,1,0,0
2067,Données de mineur N-3,0,0,0,0,1,0,0
2068,Données de mineur N-4,0,0,0,0,1,0,0
2069,Données de mineur N-5,0,0,0,0,1,0,0
2070,Données de mineur N-6,0,0,0,0,1,0,0
2071,Données de mineur N-7,0,0,0,0,1,0,0
2072,Données de mineur N-8,0,0,0,0,1,0,0
2073,Données de botaniste N-1,0,0,0,0,1,0,0
2074,Données de botaniste N-2,0,0,0,0,1,0,0
2075,Données de botaniste N-3,0,0,0,0,1,0,0
2076,Données de botaniste N-4,0,0,0,0,1,0,0
2077,Données de botaniste N-5,0,0,0,0,1,0,0
2078,Données de botaniste N-6,0,0,0,0,1,0,0
2079,Données de botaniste N-7,0,0,0,0,1,0,0
2080,Données de botaniste N-8,0,0,0,0,1,0,0
2081,Données de pêcheur N-1,0,0,0,0,1,0,0
2082,Données de pêcheur N-2,0,0,0,0,1,0,0
2083,Données de pêcheur N-3,0,0,0,0,1,0,0
2084,Données de pêcheur N-4,0,0,0,0,1,0,0
2085,Données de pêcheur N-5,0,0,0,0,1,0,0
2086,Données de pêcheur N-6,0,0,0,0,1,0,0
2087,Données de pêcheur N-7,0,0,0,0,1,0,0
2088,Données de pêcheur N-8,0,0,0,0,1,0,0
3000,,,0,0,0,0,0,0
3001,outil de menuisier,0,0,0,0,1,0,0
3002,outil de forgeron,0,0,0,0,1,0,0
3003,outil d'armurier,0,0,0,0,1,0,0
3004,outil d'orfèvre,0,0,0,0,1,0,0
3005,outil de tanneur,0,0,0,0,1,0,0
3006,outil de couturier,0,0,0,0,1,0,0
3007,outil d'alchimiste,0,0,0,0,1,0,0
3008,outil de cuisinier,0,0,0,0,1,0,0
3009,outil de mineur,0,0,0,0,1,0,0
3010,outil de botaniste,0,0,0,0,1,0,0
3011,outil de pêcheur,0,0,0,0,1,0,0
4000,,,0,0,0,0,0,0
4001,DONN.MEN I,0,0,0,0,1,0,0
4002,DONN.MEN II,0,0,0,0,1,0,0
4003,DONN.MEN III,0,0,0,0,1,0,0
4004,DONN.MEN IV,0,0,0,0,1,0,0
4005,DONN.FRG I,0,0,0,0,1,0,0
4006,DONN.FRG II,0,0,0,0,1,0,0
4007,DONN.FRG III,0,0,0,0,1,0,0
4008,DONN.FRG IV,0,0,0,0,1,0,0
4009,DONN.ARM I,0,0,0,0,1,0,0
4010,DONN.ARM II,0,0,0,0,1,0,0
4011,DONN.ARM III,0,0,0,0,1,0,0
4012,DONN.ARM IV,0,0,0,0,1,0,0
4013,DONN.ORF I,0,0,0,0,1,0,0
4014,DONN.ORF II,0,0,0,0,1,0,0
4015,DONN.ORF III,0,0,0,0,1,0,0
4016,DONN.ORF IV,0,0,0,0,1,0,0
4017,DONN.TAN I,0,0,0,0,1,0,0
4018,DONN.TAN II,0,0,0,0,1,0,0
4019,DONN.TAN III,0,0,0,0,1,0,0
4020,DONN.TAN IV,0,0,0,0,1,0,0
4021,DONN.COU I,0,0,0,0,1,0,0
4022,DONN.COU II,0,0,0,0,1,0,0
4023,DONN.COU III,0,0,0,0,1,0,0
4024,DONN.COU IV,0,0,0,0,1,0,0
4025,DONN.ALC I,0,0,0,0,1,0,0
