#,Name,SeparateType,DataType,JournalSection,MapCondition
0,Catégorie invalide,0,0,255,0
1,Chroniques de la 7e ère ombrale,1,1,0,0
2,Chroniques de la 7e ère astrale,1,1,0,0
3,Chroniques ishgardaises,1,1,0,0
4,Guerre du chant des dragons - Épilogue,1,1,0,0
5,Après-guerre du chant des dragons,1,1,0,0
6,Récits d'une tempête de sang,1,1,0,0
7,Après la tempête de sang,1,1,0,0
8,Chroniques des Ténèbres,1,1,0,0
9,Le retour des Héritiers,1,1,0,0
10,Prélude à l'apocalypse,1,1,0,0
11,Chroniques de l'apocalypse,1,1,0,0
12,Récits d'une nouvelle aventure,1,1,0,0
13,Chroniques de l'aurore,1,1,1,0
14,Chroniques de l'aurore - Épilogue,1,1,1,0
15,Les machinations des Hivernautes,1,1,1,0
16,Primordiaux (A Realm Reborn),1,1,2,0
17,Bahamut,1,1,2,0
18,Tour de Cristal,1,1,2,0
19,Alexander,1,1,2,0
20,Primordiaux (Heavensward),1,1,2,0
21,Ombre de Mhach,1,1,2,0
22,Oméga,2,1,2,0
23,Retour à Ivalice,1,1,2,0
24,Conte des quatre animaux sacrés,1,1,2,0
25,Éden,1,1,2,0
26,YoRHa: Dark Apocalypse,1,1,2,0
27,La Complainte de Werlyt,1,1,2,0
28,Le Pandæmonium,2,1,2,0
29,Le Mythe éorzéen,1,1,2,0
30,L'Arcadion,1,1,2,0
31,Échos de Vana'diel,1,1,2,0
32,Quêtes des Yok Huy,2,1,5,0
33,Quêtes des Mamool Ja,2,1,5,0
34,Quêtes des Pelupelu,2,1,5,0
35,Quêtes des peuples alliés,2,1,5,0
36,Quêtes des Amalj'aa,2,1,4,0
37,Quêtes des Sylphes,2,1,4,0
38,Quêtes des Kobolds,2,1,4,0
39,Quêtes des Sahuagins,2,1,4,0
40,Quêtes des Ixali,2,1,4,0
41,Quêtes des Vanu Vanu,2,1,4,0
42,Quêtes des Gnathes,2,1,4,0
43,Quêtes des Mogs,2,1,4,0
44,Quêtes des Kojin,2,1,4,0
45,Quêtes des Anantas,2,1,4,0
46,Quêtes des Namazu,2,1,4,0
47,Quêtes des Pixies,2,1,4,0
48,Quêtes des Qitari,2,1,4,0
49,Quêtes des Nains,2,1,4,0
50,Quêtes des Arkasodaras,2,1,4,0
51,Quêtes des Omicrons,2,1,4,0
52,Quêtes des Loporrites,2,1,4,0
53,Quêtes des peuples alliés,2,1,4,0
54,En marge de l'épopée,2,1,3,0
55,Hildibrand - Gentilhomme détective,2,1,3,0
56,Sagas des armes légendaires,2,1,3,0
57,Missions spéciales,2,1,3,0
58,Histoires annexes,2,1,3,0
59,Noscea,3,1,3,0
60,Sombrelinceul,3,1,3,0
61,Thanalan,3,1,3,0
62,Coerthas,3,1,3,0
63,Mor Dhona,3,1,3,0
64,Ishgard,3,1,3,0
65,Abalathia,3,1,3,0
66,Dravania,3,1,3,0
67,Azys Lla,3,1,3,0
68,Gyr Abania,3,1,3,0
69,Othard,3,1,3,0
70,Hingashi,3,1,3,0
71,Grand-Lac,3,1,3,0
72,Kholusia,3,1,3,0
73,Amh Araeng,3,1,3,0
74,Il Mheg,3,1,3,0
75,Rak'tika,3,1,3,0
76,La Tempête,3,1,3,4
77,Vieille Sharlayan,3,1,3,0
78,Thavnair,3,1,3,0
79,Garlemald,3,1,3,0
80,Mare Lamentorum,3,1,3,7
81,Elpis,3,1,3,9
82,Ultima Thulé,3,1,3,8
83,Yok Tural,3,1,3,0
84,Xak Tural,3,1,3,0
85,Monde inéphémère,3,1,3,27
86,Quêtes de classe : combattants,2,1,6,0
87,Quêtes de classe : mages,2,1,6,0
88,Quêtes de classe : artisans,2,1,6,0
89,Quêtes de classe : récolteurs,2,1,6,0
90,Quêtes de classe : halle du Juste,2,1,6,0
91,Quêtes de classe : académie de magie de Sharlayan,2,1,6,0
92,Quêtes de classe : bazar aux Mille Perles,2,1,6,0
93,Quêtes de job : combattants,2,1,6,0
94,Quêtes de job : mages,2,1,6,0
95,Quêtes de rôle,2,1,6,0
96,Quêtes de compagnie,2,1,7,0
97,Événements saisonniers,2,1,7,0
98,Autres quêtes,2,1,7,0
99,Mandats de mercenariat,3,2,8,0
100,Mandats de mineur,3,2,8,0
101,Mandats de botaniste,3,2,8,0
102,Mandats de pêcheur,3,2,8,0
103,Mandats de menuisier,3,2,8,0
104,Mandats de forgeron,3,2,8,0
