#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,0.144,0.31,0.07,0.12,0,0.139,3,2,0,255,255,0,1
2.1,0.341,0.318,0.075,0.198,0,0.146,4,2,0,255,255,0,2
2.2,0.52,0.34,0.065,0.145,0,0.119,5,2,0,255,255,1,3
2.3,0.66,0.33,0.075,0.169,0,0.13,6,2,0,255,255,2,4
2.4,0.769,0.44,0.085,0.516,0,0.299,7,2,0,255,255,3,4
3.0,0.108,0.248,0.139,0.417,0,0.233,8,2,0,255,255,255,2
3.1,0.904,0.248,0.139,0.417,0,0.233,9,2,0,255,255,3,255
3.2,0.282,0.377,0.087,0.232,0,0.146,10,2,0,255,255,0,4
3.3,0.732,0.377,0.087,0.232,0,0.146,11,2,0,255,255,4,1
3.4,0.578,0.527,0.071,0.242,0,0.151,16,2,1,255,255,2,3
4.0,0.108,0.248,0.139,0.417,0,0.233,12,2,0,255,255,255,2
4.1,0.904,0.248,0.139,0.417,0,0.233,13,2,0,255,255,3,255
4.2,0.282,0.377,0.087,0.232,0,0.146,14,2,0,255,255,0,4
4.3,0.732,0.377,0.087,0.232,0,0.146,15,2,0,255,255,4,1
4.4,0.585,0.532,0.071,0.275,0,0.164,16,2,1,255,255,2,3
5.0,0.123,0.27,0.089,0.29,0,0.189,17,2,0,255,255,0,1
5.1,0.315,0.28,0.129,0.265,0,0.177,18,2,0,255,255,0,2
5.2,0.488,0.28,0.099,0.36,0,0.224,19,2,0,255,255,1,3
5.3,0.666,0.31,0.101,0.35,0,0.22,20,2,0,255,255,2,4
5.4,0.823,0.43,0.149,0.23,0,0.159,21,2,0,255,255,3,4
6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3,0,0,0,0,0,0,0,0,0,0,0,0,0
