#,VillageAppearanceData[0].UnknownParam,VillageAppearanceData[0].SGB,VillageAppearanceData[1].UnknownParam,VillageAppearanceData[1].SGB,VillageAppearanceData[2].UnknownParam,VillageAppearanceData[2].SGB,VillageAppearanceData[3].UnknownParam,VillageAppearanceData[3].SGB,VillageAppearanceData[4].UnknownParam,VillageAppearanceData[4].SGB
0,0,0,0,0,0,0,0,0,0,0
1,11,30025,12,30041,13,30061,0,32640,0,34887
2,11,30026,12,30042,13,30062,0,32694,0,35030
3,11,30027,12,30043,13,30063,0,32799,0,35037
4,11,30028,12,30044,13,30064,0,32837,0,35041
5,11,30029,12,30045,13,30065,0,32918,0,35044
6,14,30033,15,30047,16,30067,0,32641,0,34984
7,14,30034,15,30048,16,30068,0,32693,0,35017
8,14,30035,15,30049,16,30069,0,32871,0,35042
9,17,30036,18,30050,19,30070,0,32728,0,35022
10,17,30037,18,30051,19,30071,0,32698,0,35036
11,17,30038,18,30052,19,30072,0,32834,0,35038
12,17,30039,18,30053,19,30073,0,32861,0,35043
13,0,30030,0,30046,0,30066,0,32920,0,35045
14,0,30040,0,30056,0,30074,0,32913,0,35046
