#,Name,Description,Unknown0,Unknown1,Unknown2,Unknown3,Icon
0,,,,,,,0
1,Dégagé,radieux,,,,,60201
2,Clair,ensoleillé,,,,,60202
3,Couvert,couvert,,,,,60203
4,Brouillard,brumeux,,,,,60204
5,Vent,venteux,,,,,60205
6,Vents violents,très venteux,,,,,60206
7,Pluie,pluvieux,,,,,60207
8,Pluie torrentielle,très pluvieux,,,,,60208
9,Orages,orageux,,,,,60209
10,Orages violents,très orageux,,,,,60210
11,Tempêtes de poussière,tempêteux,,,,,60211
12,Tempêtes de sable,tempêteux,,,,,60212
13,Chaud,chaud,,,,,60213
14,Torride,torride,,,,,60214
15,Neige,neigeux,,,,,60215
16,Blizzard,au blizzard,,,,,60216
17,Nébuleux,nébuleux,,,,,60218
18,Aurore,auroral,,,,,60217
19,Ténèbres,ténébreux,,,,,60251
20,Désespérance,désespérant,,,,,60255
21,Couvert,couvert,,,,,60203
22,Orageux,menaçant,,,,,60259
23,Houle,houleux,,,,,60258
24,Houle,houleux,,,,,60258
25,Nuageux,nuageux,,,,,60257
26,Torride,torride,,,,,60252
27,Nébuleux,nébuleux,,,,,60256
28,Vents violents,déchaîné avec de violentes rafales,,,,,60253
29,Éruptions,éruptif,,,,,60254
30,Clair,clair,,,,,60202
31,Clair,clair,,,,,60202
32,Clair,clair,,,,,60202
33,Clair,clair,,,,,60202
34,Clair,clair,,,,,60202
35,Rayonnement,rayonnant,,,,,60260
36,Radiations du Cœur,radioactif,,,,,60261
37,Radiations du Cœur,radioactif,,,,,60261
38,Radiations du Cœur,radioactif,,,,,60261
39,Radiations du Cœur,radioactif,,,,,60261
40,Amas nuageux,anormalement couvert,,,,,60262
41,Amas nuageux,anormalement couvert,,,,,60262
42,Amas nuageux,anormalement couvert,,,,,60262
43,Amas nuageux,anormalement couvert,,,,,60262
44,Oppression,oppressant,,,,,60264
45,Oppression,oppressant,,,,,60264
46,Oppression,oppressant,,,,,60264
47,Oppression,oppressant,,,,,60264
48,Oppression,oppressant,,,,,60264
49,Vent ombral,perturbé par des vents ombraux,,,,,60219
50,Charges ombrales,perturbé par des charges ombrales,,,,,60220
51,Fumées,fumeux,,,,,60263
52,Clair,clair,,,,,60202
53,Éclairs royaux,perturbé par des éclairs royaux,,,,,60226
54,Hyperélectricité,chargé d'hyperélectricité,,,,,60227
55,Éclairs royaux,perturbé par des éclairs royaux,,,,,60226
56,Oppression,oppressant,,,,,60264
57,Orages,orageux,,,,,60209
58,Orages,orageux,,,,,60209
59,,,,,,,0
60,Multiplicité,marqué par la multiplicité,,,,,60265
61,Multiplicité,marqué par la multiplicité,,,,,60265
62,Pluie,pluvieux,,,,,60207
63,Clair,ensoleillé,,,,,60202
64,Pluie,pluvieux,,,,,60207
65,Clair,ensoleillé,,,,,60202
66,Tempête de haine,frappé par une tempête de haine,,,,,60266
67,Tempête de haine,frappé par une tempête de haine,,,,,60266
68,Souterrain,souterrain,,,,,60202
