#,Unknown0,Unknown4,Unknown1,Unknown2,Unknown3
0,721,0,1,1,0
1,722,0,1,1,0
2,283,0,2,1,100
3,581,0,2,1,99
4,598,0,2,1,98
5,639,0,2,1,97
6,735,0,2,1,90
7,760,0,2,1,89
8,761,0,2,1,88
9,778,0,2,1,87
10,2308,0,3,2,1
11,21,0,3,3,2
12,18,0,3,3,3
13,19,0,3,3,4
14,20,0,3,3,5
15,25,0,3,3,6
16,22,0,3,3,7
17,23,0,3,3,8
18,24,0,3,3,9
19,195,0,3,1,10
20,756,0,3,1,11
21,199,0,3,1,12
22,645,0,3,1,13
23,650,0,3,1,14
24,768,0,3,1,15
25,769,0,3,1,16
26,958,148,3,1,17
27,1018,0,2,1,86
28,1,0,4,4,100
29,2,0,4,4,99
30,3,0,4,4,98
31,4,0,4,4,97
32,1063,0,4,1,95
33,1065,0,4,1,96
34,1095,257,3,1,18
35,1093,0,2,1,85
36,1114,0,2,1,84
