#,Name,Description,ReqUnlock,Icon,RequiredAmount,ExpMultiplier,GilRward,ExpCap,LevelUnlock,HowTo,ContentType,MenuOrder,Reward0,Reward1
0,,,0,0,0,0,0,0,0,0,0,0,0,0
1,Missions aléatoires,Terminer un total de 3 donjons en mission aléatoire.,0,61801,3,15,1000,1625700,0,57,1,1,5,3
2,Donjons : victoires,Terminer un total de 5 donjons.,0,61801,5,10,2000,1083800,0,57,1,2,5,3
3,Opérations de guilde achevées I,Accomplir un total de 3 opérations de guilde.,0,61803,3,5,1000,541900,0,71,1,3,5,3
4,Opérations de guilde achevées II,Accomplir un total de 10 opérations de guilde.,0,61803,10,10,2000,1083800,0,71,1,4,5,3
5,Caches au trésor : coffres I,Ouvrir 5 coffres dans l'Aquapole ou les Canaux perdus d'Uznair.,0,61808,5,0,2000,0,0,231,6,3,0,3
6,Aventures imaginaires de Khloe : vignettes,Obtenir trois vignettes en réussissant des aventures du carnet de Khloe.,0,61825,3,0,2000,0,60,0,1,8,0,3
7,Crystalline Conflict : participations,Participer 10 fois à Crystalline Conflict.,0,61806,10,0,1000,0,0,130,2,1,0,9
8,Crystalline Conflict : victoires,Gagner 3 fois un combat de Crystalline Conflict.,0,61806,3,0,1000,0,0,130,2,2,0,9
9,,,0,0,0,0,0,0,0,0,0,0,0,0
10,,,0,0,0,0,0,0,0,0,0,0,0,0
11,Mandats : illustrations,Accomplir des mandats illustrés par 5 vitraux différents.,0,61811,5,15,1000,1625700,0,0,4,1,5,3
12,Mandats : réussites,Accomplir un total de 20 mandats.,0,61811,20,15,2000,1625700,0,0,4,2,5,3
13,Ravitaillement : livraisons II,Effectuer un total de 10 missions de ravitaillement de ressources ou de matériel.,0,61812,10,0,1000,0,0,89,8,2,0,6
14,Ravitaillement : livraisons I,Effectuer un total de 5 missions de ravitaillement de ressources ou de matériel.,0,61812,5,0,1000,0,0,89,8,1,0,6
15,Chasse aux trésors : cartes trouvées,Déterrer 3 vieilles cartes.,0,61808,3,0,1000,0,0,149,6,1,0,3
16,Chasse aux trésors : coffres trouvés,Obtenir 5 coffres via la chasse aux trésors.,0,61808,5,0,2000,0,0,149,6,2,0,3
17,Compagnon : ennemis vaincus I,Vaincre 20 ennemis de niveau proche avec son compagnon.,0,61813,20,5,1000,0,0,96,1,6,7,3
18,Compagnon : ennemis vaincus II,Vaincre 100 ennemis de niveau proche avec son compagnon.,0,61813,100,10,2000,0,0,96,1,7,7,3
19,Quêtes des peuples alliés achevées I,Finir 5 quêtes quotidiennes des peuples alliés.,0,61814,5,0,1000,0,0,152,7,1,0,3
20,Quêtes des peuples alliés achevées II,Finir 15 quêtes quotidiennes des peuples alliés.,0,61814,15,0,2000,0,0,152,7,2,0,3
21,Carnet d'objectifs I,Réussir 5 objectifs différents du carnet.,0,61810,5,0,10000,0,0,0,12,1,0,3
22,Carnet d'objectifs II,Réussir 10 objectifs différents du carnet.,0,61810,10,0,10000,0,0,0,12,2,0,3
23,Carnet d'objectifs III,Réussir 15 objectifs différents du carnet.,0,61810,15,0,10000,0,20,0,12,3,0,3
24,Carnet d'objectifs IV,Réussir 20 objectifs différents du carnet.,0,61810,20,0,10000,0,30,0,12,4,0,3
