#,Name,NameNoArticle,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,MapCondition
0,,,,0,0,0,1,0,0,0,0,0
1,,,,0,0,0,0,0,0,0,0,0
2,,,,0,0,0,0,0,0,0,0,0
3,,,,0,0,0,0,0,0,0,0,0
4,,,,0,0,0,0,0,0,0,0,0
5,,,,0,0,0,0,0,0,0,0,0
6,,,,0,0,0,0,0,0,0,0,0
7,,,,0,0,0,0,0,0,0,0,0
8,,,,0,0,0,0,0,0,0,0,0
9,,,,0,0,0,0,0,0,0,0,0
10,,,,0,0,0,0,0,0,0,0,0
11,,,,0,0,0,0,0,0,0,0,0
12,,,,0,0,0,0,0,0,0,0,0
13,,,,0,0,0,0,0,0,0,0,0
14,,,,0,0,0,0,0,0,0,0,0
15,,,,0,0,0,0,0,0,0,0,0
16,,,,0,0,0,0,0,0,0,0,0
17,,,,0,0,0,0,0,0,0,0,0
18,Mandat,Mandat,,0,0,0,1,0,0,0,0,0
19,,,,0,0,0,1,0,0,0,0,0
20,Hydaelyn,Hydaelyn,Hydaelyn,0,0,0,1,0,0,0,0,0
21,Éorzéa,Éorzéa,Éorzéa,0,0,0,1,0,0,0,0,0
22,Noscea,Noscea,la Noscea,0,0,0,1,0,0,100,0,0
23,Forêt de Sombrelinceul,Forêt de Sombrelinceul,la forêt de Sombrelinceul,0,0,0,1,0,0,200,0,0
24,Thanalan,Thanalan,le Thanalan,0,0,0,1,0,0,300,0,0
25,Coerthas,Coerthas,le Coerthas,0,0,0,1,0,0,400,0,0
26,Mor Dhona,Mor Dhona,le Mor Dhona,0,0,0,1,0,0,500,0,0
27,Limsa Lominsa,Limsa Lominsa,Limsa Lominsa,0,0,0,1,0,0,0,0,0
28,Limsa Lominsa - Le Tillac,Limsa Lominsa - Le Tillac,Limsa Lominsa - Le Tillac,0,0,0,1,0,0,0,0,0
29,Limsa Lominsa - L'Entrepont,Limsa Lominsa - L'Entrepont,Limsa Lominsa - L'Entrepont,0,0,0,1,0,0,0,0,0
30,Noscea centrale,Noscea centrale,la Noscea centrale,0,0,0,1,0,0,0,0,0
31,Basse-Noscea,Basse-Noscea,la Basse-Noscea,0,0,0,1,0,0,0,0,0
32,Noscea orientale,Noscea orientale,la Noscea orientale,0,0,0,1,0,0,0,0,0
33,Noscea occidentale,Noscea occidentale,la Noscea occidentale,0,0,0,1,0,0,0,0,0
34,Haute-Noscea,Haute-Noscea,la Haute-Noscea,0,0,0,1,0,0,0,0,0
35,Sastasha,Sastasha,Sastasha,0,0,0,1,0,0,0,0,0
36,Bivouac de Brayflox,Bivouac de Brayflox,le Bivouac de Brayflox,0,0,0,1,0,0,0,0,0
37,Palais du Vagabond,Palais du Vagabond,le Palais du Vagabond,0,0,0,1,0,0,0,0,0
38,,,,0,0,0,0,0,0,0,0,0
39,Gridania,Gridania,Gridania,0,0,0,1,0,0,0,0,0
40,Ul'dah - Faubourg de Nald,Ul'dah - Faubourg de Nald,Ul'dah - Faubourg de Nald,0,0,0,1,0,0,0,0,0
41,Ul'dah - Faubourg de Thal,Ul'dah - Faubourg de Thal,Ul'dah - Faubourg de Thal,0,0,0,1,0,0,0,0,0
42,Thanalan occidental,Thanalan occidental,le Thanalan occidental,0,0,0,1,0,0,0,0,0
43,Thanalan central,Thanalan central,le Thanalan central,0,0,0,1,0,0,0,0,0
44,Thanalan oriental,Thanalan oriental,le Thanalan oriental,0,0,0,1,0,0,0,0,0
45,Thanalan méridional,Thanalan méridional,le Thanalan méridional,0,0,0,1,0,0,0,0,0
46,Thanalan septentrional,Thanalan septentrional,le Thanalan septentrional,0,0,0,1,0,0,0,0,0
47,Gouffre hurlant,Gouffre hurlant,le Gouffre hurlant,0,0,0,1,0,0,0,0,0
48,Mines de Clochecuivre,Mines de Clochecuivre,les Mines de Clochecuivre,0,0,0,1,0,0,0,0,0
49,Halatali,Halatali,Halatali,0,0,0,1,0,0,0,0,0
50,Temple enseveli de Qarn,Temple enseveli de Qarn,le Temple enseveli de Qarn,0,0,0,1,0,0,0,0,0
51,Ul'dah,Ul'dah,Ul'dah,0,0,0,1,0,0,0,0,0
52,Nouvelle Gridania,Nouvelle Gridania,Nouvelle Gridania,0,0,0,1,0,0,0,0,0
53,Vieille Gridania,Vieille Gridania,Vieille Gridania,0,0,0,1,0,0,0,0,0
54,Forêt centrale,Forêt centrale,la Forêt centrale,0,0,0,1,0,0,0,0,0
55,Forêt de l'est,Forêt de l'est,la Forêt de l'est,0,0,0,1,0,0,0,0,0
56,Forêt du sud,Forêt du sud,la Forêt du sud,0,0,0,1,0,0,0,0,0
57,Forêt du nord,Forêt du nord,la Forêt du nord,0,0,0,1,0,0,0,0,0
58,Hypogée de Tam-Tara,Hypogée de Tam-Tara,l'Hypogée de Tam-Tara,0,0,0,1,0,0,0,0,0
59,Manoir des Haukke,Manoir des Haukke,le Manoir des Haukke,0,0,0,1,0,0,0,0,0
60,,,,0,0,0,0,0,0,0,0,0
61,Mille Gueules de Toto-Rak,Mille Gueules de Toto-Rak,les Mille Gueules de Toto-Rak,0,0,0,1,0,0,0,0,0
62,Ishgard,Ishgard,Ishgard,0,0,0,1,0,0,0,0,0
63,Hautes terres du Coerthas central,Hautes terres du Coerthas central,les Hautes terres du Coerthas central,0,0,0,1,0,0,0,0,0
64,Forteresse de Dzemael,Forteresse de Dzemael,la Forteresse de Dzemael,0,0,0,1,0,0,0,0,0
65,Val d'Aurum,Val d'Aurum,le Val d'Aurum,0,0,0,1,0,0,0,0,0
66,Orient,Orient,l'Orient,0,0,0,1,0,0,0,0,0
67,Mor Dhona,Mor Dhona,le Mor Dhona,0,0,0,1,0,0,0,0,0
68,Berges de Jade,Berges de Jade,les berges de Jade,0,0,0,1,0,0,10,0,0
69,Larmeverte,Larmeverte,Larmeverte,0,0,0,1,0,0,20,0,0
70,Brancharquée,Brancharquée,Brancharquée,0,0,0,1,0,0,30,0,0
71,Havre des Renouées,Havre des Renouées,le havre des Renouées,0,0,0,1,0,0,40,0,0
72,Les Corps levés,Les Corps levés,Les Corps levés,0,0,0,1,0,0,45,0,0
73,Jardinet du miel,Jardinet du miel,le Jardinet du miel,0,0,0,1,0,0,10,0,0
74,Neuf-Lierres,Neuf-Lierres,Neuf-Lierres,0,0,0,1,0,0,20,0,0
75,Massif de ronces,Massif de ronces,le Massif de ronces,0,0,0,1,0,0,30,0,0
76,Chantalouette,Chantalouette,Chantalouette,0,0,0,1,0,0,40,0,0
77,Terres sylphes,Terres sylphes,les Terres sylphes,0,0,0,1,0,0,50,0,0
78,Hauts-Chemins,Hauts-Chemins,les Hauts-Chemins,0,0,0,1,0,0,10,0,0
79,Bas-Chemins,Bas-Chemins,les Bas-Chemins,0,0,0,1,0,0,30,0,0
80,Bocage de la Mue,Bocage de la Mue,le bocage de la Mue,0,0,0,1,0,0,40,0,0
81,Charmille silencieuse,Charmille silencieuse,la Charmille silencieuse,0,0,0,1,0,0,20,0,0
82,Le Don d'Urth,Le Don d'Urth,Le Don d'Urth,0,0,0,1,0,0,50,0,0
83,Futaie des Murmures,Futaie des Murmures,la futaie des Murmures,0,0,0,1,0,0,10,0,0
84,Sommière de la Paix,Sommière de la Paix,la sommière de la Paix,0,0,0,1,0,0,20,0,0
85,Sources de l'Aulne,Sources de l'Aulne,les sources de l'Aulne,0,0,0,1,0,0,30,0,0
86,La Fierté,La Fierté,La Fierté,0,0,0,1,0,0,40,0,0
87,Porte du Blaireau bleu,Porte du Blaireau bleu,la porte du Blaireau bleu,0,0,0,1,0,0,0,0,0
88,Porte du Loup blanc,Porte du Loup blanc,la porte du Loup blanc,0,0,0,1,0,0,0,0,0
89,Tour de Gilbert,Tour de Gilbert,la tour de Gilbert,0,0,0,1,0,0,0,0,0
90,Le Bannock,Le Bannock,Le Bannock,0,0,0,1,0,0,0,0,0
91,Cabane de Gabineaux,Cabane de Gabineaux,la cabane de Gabineaux,0,0,0,1,0,0,0,0,0
92,Rochenue,Rochenue,Rochenue,0,0,0,1,0,0,0,0,0
93,Prison des esprits,Prison des esprits,la Prison des esprits,0,0,0,1,0,0,0,0,0
94,Ranch de Brancharquée,Ranch de Brancharquée,le ranch de Brancharquée,0,0,0,1,0,0,0,0,0
95,Tour de Galvanth,Tour de Galvanth,la tour de Galvanth,0,0,0,1,0,0,0,0,0
96,L'Oubli de la Mère,L'Oubli de la Mère,L'Oubli de la Mère,0,0,0,1,0,0,0,0,0
97,Hypogée de Tam-Tara,Hypogée de Tam-Tara,l'Hypogée de Tam-Tara,0,0,0,1,0,0,0,0,0
98,Appontement du Miroir,Appontement du Miroir,l'appontement du Miroir,0,0,0,1,0,0,0,0,0
99,Pierre des Nénuphars,Pierre des Nénuphars,la pierre des Nénuphars,0,0,0,1,0,0,0,0,0
100,Arbre de l'Orée,Arbre de l'Orée,l'arbre de l'Orée,0,0,0,1,0,0,0,0,0
101,Breuil de l'Ombre éternelle,Breuil de l'Ombre éternelle,le breuil de l'Ombre éternelle,0,0,0,1,0,0,0,0,0
102,Manoir des Haukke,Manoir des Haukke,le Manoir des Haukke,0,0,0,1,0,0,0,0,0
103,Perche sanglante,Perche sanglante,la Perche sanglante,0,0,0,1,0,0,0,0,0
104,Mare de l'Espoir,Mare de l'Espoir,la mare de l'Espoir,0,0,0,1,0,0,0,0,0
105,Rocher des Écailles ambrées,Rocher des Écailles ambrées,le rocher des Écailles ambrées,0,0,0,1,0,0,0,0,0
