#,JobHudManual[0],JobHudManual[1],JobHudManual[2],JobHudManual[3],JobHudManual[4],JobHudManual[5],JobHudManual[6],JobHudManual[7]
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
2,18,17,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0
4,39,0,0,0,0,0,0,0
5,48,47,0,0,0,0,0,0
6,2,0,0,0,0,0,0,0
7,21,20,19,0,0,0,0,0
8,4,0,0,0,0,0,0,0
9,26,25,24,0,0,0,0,0
10,36,35,34,33,32,0,0,0
11,11,10,0,0,0,0,0,0
12,46,45,44,43,42,41,40,0
13,53,52,51,50,49,0,0,0
14,14,13,12,0,0,0,0,0
15,28,27,0,0,0,0,0,0
16,38,37,0,0,0,0,0,0
17,9,8,7,6,5,0,0,0
18,16,15,0,0,0,0,0,0
19,31,30,29,0,0,0,0,0
20,23,22,0,0,0,0,0,0
21,60,80,59,58,0,0,0,0
22,57,56,55,54,0,0,0,0
23,63,62,61,0,0,0,0,0
24,66,65,64,0,0,0,0,0
25,71,70,69,68,67,0,0,0
26,78,77,76,75,74,73,72,0
