#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,True,False,False,False,False,False,True,False,False,False,False,True,False,False
4,True,True,True,True,True,True,True,False,False,False,False,False,False,False
5,False,False,False,False,False,False,False,True,True,True,True,True,True,False
6,True,False,True,False,False,False,False,True,False,False,False,False,False,False
7,False,True,False,True,True,True,False,False,True,True,True,False,False,False
8,False,False,False,False,False,False,True,False,False,False,False,True,False,False
9,False,False,False,False,False,False,False,False,False,False,False,False,True,False
