#,Name0,Name1,Name2,PlaceName,Location,SortKey
0,Non défini,無効,Non défini,0,0,0
1,N'importe où,world,monde,0,0,1
2,Limsa Lominsa,Limsa Lominsa,limsa,500,1,2
3,La Noscea,La Noscea,noscea,502,1,3
4,Antre des loups,The Wolves' Den,antredesloups,501,1,4
5,Gridania,Gridania,gridania,506,2,5
6,Sombrelinceul,The Black Shroud,sombrelinceul,507,2,6
7,Ul'dah,Ul'dah,uldah,504,3,7
8,Thanalan,Thanalan,thanalan,505,3,8
9,Gold Saucer,The Gold Saucer,goldsaucer,503,3,9
10,Ishgard,Ishgard,ishgard,512,4,10
11,Coerthas,Coerthas,coerthas,508,4,11
12,Abalathia,Abalathia's Spine,abalathia,510,4,12
13,Idyllée,Idyllshire,idyllée,4136,4,13
14,Dravania,Dravania,dravania,511,4,14
15,Étendue de Rhalgr,Rhalgr's Reach,rhalgr,4137,5,15
16,Gyr Abania,Gyr Abania,gyrabania,514,5,16
17,Kugane,Kugane,kugane,513,6,17
18,Othard,Othard,othard,515,6,18
19,Radz-at-Han,Radz-at-Han,radzathan,3745,7,19
20,Thavnair,Thavnair,thavnair,3741,7,20
21,Garlemald,Garlemald,garlemald,4138,7,21
22,Cristarium,The Crystarium,cristarium,516,8,22
23,Eulmore,Eulmore,eulmore,517,8,23
24,Norvrandt,Norvrandt,norvrandt,518,8,24
25,Mor Dhona,Mor Dhona,mordhona,509,9,25
26,Vieille Sharlayan,Old Sharlayan,sharlayan,3744,11,26
27,Labyrinthos,Labyrinthos,labyrinthos,3740,11,27
28,Espace intersidéral,The Sea of Stars,espace,3742,9,28
29,Ancien monde,The World Unsundered,ancienmonde,3743,9,29
30,Autres,Elsewhere,autres,519,9,35
31,Tuliyollal,Tuliyollal,tuliyollal,4515,10,30
32,Yok Tural,Yok Tural,yoktural,4511,10,31
33,Xak Tural,Xak Tural,xaktural,4512,10,32
34,Solution Neuf,Solution Nine,solutionneuf,4514,10,33
35,Monde inéphémère,Unlost World,mondeinéphémère,4513,9,34
