#,RequiredQuest1,RequiredQuest2,RequiredQuest3,RequiredQuest4,Gil,QuestReward,ClassLevel,CompleteParam
0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1
2,0,0,0,0,80,0,10,1
3,65983,66213,0,0,0,0,0,2
4,0,0,0,0,0,0,10,1
5,0,0,0,0,0,2,0,1
6,0,0,0,0,40,0,12,1
7,0,0,0,0,0,0,0,1
8,66087,0,0,0,0,0,0,1
9,66043,66064,66082,0,120,0,0,2
10,66043,66064,66082,0,80,0,0,2
11,0,0,0,0,40,0,15,1
12,0,0,0,0,40,0,30,1
13,0,0,0,0,40,0,0,1
14,0,0,0,0,40,0,15,1
15,66338,0,0,0,0,0,0,1
16,0,0,0,0,40,0,0,1
17,0,0,0,0,0,0,0,1
18,0,0,0,0,0,0,0,1
19,65985,0,0,0,0,0,0,1
20,66081,0,0,0,0,0,0,1
21,66045,0,0,65879,0,0,0,1
22,66498,0,0,0,40,0,0,1
23,0,0,0,0,40,0,0,1
24,66748,0,0,0,0,0,0,1
25,66750,0,0,0,0,0,0,1
26,66749,0,0,0,0,0,0,1
27,65638,0,0,0,0,0,0,1
28,65748,0,0,0,0,0,0,1
29,65970,0,0,0,0,0,0,1
30,0,0,0,0,120,0,0,1
31,67670,0,0,0,0,0,0,1
32,67654,0,0,0,0,0,0,1
33,67783,0,0,0,150,0,0,1
34,67783,65970,0,0,0,0,0,1
35,67913,0,0,0,0,0,0,1
36,68005,0,0,0,0,0,0,1
37,0,0,0,0,300,0,0,1
38,68043,0,0,0,0,0,0,1
39,68476,0,0,0,0,0,0,1
40,0,0,0,0,30,0,0,1
41,0,0,0,0,0,2,0,1
42,69137,0,0,0,0,0,0,1
43,68817,0,0,0,0,0,0,1
44,69267,0,0,0,0,0,0,1
45,69208,0,0,0,0,0,0,1
46,69386,0,0,0,0,0,0,1
47,69318,0,0,0,0,0,0,1
48,69318,0,0,0,0,0,0,1
49,69499,0,0,0,0,0,0,1
50,69609,0,0,0,0,0,0,1
51,67783,0,0,0,0,0,0,1
52,69208,0,0,0,0,0,0,1
53,67116,0,0,0,0,0,0,1
54,70000,0,0,0,300,0,0,1
55,70000,0,0,0,500,0,0,1
56,70000,0,0,0,300,0,0,1
57,69709,0,0,0,0,0,0,1
58,0,0,0,0,300,0,0,1
59,69977,0,0,0,0,0,0,1
60,70077,0,0,0,0,0,0,1
61,70191,0,0,0,0,0,0,1
62,70192,0,0,0,0,0,0,1
63,70192,0,0,0,0,0,0,1
64,70322,0,0,0,0,0,0,1
65,70337,0,0,0,0,0,0,1
66,70541,0,0,0,0,0,0,1
67,70721,0,0,0,0,0,0,1
68,70912,0,0,0,0,0,0,1
