#,BackImage,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
0.0,0,0,16,0,False,True,False
0.1,71721,21,50,5,False,True,False
0.2,71722,50,79,0,False,True,False
0.3,71723,79,103,0,False,True,False
0.4,71724,103,131,0,False,True,False
0.5,71725,131,161,0,False,True,False
0.6,71726,161,186,0,False,True,False
0.7,0,186,191,6,False,True,False
0.8,0,191,196,1,False,True,False
0.9,71727,196,219,0,False,True,False
0.10,71728,219,243,0,False,True,False
0.11,71729,243,275,0,False,True,False
0.12,71730,275,298,0,False,True,False
0.13,71731,298,323,0,False,True,False
0.14,71732,323,352,0,False,True,False
0.15,71733,352,387,0,False,True,False
0.16,71734,387,412,0,False,True,False
0.17,71735,412,438,0,False,True,False
0.18,71736,438,464,0,False,True,False
0.19,71737,464,493,0,False,True,False
0.20,71738,493,517,0,False,True,False
0.21,71739,517,542,0,False,True,False
0.22,71740,542,564,0,False,True,False
0.23,71741,564,591,0,False,True,False
0.24,71742,591,621,0,False,True,False
0.25,71743,621,651,0,False,True,False
0.26,71744,651,681,0,False,True,False
0.27,71745,681,712,0,False,True,False
0.28,71746,712,742,0,False,True,False
0.29,71747,742,772,0,False,True,False
0.30,71748,772,803,0,False,True,False
0.31,71749,803,834,0,False,True,False
0.32,71750,834,864,0,False,True,False
0.33,71751,864,885,0,False,True,False
0.34,71752,905,976,2,False,True,False
1.0,71761,18,52,0,False,True,False
1.1,71762,61,87,0,False,True,False
1.2,71763,87,121,0,False,True,False
1.3,71764,121,163,0,False,True,False
1.4,71765,163,190,0,False,True,False
1.5,71766,190,225,0,False,True,False
1.6,71767,225,274,0,False,True,False
1.7,71768,274,306,0,False,True,False
1.8,71769,306,326,0,False,True,False
1.9,71770,326,368,0,False,True,False
1.10,71771,368,398,0,False,True,False
1.11,71772,398,422,0,False,True,False
1.12,71773,422,454,0,False,True,False
1.13,71774,454,489,0,False,True,False
1.14,71775,489,515,0,False,True,False
1.15,71776,515,555,0,False,True,False
1.16,71777,555,597,0,False,True,False
1.17,71778,597,630,0,False,True,False
1.18,71779,630,668,0,False,True,False
1.19,71780,668,701,0,False,True,False
1.20,71781,701,727,0,False,True,False
1.21,71782,727,752,0,False,True,False
1.22,71783,752,778,0,False,True,False
1.23,71784,778,809,0,False,True,False
1.24,71785,809,847,0,False,True,False
1.25,71786,847,875,0,False,True,False
1.26,71787,875,904,0,False,True,False
1.27,71788,904,934,0,False,True,False
1.28,71789,934,963,0,False,True,False
1.29,71790,963,1007,0,False,True,False
1.30,71791,1007,1028,0,False,True,False
1.31,71792,1028,1071,0,False,True,False
1.32,71793,1071,1096,0,False,True,False
1.33,71794,1096,1132,0,False,True,False
1.34,71795,1132,1165,0,False,True,False
1.35,71796,1180,1223,0,False,True,False
1.36,71797,1223,1276,0,False,True,False
1.37,0,0,0,0,False,True,False
2.0,0,0,5,4,False,True,False
2.1,0,5,13,4,True,False,False
2.2,85963,10,108,4,True,False,False
2.3,85964,108,113,4,False,False,False
2.4,180208,113,118,4,False,False,True
2.5,180209,118,128,4,False,False,True
2.6,0,128,133,4,False,False,False
3.0,71801,18,43,0,False,True,False
3.1,71802,43,66,0,False,True,False
3.2,71803,66,88,0,False,True,False
3.3,71804,88,111,0,False,True,False
3.4,71805,111,133,0,False,True,False
3.5,71806,133,156,0,False,True,False
3.6,71807,156,181,0,False,True,False
3.7,71808,188,226,0,False,True,False
3.8,71809,226,266,0,False,True,False
3.9,71810,266,307,0,False,True,False
3.10,71811,307,347,0,False,True,False
3.11,71812,347,390,0,False,True,False
3.12,71813,390,427,0,False,True,False
3.13,71814,427,472,0,False,True,False
3.14,71815,472,516,0,False,True,False
3.15,71816,516,547,0,False,True,False
3.16,71817,547,588,0,False,True,False
3.17,71818,588,630,0,False,True,False
3.18,71819,630,669,0,False,True,False
3.19,71820,669,710,0,False,True,False
3.20,71821,710,743,0,False,True,False
3.21,71822,743,776,0,False,True,False
3.22,71823,776,820,0,False,True,False
3.23,71824,820,861,0,False,True,False
3.24,71825,861,916,0,False,True,False
3.25,71826,916,963,0,False,True,False
3.26,71827,963,1007,0,False,True,False
3.27,0,0,0,0,False,True,False
4.0,0,0,5,4,False,True,False
4.1,0,5,13,4,True,False,False
4.2,85963,13,60,4,True,False,False
4.3,85964,60,65,4,False,False,False
4.4,180208,65,70,4,False,False,True
4.5,180209,70,80,4,False,False,True
4.6,0,80,85,4,False,False,False
5.0,0,0,5,4,False,True,False
5.1,0,5,13,4,True,False,False
5.2,85963,10,116,4,True,False,False
5.3,85964,116,121,4,False,False,False
5.4,180208,121,126,4,False,False,True
5.5,180209,126,136,4,False,False,True
5.6,0,136,141,4,False,False,False
6.0,71831,15,38,0,False,True,False
6.1,71832,38,60,0,False,True,False
6.2,71833,60,91,0,False,True,False
6.3,71834,91,121,0,False,True,False
6.4,71835,121,155,0,False,True,False
6.5,71836,155,179,0,False,True,False
6.6,71837,179,200,0,False,True,False
