#,JapaneseSingularDemonstrative,JapanesePluralDemonstrative,EnglishArticleSingularConsonant,EnglishArticleGenericConsonant,EnglishArticlePluralConsonant,EnglishArticleSingularVowel,EnglishArticleGenericVowel,EnglishArticlePluralVowel,GermanNominativeMasculine,GermanNominativeFeminine,GermanNominativeNeutral,GermanNominativePlural,GermanGenitiveMasculine,GermanGenitiveFeminine,GermanGenitiveNeutral,GermanGenitivePlural,GermanDativeMasculine,GermanDativeFeminine,GermanDativeNeutral,GermanDativePlural,GermanAccusativeMasculine,GermanAccusativeFeminine,GermanAccusativeNeutral,GermanAccusativePlural,FrenchArticleSingular,FrenchArticleSingularMasculine,FrenchArticlePluralMasculine,FrenchArticleSingularMasculineElided,FrenchArticlePluralMasculineElided,FrenchArticleSingularElided,FrenchArticlePluralElided,FrenchArticleSingularMasculineContracted,FrenchArticlePluralMasculineContracted,FrenchArticleSingularFeminine,FrenchArticlePluralFeminine,FrenchArticleSingularFeminineElided,FrenchArticlePluralFeminineElided,FrenchArticleSingularElidedAlt,FrenchArticlePluralElidedAlt,FrenchArticleSingularNeutral,FrenchArticlePluralNeutral
1,その,それらの,,,,,,,,,,,,,,,,,,,,,,,,un ,des ,du ,,un ,des ,de l',,une ,des ,de la ,,une ,des ,de l',
2,,あれらの,,,,,,,,,,,,,,,,,,,,,,,,le ,les ,le ,,l',les ,l',,la ,les ,la ,,l',les ,l',
3,,これらの,,,,,,,,,,,,,,,,,,,,,,,mon ,mon ,mes ,mon ,mon ,mon ,mes ,mon ,ma ,ma ,mes ,ma ,mon ,mon ,mes ,mon ,
4,,,,,,,,,,,,,,,,,,,,,,,,,ton ,ton ,tes ,ton ,ton ,ton ,tes ,ton ,ta ,ta ,tes ,ta ,ton ,ton ,tes ,ton ,
5,,,,,,,,,,,,,,,,,,,,,,,,,son ,son ,ses ,son ,son ,son ,ses ,son ,sa ,sa ,ses ,sa ,son ,son ,ses ,son ,
6,,,,,,,,,,,,,,,,,,,,,,,,,ce ,ce ,ces ,ce ,cet ,cet ,ces ,cet ,cette ,cette ,ces ,cette ,cette ,cette ,ces ,cette ,
7,,,,,,,,,,,,,,,,,,,,,,,,,à ,au ,aux ,au ,à ,à l',aux ,à l',à ,à la ,aux ,à la ,à ,à l',aux ,à l',
8,,,,,,,,,,,,,,,,,,,,,,,,,de ,de ,de ,de ,d',d',d',d',de ,de ,de ,de ,d',d',d',d',
9,,,,,,,,,,,,,,,,,,,,,,,,,de ,du ,des ,du ,d',de l',des ,de l',de ,de la ,des ,de la ,d',de l',des ,de l',
10,,,,,,,,,,,,,,,,,,,,,,,,,que ,que ,que ,que ,qu',qu',que ,qu',que ,que ,que ,que ,qu',qu',que ,qu',
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
