#,X,Y,Z,Yaw,Radius,Object,EventId,Map,Territory,Type
1034660,8.29875,-2.4873,-6.97339,-1.28505,0.96,1000003,0,1,1,8
1034661,9.65888,-2.06,-2.06,-1.97671,0.96,1000004,0,1,1,8
1034662,-9.04865,-2.06,-0.534058,1.40951,1,1000001,0,1,1,8
1034663,-7.82794,-2.28944,-5.84424,0.616042,0.96,1000002,0,1,1,8
1034664,-5.41699,-2.9399,-10.1168,0.690062,0.96,1000005,0,1,1,8
1052256,45.3939,-2.88381,17.3323,0,1,1,0,1,1,12
1140471,25.04,-8.01103,108.11,1.60836,1,1000101,0,2,132,8
1140490,23.8498,-8,115.923,1.59867,1,1000100,0,2,132,8
1140501,23.6972,-8.07207,100.084,1.56291,1,1000102,0,2,132,8
1141020,29.0379,-19.028,105.486,2.57871,1,1000106,0,2,132,8
1141021,27.1458,-19.028,106.676,-2.21688,1,1000107,0,2,132,8
1141052,32.3222,-0.0500215,70.3156,3.05536,1,1000136,0,2,132,8
1141095,33.7644,-8,118.567,2.88992,1,1000139,0,2,132,8
1141112,142.596,-13.2478,161.944,-2.60114,1,1000123,0,2,132,8
1141113,88.6091,-8.71295,128.649,1.33396,1,1000122,0,2,132,8
1141124,49.805,-1.46606,51.7593,0.449675,1,1000146,0,2,132,8
1141127,-20.2619,-3.25,46.0059,1.63664,1,1000148,0,2,132,8
1141128,-9.72004,-3.25,52.4757,1.01134,1,1000149,0,2,132,8
1141130,-40.6348,-3.25,50.1564,1.55371,1,1000151,0,2,132,8
1141132,-44.8463,-1.26655,56.8398,2.13705,1,1000153,0,2,132,8
1141134,-35.064,-3.2425,45.7047,-2.39184,1,1000155,0,2,132,8
1141143,-77.7697,-3.28353,38.2862,-0.272587,1,1000161,0,2,132,8
1141144,-77.9494,-3.70067,53.1166,2.45379,1,1000162,0,2,132,8
1141151,-75.4815,-0.501378,-5.07031,0.992908,1,1000168,0,2,132,8
1141157,-114.366,-7.37018,94.545,2.17603,1,1000171,0,2,132,8
1141190,-16.2756,-3.25001,41.0016,2.81268,1,1000194,0,2,132,8
1141206,197.436,-0.015306,57.1145,-0.561973,1,1000195,0,2,132,8
1141208,201.312,-0.015306,43.9307,-1.39244,1,1000197,0,2,132,8
1141210,211.169,-0.00000301376,28.5801,0.537429,1,1000199,0,2,132,8
1141211,209.552,0.991789,35.0194,1.25467,1,1000200,0,2,132,8
1141215,226.337,1.99996,29.0684,-1.72954,1,1000204,0,2,132,8
1141216,231.434,2.19999,38.3459,-2.56893,1,1000205,0,2,132,8
1141217,193.591,0,42.1606,1.73616,1,1000206,0,2,132,8
1141230,151.507,15.732,-63.9201,-2.42425,1,1000214,0,3,133,8
1141232,158.251,15.671,-77.7753,1.20146,1,1000216,0,3,133,8
1141234,164.721,15.671,-58.1827,-1.94143,1,1000218,0,3,133,8
1141243,168.642,15.671,-65.6771,-2.93057,1,1000227,0,3,133,8
1141244,168.202,15.7,-64.807,-0.67942,1,1000228,0,3,133,8
1141249,168.658,15.4573,-95.9855,-1.73031,1,1000233,0,3,133,8
1141252,158.156,15.671,-114.511,1.91123,1,1000236,0,3,133,8
1141254,155.413,15.671,-121.813,2.01448,1,1000238,0,3,133,8
1141256,170.306,15.671,-118.639,-0.975291,1,1000239,0,3,133,8
1141261,170.031,15.7,-127.001,-1.17624,1,1000243,0,3,133,8
1141267,143.081,14.2503,-250.719,-0.565429,1,1000248,0,3,133,8
1141271,147.082,15.5017,-267.994,-1.59724,1,1000251,0,3,133,8
1141274,157.705,15.8845,-270.327,2.36582,1,1000254,0,3,133,8
1141277,150.164,10.8529,-230.457,-0.831766,1,1000257,0,3,133,8
1141280,171.618,17.4999,-274.067,-1.43377,1,1000260,0,3,133,8
1141281,171.527,17.4999,-273.152,-2.04123,1,1000261,0,3,133,8
1141282,178.027,17.6999,-274.372,-1.40395,1,1000262,0,3,133,8
1141283,141.558,15.5,-274.434,2.5975,1,1000263,0,3,133,8
1141285,101.762,17.1979,-301.839,0.395821,1,1000265,0,3,133,8
1141296,68.6198,11.8158,-237.629,-3.02443,1,1000272,0,3,133,8
1143516,-31.8123,9.67104,-287.057,0.386338,1,1000282,0,3,133,8
1143524,-241.352,8,-148.516,-1.44105,1,1000289,0,3,133,8
1143527,-233.997,8,-146.868,1.60759,1,1000292,0,3,133,8
1143528,-232.929,6.23534,-172.076,-2.55944,1,1000293,0,3,133,8
