#,Name,TextString,Unknown0,Unknown1,Unknown2,Unknown3,Color,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
0,,,-1,-1,0,0,0,0,0,1,1,True
1,,,0,0,0,0,0,0,0,0,0,False
2,,,0,0,0,0,0,0,0,0,0,False
3,Éther corrompu,ContentGaugeMax_negative,80,-1,0,0,4,2,0,1,1,True
4,Éther accumulé,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
5,Pacte avec la terre,ContentGaugeMax_negative,-1,-1,0,0,3,0,0,1,1,True
6,Or accumulé,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
7,Étreinte séduisante,ContentGaugeMax_negative,-1,-1,0,0,4,0,0,1,1,True
8,Puissance magique de Hashmal,ContentGaugeMax_negative,-1,-1,0,0,3,0,0,1,1,True
9,Éther de Bahamut,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
10,Néant,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
11,Éther de Fordola,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
12,Éther de Mateus,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
13,Accélération éthéréenne,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
14,Énergie de Genbu,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
15,Affinité,,60,90,0,0,2,3,1,1,1,False
16,Mise au sol,ContentGaugeMax_positive,30,-1,0,0,3,2,0,-1,1,False
17,Ressentiment,ContentGaugeMax_negative,50,80,0,0,1,3,2,1,1,True
18,Énergie de Qitian Dasheng,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
19,Éther d'Ultima Arma,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
20,Puissance magique de Yiazmat,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
21,Puissance magique de Belias,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
22,Pouvoir suprême,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
23,Mélodie vermillon,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
24,Éther de Midgardsormr,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
25,Chute de météore,ContentGaugeMax_negative,80,-1,0,0,3,2,0,1,1,True
26,Puissance magique du cristal noir,ContentGaugeMax_negative,50,80,0,0,1,3,2,1,1,False
27,Concentration électrique,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
28,Épée sacrée,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
29,Grâce de Seiryû,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
30,Résistance de la barrière magique,,30,50,0,0,2,3,1,1,1,False
31,Éther accumulé,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
32,Passe d'armes,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
33,Puissance magique de Titania,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
34,Jugement suprême,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
