#,Name,Unknown0,StampIcon,Unknown1,Category,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
0,Aucun,0,0,0,0,0,0,10,False,False,False
1,Début de la mission,0,120021,2,10,0,200,10,False,False,False
2,Mission accomplie,0,120022,2,10,0,201,10,False,False,False
3,,0,0,0,0,0,0,0,False,False,False
4,Reprise de la mission,0,120024,2,10,0,203,10,False,False,False
5,Quête acceptée,0,120001,2,11,0,100,10,False,False,False
6,Quête accomplie,0,120002,2,11,0,101,10,False,False,False
7,ALÉA en cours,0,120081,2,12,0,303,10,False,False,False
8,ALÉA réussi,0,120082,2,12,0,304,10,False,False,False
9,,0,0,0,0,0,0,0,False,False,False
10,Gain de niveau !,0,120111,2,5,0,10,10,False,False,False
11,JACTA commencé,0,121561,2,13,0,400,10,False,False,False
12,JACTA réussi,0,121562,2,13,0,401,10,False,False,False
13,,0,0,0,0,0,0,0,False,False,False
14,Course de chocobos : Partez !,0,121551,2,13,0,403,10,False,False,False
15,Course de chocobos : Arrivée !,0,121552,2,13,0,404,10,False,False,False
16,Course de chocobos : Challenge réussi !,0,121553,2,13,0,405,10,False,False,False
17,Lance-bombo : Bravo !,0,121501,2,13,0,406,10,False,False,False
18,Lance-bombo : Raté...,0,121502,2,13,0,407,10,False,False,False
19,Mini-jeux : Excellent !,0,121511,2,13,0,408,10,False,False,False
20,Mini-jeux : Très bien !,0,121512,2,13,0,409,10,False,False,False
21,Mini-jeux : Bien !,0,121513,2,13,0,410,10,False,False,False
22,,0,0,0,0,0,0,0,False,False,False
23,Petite équipe,0,120114,2,5,0,23,10,False,False,False
24,Équipe complète,0,120115,2,5,0,24,10,False,False,False
25,Perte de niveau...,0,120119,2,5,0,11,10,False,False,False
26,FINAL FANTASY XIV ONLINE (blanc),0,230651,2,16,0,2,10,True,False,False
27,FINAL FANTASY XIV ONLINE (noir),0,230652,2,16,0,1,10,True,False,False
28,,0,0,0,0,0,0,0,False,False,False
29,Drapeau alexandrin,70495,230715,1,6,0,15,1,True,False,False
30,Triple Triade : ★,0,230111,1,4,0,1,10,True,False,False
31,Triple Triade : ★★,0,230112,1,4,0,2,10,True,False,False
32,Triple Triade : ★★★,0,230113,1,4,0,3,10,True,False,False
33,Triple Triade : ★★★★,0,230114,1,4,0,4,10,True,False,False
34,Triple Triade : ★★★★★,0,230115,1,4,0,5,10,True,False,False
35,Triple Triade : 1,0,230120,1,4,0,12,10,True,False,False
36,Triple Triade : 2,0,230121,1,4,0,13,10,True,False,False
37,Triple Triade : 3,0,230122,1,4,0,14,10,True,False,False
38,Triple Triade : 4,0,230123,1,4,0,15,10,True,False,False
39,Triple Triade : 5,0,230124,1,4,0,16,10,True,False,False
40,Triple Triade : 6,0,230125,1,4,0,17,10,True,False,False
41,Triple Triade : 7,0,230126,1,4,0,18,10,True,False,False
42,Triple Triade : 8,0,230127,1,4,0,19,10,True,False,False
43,Triple Triade : 9,0,230128,1,4,0,20,10,True,False,False
44,Triple Triade : A,0,230129,1,4,0,21,10,True,False,False
45,Triple Triade : 0,0,230119,1,4,0,11,10,True,False,False
46,Drapeau sharlayanais,0,230711,1,6,0,11,10,True,False,False
47,Drapeau hannois,0,230713,1,6,0,12,10,True,False,False
48,Drapeau garlemaldais,0,230712,1,6,0,13,10,True,False,False
49,Drapeau tuliyollois,0,230714,1,6,0,14,10,True,False,False
50,Drapeau gridanien,0,230701,1,6,0,2,10,True,False,False
51,Drapeau limséen,0,230702,1,6,0,1,10,True,False,False
52,Drapeau uldien,0,230703,1,6,0,3,10,True,False,False
53,Drapeau ishgardais,0,230704,1,6,0,4,10,True,False,False
54,Drapeau mhigois,0,230705,1,6,0,5,10,True,False,False
55,Drapeau kuganien,0,230706,1,6,0,6,10,True,False,False
56,Drapeau domien,0,230707,1,6,0,7,10,True,False,False
57,Drapeau cristarien,0,230708,1,6,0,8,10,True,False,False
58,Drapeau eulmorien,0,230709,1,6,0,9,10,True,False,False
59,Drapeau bozjien,0,230710,1,6,0,10,10,True,False,False
60,Visage normal,0,230626,1,3,0,1,10,True,True,True
61,Visage souriant,0,230627,1,3,0,2,10,True,True,True
62,Visage radieux,0,230628,1,3,0,3,10,True,True,True
63,Clin d'œil,0,230629,1,3,0,4,10,True,True,True
64,,0,0,0,0,0,0,0,False,False,False
65,Visage confiant,0,230631,1,3,0,5,10,True,True,True
66,Visage arrogant,0,230632,1,3,0,6,10,True,True,True
67,Visage endormi,0,230633,1,3,0,7,10,True,True,True
68,Visage stupéfait,0,230634,1,3,0,8,10,True,True,True
69,Visage interloqué,0,230635,1,3,0,9,10,True,True,True
70,Bouche en cœur,0,230636,1,3,0,10,10,True,True,True
71,Visage sérieux,0,230637,1,3,0,11,10,True,True,True
72,Sourire tendre,0,230638,1,3,0,12,10,True,True,True
73,Visage satisfait,0,230639,1,3,0,13,10,True,True,True
74,Visage rieur,0,230640,1,3,0,14,10,True,True,True
75,Visage méditatif,0,230641,1,3,0,15,10,True,True,True
76,,0,0,0,0,0,0,0,False,False,False
77,,0,0,0,0,0,0,0,False,False,False
78,,0,0,0,0,0,0,0,False,False,False
