#,Unknown_70_1,ENpcResident,Item,Unknown_70_2,Unknown_70_3,Unknown1,Unknown2,ClassJobCategory,Unknown0,AmountRequired,Unknown3,ItemHQ
0.0,0,0,0,0,0,0,0,0,0,0,0,False
1.0,0,0,0,0,0,0,0,0,0,0,0,False
1.1,0,0,0,0,0,0,0,0,0,0,0,False
1.2,0,0,0,0,0,0,0,0,0,0,0,False
1.3,0,0,0,0,0,0,0,0,0,0,0,False
2.0,0,0,0,0,0,0,0,0,0,0,0,False
2.1,0,0,0,0,0,0,0,0,0,0,0,False
2.2,0,0,0,0,0,0,0,0,0,0,0,False
2.3,0,0,0,0,0,0,0,0,0,0,0,False
3.0,0,0,0,0,0,0,0,0,0,0,0,False
3.1,0,0,0,0,0,0,0,0,0,0,0,False
3.2,0,0,0,0,0,0,0,0,0,0,0,False
3.3,0,0,0,0,0,0,0,0,0,0,0,False
3.4,0,0,0,0,0,0,0,0,0,0,0,False
3.5,0,0,0,0,0,0,0,0,0,0,0,False
3.6,0,0,0,0,0,0,0,0,0,0,0,False
3.7,0,0,0,0,0,0,0,0,0,0,0,False
4.0,0,0,0,0,0,0,0,0,0,0,0,False
4.1,0,0,0,0,0,0,0,0,0,0,0,False
4.2,0,0,0,0,0,0,0,0,0,0,0,False
4.3,0,0,0,0,0,0,0,0,0,0,0,False
5.0,0,1025769,22725,0,0,0,0,33,0,2,255,False
5.1,2,1025769,22621,0,0,0,0,17,0,3,255,False
5.2,2,1025769,22647,0,0,0,0,18,0,3,255,False
5.3,1,1025769,22673,0,0,0,0,19,0,1,255,False
6.0,0,1025602,22726,0,0,0,0,33,0,1,255,False
6.1,2,1025602,22622,0,0,0,0,17,0,3,255,False
6.2,2,1025602,22648,0,0,0,0,18,0,3,255,False
6.3,1,1025602,22674,0,0,0,0,19,0,1,255,False
7.0,0,1025602,22727,0,0,0,0,33,0,2,255,False
7.1,2,1025602,22623,0,0,0,0,17,0,3,255,False
7.2,2,1025602,22649,0,0,0,0,18,0,3,255,False
7.3,1,1025602,22675,0,0,0,0,19,0,1,255,False
8.0,0,1025602,22728,0,0,0,0,33,0,3,255,False
8.1,2,1025602,22624,0,0,0,0,17,0,3,255,False
8.2,2,1025602,22650,0,0,0,0,18,0,3,255,False
8.3,1,1025602,22676,0,0,0,0,19,0,1,255,False
9.0,0,1025779,22730,0,0,0,0,33,0,2,255,False
9.1,2,1025779,22626,0,0,0,0,17,0,3,255,False
9.2,2,1025779,22652,0,0,0,0,18,0,3,255,False
9.3,1,1025779,22678,0,0,0,0,19,0,1,255,False
10.0,0,1025781,22731,0,0,0,0,33,0,1,255,False
10.1,2,1025781,22627,0,0,0,0,17,0,3,255,False
10.2,2,1025781,22653,0,0,0,0,18,0,3,255,False
10.3,1,1025781,22679,0,0,0,0,19,0,1,255,False
11.0,0,1025602,22732,0,0,0,0,33,0,2,255,False
11.1,2,1025602,22628,0,0,0,0,17,0,3,255,False
11.2,2,1025602,22654,0,0,0,0,18,0,3,255,False
11.3,1,1025602,22680,0,0,0,0,19,0,1,255,False
12.0,0,1025785,22733,0,0,0,0,33,0,1,255,True
12.1,2,1025785,22629,0,0,0,0,17,0,2,255,False
12.2,2,1025785,22655,0,0,0,0,18,0,2,255,False
12.3,1,1025785,22681,0,0,0,0,19,0,1,255,False
13.0,0,1025787,22734,0,0,0,0,33,0,2,255,False
13.1,2,1025787,22630,0,0,0,0,17,0,3,255,False
13.2,2,1025787,22656,0,0,0,0,18,0,3,255,False
13.3,1,1025787,22682,0,0,0,0,19,0,1,255,False
14.0,0,1025789,22735,0,0,0,0,33,0,3,255,False
14.1,2,1025789,22631,0,0,0,0,17,0,3,255,False
14.2,2,1025789,22657,0,0,0,0,18,0,3,255,False
14.3,1,1025789,22683,0,0,0,0,19,0,1,255,False
15.0,0,1025602,22736,0,0,0,0,33,0,2,255,False
15.1,2,1025602,22632,0,0,0,0,17,0,1,255,False
15.2,2,1025602,22658,0,0,0,0,18,0,1,255,False
15.3,1,1025602,22684,0,0,0,0,19,0,1,255,False
16.0,0,1025602,22737,0,0,0,0,33,0,1,255,False
16.1,2,1025602,22633,0,0,0,0,17,0,2,255,False
16.2,2,1025602,22659,0,0,0,0,18,0,2,255,False
16.3,1,1025602,22685,0,0,0,0,19,0,1,255,False
17.0,0,1025803,22738,0,0,0,0,33,0,3,255,False
17.1,2,1025803,22634,0,0,0,0,17,0,2,255,False
17.2,2,1025803,22660,0,0,0,0,18,0,2,255,False
17.3,1,1025803,22686,0,0,0,0,19,0,1,255,False
18.0,0,1025602,22739,0,0,0,0,33,0,1,255,True
18.1,2,1025602,22635,0,0,0,0,17,0,3,255,False
18.2,2,1025602,22661,0,0,0,0,18,0,3,255,False
