#,Name[0],Name[1],Name[2],Unknown4,RacingChocoboNameCategory,Unknown0,Unknown1,Unknown2,Unknown3
0,0,0,0,0,0,False,False,False,False
1,0,0,0,0,0,False,False,False,False
2,0,0,0,0,0,False,False,False,False
3,0,0,0,0,1,False,False,False,False
4,0,0,0,0,0,False,False,False,False
5,33,0,0,0,2,False,False,False,True
6,34,0,0,0,2,False,False,False,True
7,58,0,0,0,3,False,False,False,True
8,81,81,81,81,2,False,True,False,False
9,121,121,121,121,2,False,True,False,False
10,123,123,123,123,2,False,False,False,True
11,124,0,0,0,2,False,False,False,True
12,127,0,0,0,2,False,False,True,False
13,128,128,128,128,2,False,False,True,False
14,129,0,0,0,2,False,False,True,False
15,133,0,0,0,2,False,False,False,True
16,134,0,0,0,2,False,False,False,True
17,142,0,0,0,2,False,False,False,True
18,143,143,143,143,2,False,True,False,True
19,146,146,146,146,2,False,True,False,False
20,180,0,0,0,2,False,False,False,True
21,181,0,0,0,2,False,False,False,True
22,212,0,0,0,2,False,False,False,True
23,214,0,0,0,10,False,False,False,True
24,216,0,0,0,8,False,False,False,True
25,217,0,0,0,2,False,False,False,True
26,218,218,218,218,2,False,True,False,False
27,219,0,0,0,2,False,False,False,True
28,258,258,258,258,2,False,True,False,False
29,266,266,266,266,2,False,True,False,True
30,301,301,301,301,2,False,True,False,False
31,311,0,0,0,2,False,False,False,True
32,312,0,0,0,2,False,False,False,True
33,372,0,0,0,2,False,False,False,True
34,373,0,0,0,2,False,False,False,True
35,391,391,391,391,2,False,True,False,False
36,406,0,0,0,2,False,False,False,True
37,583,0,0,0,2,False,False,True,False
38,584,0,0,0,2,False,False,True,False
39,585,0,0,0,2,False,False,True,False
40,610,610,610,610,2,False,True,True,False
41,611,0,0,0,2,False,False,True,False
42,612,0,0,0,2,False,False,True,False
43,613,0,0,0,2,False,False,True,False
44,626,626,626,626,2,False,True,False,False
45,628,628,628,628,2,False,True,False,False
46,643,0,0,0,2,False,False,True,False
