#,Image,Unknown1,Type,Unknown0
0,0,0,0,-1
1,120501,0,7,-1
2,120022,0,1,-1
3,120339,0,1,-1
4,120346,0,1,-1
5,120801,0,8,-1
6,120802,0,8,-1
7,120803,0,8,-1
8,120804,0,8,-1
9,120805,0,8,-1
10,127000,0,5,-1
11,120340,0,1,-1
12,127010,0,5,-1
13,127020,0,5,-1
14,120343,0,1,-1
15,120347,0,1,-1
16,127030,0,5,-1
17,120341,0,1,-1
18,121103,0,1,-1
19,120023,0,1,-1
20,127040,0,5,-1
21,127040,0,5,-1
22,120908,0,1,-1
23,0,0,9,-1
24,0,0,10,-1
25,0,0,11,-1
26,120373,0,1,-1
27,120518,0,4,30
28,1,0,12,-1
29,2,0,12,-1
30,3,0,12,-1
31,120141,0,1,-1
32,120392,0,1,-1
33,120393,0,1,-1
34,120520,0,4,30
35,4,0,12,-1
36,5,0,12,-1
37,6,0,12,-1
38,7,0,12,-1
39,8,0,12,-1
40,9,0,12,-1
41,10,0,12,-1
42,11,0,12,-1
43,12,0,12,-1
44,13,0,12,-1
45,14,0,12,-1
46,15,0,12,-1
47,16,0,12,-1
48,17,0,12,-1
49,18,0,12,-1
50,19,0,12,-1
51,20,0,12,-1
52,21,0,12,-1
53,22,0,12,-1
54,23,0,12,-1
55,24,0,12,-1
56,0,0,14,-1
57,120406,0,1,-1
58,120394,0,1,-1
59,120395,0,1,-1
60,120806,0,8,-1
61,124808,0,16,-1
62,120439,0,1,-1
63,120440,0,1,-1
64,127050,0,5,-1
65,120396,0,1,-1
66,120397,0,1,-1
67,120448,0,1,-1
68,120522,0,4,30
69,120464,0,1,-1
70,25,0,12,-1
71,26,0,12,-1
72,27,0,12,-1
73,28,0,12,-1
74,29,0,12,-1
75,30,0,12,-1
76,31,0,12,-1
77,32,0,12,-1
78,33,0,12,-1
79,120475,0,1,-1
80,120476,0,1,-1
81,120524,0,4,30
82,34,0,12,-1
83,35,0,12,-1
84,120620,0,1,-1
85,120621,0,1,-1
86,120807,0,8,-1
87,120808,0,8,-1
88,120809,0,8,-1
89,120804,0,8,-1
90,120628,0,1,-1
91,120629,0,1,-1
92,120643,0,1,-1
93,120644,0,1,-1
94,120645,0,1,-1
95,120671,0,1,-1
96,120672,0,1,-1
97,120673,0,1,-1
98,121223,0,21,-1
99,127060,0,5,-1
100,120831,0,1,-1
101,120832,0,1,-1
102,124757,0,23,-1
103,120526,0,4,30
104,128001,0,1,-1
105,128002,0,1,-1
106,120529,0,25,-1
107,36,0,12,-1
108,37,0,12,-1
109,38,0,12,-1
110,39,0,12,-1
111,40,0,12,-1
112,41,0,12,-1
113,42,0,12,-1
114,43,0,12,-1
115,44,0,12,-1
116,45,0,12,-1
117,46,0,12,-1
118,47,0,12,-1
119,48,0,12,-1
120,49,0,12,-1
121,50,0,12,-1
122,51,0,12,-1
123,181001,0,26,-1
124,181002,0,26,-1
125,181003,0,26,-1
126,181004,0,26,-1
127,181005,0,26,-1
128,181006,0,26,-1
129,181007,0,26,-1
130,181008,0,26,-1
131,181009,0,26,-1
132,181010,0,26,-1
133,181011,0,26,-1
134,181012,0,26,-1
135,181013,0,26,-1
136,181014,0,26,-1
137,181015,0,26,-1
138,128048,0,1,-1
139,128049,0,1,-1
140,181016,0,26,-1
141,181017,0,26,-1
142,181018,0,26,-1
143,181019,0,26,-1
144,181020,0,26,-1
145,128064,0,1,-1
146,128065,0,1,-1
147,181021,0,26,-1
148,181022,0,26,-1
149,181023,0,26,-1
150,181024,0,26,-1
151,181025,0,26,-1
152,181026,0,26,-1
153,181027,0,26,-1
154,127080,0,5,-1
155,128081,0,1,-1
156,181028,0,26,-1
157,181029,0,26,-1
158,181030,0,26,-1
159,181031,0,26,-1
160,181032,0,26,-1
161,127090,0,5,-1
162,124764,0,23,-1
163,128094,0,1,-1
164,181033,0,26,-1
165,128098,0,1,-1
166,128099,0,1,-1
167,128100,0,1,-1
168,128101,0,1,-1
169,181034,0,26,-1
170,0,0,26,-1
171,181036,0,26,-1
172,181037,0,26,-1
173,181038,0,26,-1
174,181039,0,26,-1
175,181040,0,26,-1
176,0,0,26,-1
177,181042,0,26,-1
178,128113,0,1,-1
179,127100,0,5,-1
180,128117,0,1,-1
181,128118,0,1,-1
182,181043,0,26,-1
183,181044,0,26,-1
184,181045,0,26,-1
185,181046,0,26,-1
186,127110,0,5,-1
187,120530,0,4,30
188,124768,0,23,-1
189,127115,0,5,-1
190,128129,0,1,-1
191,128130,0,1,-1
192,181048,0,26,-1
193,181049,0,26,-1
194,181050,0,26,-1
195,181051,0,26,-1
196,181052,0,26,-1
197,181053,0,26,-1
198,181054,0,26,-1
199,181055,0,26,-1
200,181056,0,26,-1
201,181057,0,26,-1
202,181058,0,26,-1
203,181059,0,26,-1
204,181060,0,26,-1
205,181061,0,26,-1
206,181062,0,26,-1
207,181063,0,26,-1
208,181064,0,26,-1
209,181065,0,26,-1
210,181066,0,26,-1
211,181067,0,26,-1
212,127120,0,5,-1
213,52,0,12,-1
214,53,0,12,-1
215,54,0,12,-1
216,55,0,12,-1
217,56,0,12,-1
218,57,0,12,-1
219,58,0,12,-1
220,59,0,12,-1
221,60,0,12,-1
222,61,0,12,-1
223,62,0,12,-1
224,63,0,12,-1
225,64,0,12,-1
226,65,0,12,-1
227,66,0,12,-1
228,67,0,12,-1
229,68,0,12,-1
230,69,0,12,-1
231,70,0,12,-1
232,71,0,12,-1
233,72,0,12,-1
234,73,0,12,-1
235,74,0,12,-1
236,75,0,12,-1
237,76,0,12,-1
238,77,0,12,-1
239,78,0,12,-1
240,79,0,12,-1
241,80,0,12,-1
242,81,0,12,-1
243,82,0,12,-1
244,83,0,12,-1
245,84,0,12,-1
246,85,0,12,-1
247,127951,0,31,-1
248,128176,0,1,-1
249,128177,0,1,-1
250,181069,0,26,-1
251,181070,0,26,-1
252,181071,0,26,-1
253,181072,0,26,-1
254,127126,0,25,147
255,181073,0,26,-1
256,128197,0,1,-1
257,128198,0,1,-1
258,181075,0,26,-1
259,181076,0,26,-1
260,181077,0,26,-1
261,181078,0,26,-1
262,181079,0,26,-1
263,181080,0,26,-1
264,181081,0,26,-1
265,181082,0,26,-1
266,181083,0,26,-1
267,181084,0,26,-1
268,128220,0,32,-1
269,127952,0,31,-1
270,127129,0,25,147
271,128225,0,1,-1
272,128226,0,1,-1
273,128227,0,1,-1
274,181086,0,26,-1
275,181087,0,26,-1
276,181088,0,26,-1
277,181089,0,26,-1
278,181090,0,26,-1
279,128237,0,32,-1
280,127953,0,31,-1
281,127132,0,25,147
282,128240,0,1,-1
283,128241,0,1,-1
284,181092,0,26,-1
285,181093,0,26,-1
286,181094,0,26,-1
287,181095,0,26,-1
288,181096,0,26,-1
289,181097,0,26,-1
290,181098,0,26,-1
291,181099,0,26,-1
292,181100,0,26,-1
293,181101,0,26,-1
294,0,0,0,-1
295,127954,0,31,-1
296,127135,0,25,147
297,127137,0,5,-1
298,0,0,26,-1
299,128259,0,1,-1
