#,Name,Image,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown3,SortKey,Component,Subtype,Unknown1,Category
0,Aucun,0,1,0,0,0,0,0,0,0,0
1,Brillant,194002,1,0,0,0,1,2,0,0,1
2,Carrés,194003,1,0,0,0,6,2,0,0,1
3,Pointillés,194004,1,0,0,0,7,2,0,0,1
4,Damier,194005,1,0,0,0,8,2,0,0,1
5,Quadrillage,194006,1,0,0,0,2,2,0,0,1
6,Traits diagonaux,194007,1,0,0,0,3,2,0,0,1
7,Séparation diagonale,194008,1,0,0,0,4,2,0,0,1
8,Triangles,194009,1,0,0,0,5,2,0,0,1
9,Parchemin,194010,1,0,0,0,10,2,0,0,1
10,Coins décorés,194011,1,0,0,0,9,2,0,0,1
11,Ombre portée,195002,1,0,0,0,1,1,0,0,1
12,Liseré lumineux,195003,1,0,0,0,2,1,0,0,1
13,Violet à pois,195004,1,0,0,0,3,1,0,0,1
14,Carnet,195005,1,0,0,0,4,1,0,0,1
15,Fouillis,195006,1,0,0,0,5,1,0,0,1
16,Cercles magiques,195007,1,0,0,0,6,1,0,0,1
17,Parchemin,195008,1,0,0,0,7,1,0,0,1
18,Coups de pinceau,195009,1,0,0,0,8,1,0,0,1
19,Panneau métallique,195010,1,0,0,0,9,1,0,0,1
20,Livre,195011,1,0,0,0,10,1,0,0,1
21,Bannière,197002,1,0,0,0,3,3,0,0,1
22,Rappelé,197003,1,0,0,0,4,3,0,0,1
23,Cercle de métal,197004,1,0,0,0,5,3,0,0,1
24,Bannière tank,197005,1,0,0,0,6,3,0,0,1
25,Bannière DPS,197006,1,0,0,0,8,3,0,0,1
26,Bannière soigneur,197007,1,0,0,0,7,3,0,0,1
27,Beige,197008,1,0,0,0,1,3,0,0,1
28,En relief,197009,1,0,0,0,2,3,0,0,1
29,Mémos,197010,1,0,0,0,9,3,0,0,1
30,Fouillis,197011,1,0,0,0,10,3,0,0,1
31,Noir,198002,1,0,0,0,3,4,0,0,1
32,Blanc,198003,1,0,0,0,2,4,0,0,1
33,Gemmes en relief,198004,1,0,0,0,5,4,0,0,1
34,Gemmes simples,198005,1,0,0,0,4,4,0,0,1
35,Limsa Lominsa,198006,1,0,0,0,6,4,0,0,1
36,Gridania,198007,1,0,0,0,7,4,0,0,1
37,Ul'dah,198008,1,0,0,0,8,4,0,0,1
38,Métallique,198009,1,0,0,0,1,4,0,0,1
39,Triple Triade EX,198010,298,0,0,0,10,4,0,0,1
40,Triple Triade,198011,298,0,0,0,9,4,0,0,1
41,Gils,199002,1,0,0,0,1,5,0,0,1
42,Plume et encrier,199003,1,0,0,0,2,5,0,0,1
43,Autocollants,199004,1,0,0,0,3,5,0,0,1
44,Carte,199005,1,0,0,0,4,5,0,0,1
45,Ruban,199006,1,0,0,0,5,5,0,0,1
46,Lettres,199007,1,0,0,0,6,5,0,0,1
47,Notes de musique,199008,1,0,0,0,7,5,0,0,1
48,Bouquet de fleurs,199009,1,0,0,0,8,5,0,0,1
49,Mémos,199010,1,0,0,0,9,5,0,0,1
50,Timbres,199011,1,0,0,0,10,5,0,0,1
51,Gladiateur,194201,156,0,0,0,2000,2,0,0,2
52,Maraudeur,194202,157,0,0,0,2001,2,0,0,2
53,Élémentaliste,194203,158,0,0,0,2002,2,0,0,2
54,Pugiliste,194204,159,0,0,0,2003,2,0,0,2
55,Maître d'hast,194205,160,0,0,0,2004,2,0,0,2
56,Surineur,194206,161,0,0,0,2005,2,0,0,2
57,Archer,194207,162,0,0,0,2006,2,0,0,2
58,Occultiste,194208,163,0,0,0,2007,2,0,0,2
59,Arcaniste,194209,164,0,0,0,2008,2,0,0,2
60,Paladin,194210,300,0,0,0,2050,2,0,0,2
61,Guerrier,194211,301,0,0,0,2051,2,0,0,2
62,Chevalier noir,194212,302,0,0,0,2052,2,0,0,2
63,Pistosabreur,194213,303,0,0,0,2053,2,0,0,2
64,Mage blanc,194214,304,0,0,0,2054,2,0,0,2
65,Érudit,194215,305,0,0,0,2055,2,0,0,2
66,Astromancien,194216,306,0,0,0,2056,2,0,0,2
67,Sage,194217,307,0,0,0,2057,2,0,0,2
68,Moine,194218,308,0,0,0,2058,2,0,0,2
69,Chevalier dragon,194219,309,0,0,0,2059,2,0,0,2
70,Ninja,194220,310,0,0,0,2060,2,0,0,2
71,Samouraï,194221,311,0,0,0,2061,2,0,0,2
72,Faucheur,194222,312,0,0,0,2062,2,0,0,2
73,Barde,194223,313,0,0,0,2064,2,0,0,2
74,Machiniste,194224,314,0,0,0,2065,2,0,0,2
75,Danseur,194225,315,0,0,0,2066,2,0,0,2
76,Mage noir,194226,316,0,0,0,2067,2,0,0,2
77,Invocateur,194227,317,0,0,0,2068,2,0,0,2
78,Mage rouge,194228,318,0,0,0,2069,2,0,0,2
79,Mage bleu,194229,232,0,0,0,2071,2,0,0,2
80,Menuisier,194230,268,0,0,0,2100,2,0,0,2
81,Forgeron,194231,269,0,0,0,2101,2,0,0,2
82,Armurier,194232,270,0,0,0,2102,2,0,0,2
83,Orfèvre,194233,271,0,0,0,2103,2,0,0,2
84,Tanneur,194234,272,0,0,0,2104,2,0,0,2
85,Couturier,194235,273,0,0,0,2105,2,0,0,2
86,Alchimiste,194236,274,0,0,0,2106,2,0,0,2
87,Cuisinier,194237,275,0,0,0,2107,2,0,0,2
88,Mineur,194238,285,0,0,0,2108,2,0,0,2
89,Botaniste,194239,286,0,0,0,2109,2,0,0,2
90,Pêcheur,194240,287,0,0,0,2110,2,0,0,2
91,,0,0,0,0,0,0,0,0,0,0
