#,Singular,Plural,Description,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,ModelMain,ModelSub,DamagePhys,DamageMag,Delayms,BlockRate,Block,DefensePhys,DefenseMag,BaseParamValue[0],BaseParamValue[1],BaseParamValue[2],BaseParamValue[3],BaseParamValue[4],BaseParamValue[5],BaseParamValueSpecial[0],BaseParamValueSpecial[1],BaseParamValueSpecial[2],BaseParamValueSpecial[3],BaseParamValueSpecial[4],BaseParamValueSpecial[5],LevelEquip,RequiredPvpRank,EquipRestriction,ClassJobCategory,GrandCompany,ItemSeries,BaseParamModifier,ClassJobUse,Unknown2,DefaultActionRange,BaseParam[0],BaseParam[1],BaseParam[2],BaseParam[3],BaseParam[4],BaseParam[5],ItemSpecialBonus,ItemSpecialBonusParam,BaseParamSpecial[0],BaseParamSpecial[1],BaseParamSpecial[2],BaseParamSpecial[3],BaseParamSpecial[4],BaseParamSpecial[5],MaterializeType,MateriaSlotCount,SubStatCategory,IsAdvancedMeldingPermitted,IsPvP,IsGlamorous,AdditionalData,StackSize,PriceMid,PriceLow,ItemRepair,ItemGlamour,Icon,LevelItem,SubcategorySort,ItemAction,Cooldowns,Desynth,AetherialReduce,Rarity,FilterGroup,ItemUICategory,ItemSearchCategory,EquipSlotCategory,ItemSortCategory,DyeCount,CastTimeSeconds,ClassJobRepair,IsUnique,IsUntradable,IsIndisposable,Lot,CanBeHq,IsCrestWorthy,IsCollectable,AlwaysCollectable
0,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,False,False,False,False,False,False,False,False
1,gil,gils,La monnaie couramment utilisée en Éorzéa.,Gil,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,999999999,0,0,0,0,65002,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
2,éclat de feu,éclats de feu,Un éclat provenant d'un cristal de feu.,Éclat de feu,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,9,0,0,0,20001,1,10010,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
3,éclat de glace,éclats de glace,Un éclat provenant d'un cristal de glace.,Éclat de glace,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,9,0,0,0,20003,1,10020,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
4,éclat de vent,éclats de vent,Un éclat provenant d'un cristal de vent.,Éclat de vent,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,9,0,0,0,20004,1,10030,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
5,éclat de terre,éclats de terre,Un éclat provenant d'un cristal de terre.,Éclat de terre,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,9,0,0,0,20006,1,10040,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
6,éclat de foudre,éclats de foudre,Un éclat provenant d'un cristal de foudre.,Éclat de foudre,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,9,0,0,0,20005,1,10050,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
7,éclat d'eau,éclats d'eau,Un éclat provenant d'un cristal d'eau.,Éclat d'eau,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,9,0,0,0,20002,1,10060,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
8,cristal de feu,cristaux de feu,De l'énergie éthérée de feu cristallisée.,Cristal de feu,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,229,0,0,0,20007,25,20010,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
9,cristal de glace,cristaux de glace,De l'énergie éthérée de glace cristallisée.,Cristal de glace,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,229,0,0,0,20009,25,20020,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
10,cristal de vent,cristaux de vent,De l'énergie éthérée de vent cristallisée.,Cristal de vent,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,229,0,0,0,20010,25,20030,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
11,cristal de terre,cristaux de terre,De l'énergie éthérée de terre cristallisée.,Cristal de terre,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,229,0,0,0,20012,25,20040,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
12,cristal de foudre,cristaux de foudre,De l'énergie éthérée de foudre cristallisée.,Cristal de foudre,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,229,0,0,0,20011,25,20050,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
13,cristal d'eau,cristaux d'eau,De l'énergie éthérée d'eau cristallisée.,Cristal d'eau,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,229,0,0,0,20008,25,20060,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
14,agrégat de feu,agrégats de feu,Un agrégat de cristaux de feu.,Agrégat de feu,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,990,0,0,0,20013,50,30010,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
15,agrégat de glace,agrégats de glace,Un agrégat de cristaux de glace.,Agrégat de glace,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,990,0,0,0,20015,50,30020,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
16,agrégat de vent,agrégats de vent,Un agrégat de cristaux de vent.,Agrégat de vent,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,990,0,0,0,20016,50,30030,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
17,agrégat de terre,agrégats de terre,Un agrégat de cristaux de terre.,Agrégat de terre,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,990,0,0,0,20018,50,30040,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
18,agrégat de foudre,agrégats de foudre,Un agrégat de cristaux de foudre.,Agrégat de foudre,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,990,0,0,0,20017,50,30050,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
