#,Item,QuestRequired[0],QuestRequired[1],AchievementRequired,StateRequired,Patch,Unknown_70_1,Unknown_70_2,Unknown1,IsHQ
262144.0,4594,0,0,0,0,0,0,0,0,False
262144.1,4595,0,0,0,0,0,0,0,0,False
262144.2,4596,0,0,0,0,0,0,0,0,False
262144.3,4597,0,0,0,0,0,0,0,0,False
262144.4,4598,0,0,0,0,0,0,0,0,False
262144.5,4599,0,0,0,0,0,0,0,0,False
262144.6,4600,0,0,0,0,0,0,0,0,False
262144.7,4601,0,0,0,0,0,0,0,0,False
262144.8,4602,0,0,0,0,0,0,0,0,False
262144.9,4603,0,0,0,0,0,0,0,0,False
262144.10,4604,0,0,0,0,410,0,0,0,False
262144.11,4605,0,0,0,0,410,0,0,0,False
262144.12,4606,0,0,0,0,410,0,0,0,False
262144.13,4607,0,0,0,0,410,0,0,0,False
262144.14,4608,0,0,0,0,410,0,0,0,False
262144.15,4609,0,0,0,0,420,0,0,0,False
262144.16,4610,0,0,0,0,420,0,0,0,False
262144.17,4611,0,0,0,0,420,0,0,0,False
262144.18,4612,0,0,0,0,420,0,0,0,False
262144.19,4613,0,0,0,0,420,0,0,0,False
262144.20,13266,0,0,0,0,0,36,46,0,False
262145.0,4551,0,0,0,0,0,0,0,0,True
262145.1,2653,0,0,0,0,0,36,0,0,False
262145.2,4552,66646,0,0,0,0,0,0,0,False
262145.3,4553,66646,66647,0,0,0,0,0,0,False
262145.4,4554,66646,0,1558,0,0,0,0,0,False
262145.5,4555,66646,0,1558,0,0,0,0,1,False
262145.6,4556,66646,66647,1558,0,0,0,0,0,False
262145.7,4557,66646,66647,1558,0,0,0,0,1,False
262151.0,4868,0,0,0,100,0,0,0,0,False
262151.1,6003,0,0,0,100,0,0,0,0,False
262151.2,6004,0,0,0,100,0,0,0,0,False
262151.3,6005,0,0,0,100,0,0,0,0,False
262151.4,7671,0,0,0,100,0,0,0,0,False
262151.5,7621,0,0,0,100,0,0,0,0,False
262151.6,14222,0,0,0,100,0,0,0,0,False
262151.7,15801,0,0,0,100,0,0,0,0,False
262151.8,15810,0,0,0,100,0,0,0,0,False
262151.9,16804,0,0,0,100,0,0,0,0,False
262151.10,44263,0,0,0,100,700,0,0,0,False
262151.11,44264,0,0,0,100,700,0,0,0,False
262151.12,48150,0,0,0,100,720,0,0,0,False
262151.13,48729,0,0,0,100,720,0,0,0,False
262151.14,48994,0,0,0,100,730,0,0,0,False
262151.15,48999,0,0,0,100,730,0,0,0,False
262151.16,49004,0,0,0,100,730,0,0,0,False
262152.0,4551,0,0,0,100,0,0,0,0,False
262153.0,4551,0,0,0,100,0,0,0,0,False
262154.0,4551,0,0,0,100,0,0,0,0,False
262155.0,4551,0,0,0,100,0,0,0,0,False
262156.0,4551,0,0,0,100,0,0,0,0,False
262157.0,5540,0,0,0,100,0,0,0,0,False
262157.1,4831,0,0,0,100,0,0,0,0,False
262157.2,7767,0,0,0,100,0,0,0,0,False
262157.3,8182,0,0,0,100,0,0,0,0,False
262157.4,14007,0,0,0,100,0,0,0,0,False
262157.5,14011,0,0,0,100,0,0,0,0,False
262157.6,14012,0,0,0,100,0,0,0,0,False
262157.7,14013,0,0,0,100,0,0,0,0,False
262157.8,16016,0,0,0,100,0,0,0,0,False
262157.9,16026,0,0,0,100,0,0,0,0,False
262157.10,17546,0,0,0,100,0,0,0,0,False
262157.11,22562,0,0,0,100,430,0,0,0,False
262157.12,22563,0,0,0,100,430,0,0,0,False
262157.13,17996,0,0,0,100,0,0,0,0,False
262157.14,20795,0,0,0,100,0,0,0,0,False
262157.15,21875,0,0,0,100,0,0,0,0,False
262157.16,22589,0,0,0,100,0,0,0,0,False
262157.17,23876,0,0,0,100,440,0,0,0,False
262157.18,24165,0,0,0,100,440,0,0,0,False
262157.19,24541,0,0,0,100,450,0,0,0,False
262157.20,27320,0,0,0,100,500,0,0,0,False
262157.21,28143,0,0,0,100,510,0,0,0,False
262157.22,28175,0,0,0,100,510,0,0,0,False
262157.23,28947,0,0,0,100,520,0,0,0,False
262157.24,28985,0,0,0,100,520,0,0,0,False
262157.25,30364,0,0,0,100,530,0,0,0,False
262157.26,30365,0,0,0,100,530,0,0,0,False
262157.27,32812,0,0,0,100,540,0,0,0,False
262157.28,33306,0,0,0,100,550,0,0,0,False
262157.29,35744,0,0,0,100,600,0,0,0,False
262157.30,37302,0,0,0,100,610,0,0,0,False
262157.31,38659,0,0,0,100,620,0,0,0,False
262157.32,39460,0,0,0,100,630,0,0,0,False
262157.33,40686,0,0,0,100,640,0,0,0,False
262157.34,41160,0,0,0,100,650,0,0,0,False
262157.35,43962,0,0,0,100,700,0,0,0,False
262157.36,44832,0,0,0,100,710,0,0,0,False
262157.37,47950,0,0,0,100,720,0,0,0,False
262157.38,46803,0,0,0,100,730,0,0,0,False
262157.39,49773,0,0,0,100,740,0,0,0,False
262158.0,4868,0,0,0,100,0,0,0,0,False
262158.1,6003,0,0,0,100,0,0,0,0,False
262158.2,6004,0,0,0,100,0,0,0,0,False
262158.3,6005,0,0,0,100,0,0,0,0,False
262158.4,7671,0,0,0,100,0,0,0,0,False
262158.5,7621,0,0,0,100,0,0,0,0,False
262158.6,14223,0,0,0,100,0,0,0,0,False
262158.7,15800,0,0,0,100,0,0,0,0,False
262158.8,15809,0,0,0,100,0,0,0,0,False
262158.9,16804,0,0,0,100,0,0,0,0,False
262158.10,44263,0,0,0,100,700,0,0,0,False
262158.11,44264,0,0,0,100,700,0,0,0,False
262158.12,48150,0,0,0,100,720,0,0,0,False
262158.13,48729,0,0,0,100,720,0,0,0,False
262158.14,48994,0,0,0,100,730,0,0,0,False
262158.15,48999,0,0,0,100,730,0,0,0,False
262158.16,49004,0,0,0,100,730,0,0,0,False
262159.0,4551,0,0,0,100,0,0,0,0,False
262160.0,4551,0,0,0,100,0,0,0,0,False
262161.0,4551,0,0,0,100,0,0,0,0,False
262162.0,4551,0,0,0,100,0,0,0,0,False
262163.0,4551,0,0,0,100,0,0,0,0,False
262164.0,4868,0,0,0,100,0,0,0,0,False
262164.1,6003,0,0,0,100,0,0,0,0,False
262164.2,6004,0,0,0,100,0,0,0,0,False
262164.3,6005,0,0,0,100,0,0,0,0,False
262164.4,7671,0,0,0,100,0,0,0,0,False
262164.5,7621,0,0,0,100,0,0,0,0,False
262164.6,14224,0,0,0,100,0,0,0,0,False
262164.7,15799,0,0,0,100,0,0,0,0,False
262164.8,15808,0,0,0,100,0,0,0,0,False
262164.9,16804,0,0,0,100,0,0,0,0,False
262164.10,44263,0,0,0,100,700,0,0,0,False
262164.11,44264,0,0,0,100,700,0,0,0,False
262164.12,48150,0,0,0,100,720,0,0,0,False
262164.13,48729,0,0,0,100,720,0,0,0,False
262164.14,48994,0,0,0,100,730,0,0,0,False
262164.15,48999,0,0,0,100,730,0,0,0,False
262164.16,49004,0,0,0,100,730,0,0,0,False
262165.0,4551,0,0,0,100,0,0,0,0,False
262166.0,4551,0,0,0,100,0,0,0,0,False
262167.0,4551,0,0,0,100,0,0,0,0,False
262168.0,4551,0,0,0,100,0,0,0,0,False
262169.0,4551,0,0,0,100,0,0,0,0,False
262170.0,5361,0,0,0,100,0,0,0,0,False
262170.1,5364,0,0,0,100,0,0,0,0,False
262170.2,5062,0,0,0,100,0,0,0,0,False
262170.3,5056,0,0,0,100,0,0,0,0,False
262170.4,5091,0,0,0,100,0,0,0,0,False
262170.5,5092,0,0,0,100,0,0,0,0,False
262170.6,5333,0,0,0,100,0,0,0,0,False
262170.7,5324,0,0,0,100,0,0,0,0,False
262170.8,5291,0,0,0,100,0,0,0,0,False
262170.9,5292,0,0,0,100,0,0,0,0,False
262170.10,5318,0,0,0,100,0,0,0,0,False
262170.11,5319,0,0,0,100,0,0,0,0,False
262170.12,5432,0,0,0,100,0,0,0,0,False
262170.13,5503,0,0,0,100,0,0,0,0,False
262170.14,5510,0,0,0,100,0,0,0,0,False
262171.0,5380,0,0,0,100,0,0,0,0,False
262171.1,5383,0,0,0,100,0,0,0,0,False
262171.2,5396,0,0,0,100,0,0,0,0,False
262171.3,5402,0,0,0,100,0,0,0,0,False
262171.4,5228,0,0,0,100,0,0,0,0,False
262171.5,5124,0,0,0,100,0,0,0,0,False
262171.6,5056,0,0,0,100,0,0,0,0,False
262171.7,5063,0,0,0,100,0,0,0,0,False
262171.8,5091,0,0,0,100,0,0,0,0,False
262171.9,5333,0,0,0,100,0,0,0,0,False
262171.10,5324,0,0,0,100,0,0,0,0,False
262171.11,5351,0,0,0,100,0,0,0,0,False
262171.12,5352,0,0,0,100,0,0,0,0,False
262171.13,5275,0,0,0,100,0,0,0,0,False
262171.14,5276,0,0,0,100,0,0,0,0,False
262171.15,5433,0,0,0,100,0,0,0,0,False
262171.16,5432,0,0,0,100,0,0,0,0,False
262171.17,5434,0,0,0,100,0,0,0,0,False
262171.18,5470,0,0,0,100,0,0,0,0,False
262171.19,5482,0,0,0,100,0,0,0,0,False
262171.20,5503,0,0,0,100,0,0,0,0,False
262171.21,5492,0,0,0,100,0,0,0,0,False
262172.0,5361,0,0,0,100,0,0,0,0,False
262172.1,5364,0,0,0,100,0,0,0,0,False
262172.2,5107,0,0,0,100,0,0,0,0,False
262172.3,5106,0,0,0,100,0,0,0,0,False
262172.4,5258,0,0,0,100,0,0,0,0,False
262172.5,5063,0,0,0,100,0,0,0,0,False
262172.6,5071,0,0,0,100,0,0,0,0,False
262172.7,5324,0,0,0,100,0,0,0,0,False
262172.8,5325,0,0,0,100,0,0,0,0,False
262172.9,5275,0,0,0,100,0,0,0,0,False
262172.10,5276,0,0,0,100,0,0,0,0,False
262172.11,5432,0,0,0,100,0,0,0,0,False
262172.12,5434,0,0,0,100,0,0,0,0,False
262172.13,5482,0,0,0,100,0,0,0,0,False
262172.14,5503,0,0,0,100,0,0,0,0,False
262172.15,5483,0,0,0,100,0,0,0,0,False
262172.16,4856,0,0,0,100,0,0,0,0,False
262173.0,5361,0,0,0,100,0,0,0,0,False
262173.1,5364,0,0,0,100,0,0,0,0,False
262173.2,5107,0,0,0,100,0,0,0,0,False
262173.3,5106,0,0,0,100,0,0,0,0,False
262173.4,5111,0,0,0,100,0,0,0,0,False
262173.5,5062,0,0,0,100,0,0,0,0,False
262173.6,5063,0,0,0,100,0,0,0,0,False
262173.7,5324,0,0,0,100,0,0,0,0,False
262173.8,5275,0,0,0,100,0,0,0,0,False
262173.9,5276,0,0,0,100,0,0,0,0,False
262174.0,5498,0,0,0,100,0,0,0,0,False
262174.1,5518,0,0,0,100,0,0,0,0,False
262174.2,5487,0,0,0,100,0,0,0,0,False
262174.3,5516,0,0,0,100,0,0,0,0,False
262174.4,5515,0,0,0,100,0,0,0,0,False
262174.5,5551,0,0,0,100,0,0,0,0,False
262174.6,4828,0,0,0,100,0,0,0,0,False
262174.7,4829,0,0,0,100,0,0,0,0,False
262174.8,4834,0,0,0,100,0,0,0,0,False
262174.9,4830,0,0,0,100,0,0,0,0,False
262174.10,4785,0,0,0,100,0,0,0,0,False
262174.11,4808,0,0,0,100,0,0,0,0,False
262174.12,4809,0,0,0,100,0,0,0,0,False
262174.13,4803,0,0,0,100,0,0,0,0,False
262174.14,4804,0,0,0,100,0,0,0,0,False
262174.15,4823,0,0,0,100,0,0,0,0,False
262174.16,4824,0,0,0,100,0,0,0,0,False
262174.17,4818,0,0,0,100,0,0,0,0,False
262174.18,4758,0,0,0,100,0,0,0,0,False
262174.19,4759,0,0,0,100,0,0,0,0,False
262174.20,4760,0,0,0,100,0,0,0,0,False
262174.21,4761,0,0,0,100,0,0,0,0,False
262174.22,4795,0,0,0,100,0,0,0,0,False
262174.23,4753,0,0,0,100,0,0,0,0,False
262174.24,4752,0,0,0,100,0,0,0,0,False
262174.25,4777,0,0,0,100,0,0,0,0,False
262174.26,4778,0,0,0,100,0,0,0,0,False
262174.27,4779,0,0,0,100,0,0,0,0,False
262174.28,4780,0,0,0,100,0,0,0,0,False
