#,Item,Unknown0,RewardLow,RewardMid,RewardHigh,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
0,0,0,0,0,0,0,0,0,False,False
1,30315,0,2,3,5,0,0,0,False,False
2,30316,0,2,3,5,0,0,0,False,False
3,30317,0,2,3,5,0,0,0,False,False
4,30318,0,2,3,5,0,0,0,False,False
5,30319,0,2,3,5,0,0,0,False,False
6,30320,0,2,3,5,0,0,0,False,False
7,30321,0,2,3,5,0,0,0,False,False
8,30322,0,2,3,5,0,0,0,False,False
9,30323,0,2,3,5,0,0,0,False,False
10,30324,0,2,3,5,0,0,0,False,False
11,30325,0,2,3,5,0,0,0,False,False
12,30326,0,2,3,5,0,0,0,False,False
13,30327,0,2,3,5,0,0,0,False,False
14,30328,0,2,3,5,0,0,0,False,False
15,30329,0,2,3,5,0,0,0,False,False
16,30330,0,2,3,5,0,0,0,False,False
17,31736,0,1,2,3,0,0,0,False,False
18,31737,0,1,2,3,0,0,0,False,False
19,31738,0,1,2,3,0,0,0,False,False
20,31739,0,1,2,3,0,0,0,False,False
21,31740,0,1,2,3,0,0,0,False,False
22,31741,0,1,2,3,0,0,0,False,False
23,31742,0,1,2,3,0,0,0,False,False
24,31743,0,1,2,3,0,0,0,False,False
25,31746,0,1,3,7,0,0,0,False,False
26,31744,0,1,3,7,0,0,0,False,False
27,31748,0,1,2,4,0,0,0,False,False
28,31749,0,1,2,4,0,0,0,False,False
29,33194,0,1,2,0,0,0,0,False,False
30,33202,0,1,2,0,0,0,0,False,False
31,33210,0,1,2,0,0,0,0,False,False
32,33195,0,1,2,0,0,0,0,False,False
33,33203,0,1,2,0,0,0,0,False,False
34,33211,0,1,2,0,0,0,0,False,False
35,33196,0,1,2,0,0,0,0,False,False
36,33204,0,1,2,0,0,0,0,False,False
37,33212,0,1,2,0,0,0,0,False,False
38,33197,0,1,2,0,0,0,0,False,False
39,33205,0,1,2,0,0,0,0,False,False
40,33213,0,1,2,0,0,0,0,False,False
41,33198,0,1,2,0,0,0,0,False,False
42,33206,0,1,2,0,0,0,0,False,False
43,33214,0,1,2,0,0,0,0,False,False
44,33199,0,1,2,0,0,0,0,False,False
45,33207,0,1,2,0,0,0,0,False,False
46,33215,0,1,2,0,0,0,0,False,False
47,33200,0,1,2,0,0,0,0,False,False
48,33208,0,1,2,0,0,0,0,False,False
49,33216,0,1,2,0,0,0,0,False,False
50,33201,0,1,2,0,0,0,0,False,False
51,33209,0,1,2,0,0,0,0,False,False
52,33217,0,1,2,0,0,0,0,False,False
53,38772,0,1,3,0,0,0,0,False,False
54,38773,0,1,3,0,0,0,0,False,False
55,38774,0,1,3,0,0,0,0,False,False
56,38775,0,1,3,0,0,0,0,False,False
57,38776,0,1,3,0,0,0,0,False,False
58,38777,0,1,3,0,0,0,0,False,False
59,38778,0,1,3,0,0,0,0,False,False
60,38779,0,1,3,0,0,0,0,False,False
61,38780,0,1,3,0,0,0,0,False,False
62,38781,0,1,3,0,0,0,0,False,False
63,38782,0,1,3,0,0,0,0,False,False
64,38783,0,1,3,0,0,0,0,False,False
65,38784,0,1,3,0,0,0,0,False,False
