#,ShopName,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17
3473408,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473409,Récupérateur,1,0,4,235,4,210,2,0,3,0,0,0,0,0,0,0,True,False
3473410,Monétisation (chèques),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473411,Monétisation (monnaie des peuples alliés),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473412,Monétisation (monnaie des peuples alliés),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473413,Monétisation (monnaie des peuples alliés),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473414,Monétisation (monnaie des peuples alliés),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473415,Monétisation (monnaie des peuples alliés),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473416,Monétisation (monnaie des peuples alliés),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473417,Monétisation (monnaie des peuples alliés),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473418,Monétisation (monnaie des peuples alliés),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473419,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473420,Échange de pages de notes (coffres verrouillés),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473421,Échange de pages de notes (divers),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473422,Échange de pages de notes (divers),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473423,不用品の交換,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473424,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473425,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473426,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473427,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473428,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473429,Échanger des armes contre des avoirs de l'armée de libération,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473430,Échanger des armures contre des avoirs de l'armée de libération,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473431,Échanger des accessoires contre des avoirs de l'armée de libération,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473432,Échanger des armes contre des avoirs rakshasa,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473433,Échanger des armures contre des avoirs rakshasa,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473434,Échanger des accessoires contre des avoirs rakshasa,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473435,Échanger des armes contre des avoirs d'Eulmore I,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473436,Échanger des armures contre des avoirs d'Eulmore I,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473437,Échanger des accessoires contre des avoirs d'Eulmore I,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473438,Échanger des armes contre des avoirs d'Eulmore II,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473439,Échanger des armures contre des avoirs d'Eulmore II,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473440,Échanger des accessoires contre des avoirs d'Eulmore II,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473441,Échanger des armes contre des avoirs d'Eulmore III,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473442,Échanger des armures contre des avoirs d'Eulmore III,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473443,Échanger des accessoires contre des avoirs d'Eulmore III,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473444,Échanger des armes contre des avoirs de Radz-at-Han I,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473445,Échanger des armures contre des avoirs de Radz-at-Han I,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473446,Échanger des accessoires contre des avoirs de Radz-at-Han I,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473447,Échanger des armes contre des avoirs de Radz-at-Han II,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473448,Échanger des armures contre des avoirs de Radz-at-Han II,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473449,Échanger des accessoires contre des avoirs de Radz-at-Han II,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473450,Échanger des armes contre des avoirs de Radz-at-Han III,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473451,Échanger des armures contre des avoirs de Radz-at-Han III,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473452,Échanger des accessoires contre des avoirs de Radz-at-Han III,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473453,Échanger des armes contre des avoirs de l'Éternité I,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473454,Échanger des armures contre des avoirs de l'Éternité I,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473455,Échanger des accessoires contre des avoirs de l'Éternité I,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473456,Échanger des armes contre des avoirs de l'Éternité II,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473457,Échanger des armures contre des avoirs de l'Éternité II,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473458,Échanger des accessoires contre des avoirs de l'Éternité II,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473459,Échanger des armes contre des avoirs de l'Éternité III,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
