#,Text,NpcName,Image
0,,,0
1,,,0
2,,,0
3,,,0
4,,,0
5,Les travaux de recon­struc­tion d'Azurée ont enfin démarré !,Francel,0
6,Les travaux de recon­struc­tion d'Azurée ont enfin démarré !,Francel,0
7,L'installation du guichet principal est terminée !,Potkin,0
8,L'installation du guichet principal est terminée !,Potkin,0
9,Aidez-moi à améliorer les conditions de travail sur le chantier !,Lizbeth,0
10,Aidez-moi à améliorer les conditions de travail sur le chantier !,Lizbeth,0
11,La recon­struc­tion de l'Esplanade des démunis est terminée !,Francel,0
12,"Artisans, merci à tous pour votre aide précieuse. Grâce à votre généreuse con­tri­bu­tion, les travaux ont of­fi­ciel­le­ment débuté à Azurée.

Actuellement, nous sommes en train de reconstruire l'Esplanade des démunis, à l'entrée du quartier. Une fois sa rénovation terminée, cette place fera office de comptoir d'accueil pour tous les visiteurs d'Azurée.

Ce chantier constitue la première étape principale de notre grand projet, et sa réussite est d'une importance capitale pour l'avenir de notre cité. Aussi, j'en appelle à toute votre col­la­bo­ra­tion pour le mener à bien.
 
Francel de Haillenarte, superviseur général du projet de recon­struc­tion",,70301
13,"Lorsque nous aurons amassé suf­fi­sam­ment de ressources, les ouvrages collectifs de la phase 1 pourront commencer. Voici la marche à suivre pour les artisans qui y participeront.

Étape 1 : obtention d'un matériau (pile de matériaux)
Étape 2 : transformation du matériau (poste de travail)
Étape 3 : pose du matériau (poste d'assemblage)

Merci d'avance pour votre coopération !

Augebert, contremaître du chantier d'Azurée",,70302
14,"Chers artisans, grâce à votre travail acharné, nos guichets sont désormais ouverts côté est de l'Esplanade des démunis ! Nos efforts vont désormais se porter sur la con­struc­tion d'ins­tal­la­tions de l'autre côté de la place.

Afin de commencer les prochains travaux dans les plus brefs délais, nous comptons plus que jamais sur votre générosité pour les dons de matériaux  !

Qu'Halone nous protège.

Potkin",,70303
15,"Lorsque nous aurons amassé suf­fi­sam­ment de ressources, les ouvrages collectifs de la phase 2 pourront commencer. La procédure est la même que pour la phase 1.

Étape 1 : obtention d'un matériau (pile de matériaux)
Étape 2 : transformation du matériau (poste de travail)
Étape 3 : pose du matériau (poste d'assemblage)

Merci d'avance pour votre coopération !

Augebert, contremaître du chantier d'Azurée",,70304
16,"Amis artisans, merci pour vos efforts quotidiens au service de la sainte Cité.

Comme vous le savez, l'Esplanade des démunis se situe aujourd'hui au cœur de la recon­struc­tion d'Azurée. Les travaux avancent de façon satisfaisante, mais nous avons quelques projets pour encourager la par­ti­ci­pa­tion de nombreux artisans et améliorer les conditions de travail générales. Par exemple, allumer un brasier pour les tâches nocturnes, améliorer notre panneau d'in­for­ma­tions...

Pour cela, nous avons toujours autant besoin de matériaux, et nous comptons sur vos dons !

Lizbeth",,70305
17,"Les ouvrages collectifs de la phase 3 se dérouleront en deux parties. La marche à suivre est la suivante.

【Partie 1 : ali­men­ta­tion du brasier】
Étape 1 : obtention d'un matériau (pile de matériaux)
Étape 2 : transformation du matériau (poste de travail)
Étape 3 : utilisation du matériau (brasier)

【Partie 2 : con­struc­tion d'ins­tal­la­tions】
Étape 1 : obtention d'un matériau (pile de matériaux)
Étape 2 : transformation du matériau (poste de travail)
Étape 3 : pose du matériau (poste d'assemblage)

Merci d'avance pour votre coopération !

Augebert, contremaître du chantier d'Azurée",,70306
18,"Artisans, les travaux de rénovation de l'Esplanade des démunis sont arrivés à leur terme. Toutes les ins­tal­la­tions prévues ont été construites, et le chantier peut désormais se déplacer sur une autre partie d'Azurée.

En attendant la prochaine annonce officielle au sujet des futurs développements du projet, je vous invite à poursuivre vos dons de matériaux. Soyez assurés qu'ils seront utilisés à bon escient lorsque les travaux reprendront.

Il reste encore beaucoup d'efforts à fournir pour redonner à Azurée son visage d'antan, mais je suis persuadé qu'en alliant nos efforts, nous en ferons un jour un lieu d'union et de solidarité, le véritable cœur de la cité d'Ishgard.

Francel de Haillenarte, superviseur général du projet de recon­struc­tion",,70307
