#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article
0,,,0,0,0,1,0,0
1,,,0,0,0,0,0,0
2,coursier des ruines,coursiers des ruines,0,0,0,1,0,0
3,antilope biche,antilopes biche,0,0,1,1,1,0
4,antilope cerf,antilopes cerf,0,0,1,1,1,0
5,opo-opo,opo-opo,0,0,1,1,0,0
6,lémur,lémurs,0,0,0,1,0,0
7,taon géant,taons géants,0,0,0,1,0,0
8,pou volant,poux volants,0,0,0,1,0,0
9,petit acarus,petits acari,0,0,0,1,0,0
10,acarus,acari,0,0,1,1,0,0
11,sarcopte,sarcoptes,0,0,0,1,0,0
12,vautour,vautours,0,0,0,1,0,0
13,busard,busards,0,0,0,1,0,0
14,goret sauvage,gorets sauvages,0,0,0,1,0,0
15,verrat sauvage,verrats sauvages,0,0,0,1,0,0
16,sanglier sauvage,sangliers sauvages,0,0,0,1,0,0
17,ballon,ballons,0,0,0,1,0,0
18,zombi,zombis,0,0,0,1,0,0
19,mage zombi,mages zombis,0,0,0,1,0,0
20,squelette maudit,squelettes maudits,0,0,0,1,0,0
21,imp,imps,0,0,1,1,0,0
22,roselette,roselettes,0,0,0,1,1,0
23,piège-pou,piège-poux,0,0,0,1,0,0
24,tréant,tréants,0,0,0,1,0,0
25,dryade,dryades,0,0,0,1,1,0
26,crapaud géant,crapauds géants,0,0,0,1,0,0
27,nix,nix,0,0,0,1,0,0
28,jeune coeurl,jeunes coeurls,0,0,0,1,0,0
29,dullahan,dullahans,0,0,0,1,0,0
30,golem d'argile,golems d'argile,0,0,0,1,0,0
31,flagelleur mental,flagelleurs mentaux,0,0,0,1,0,0
32,microtyugh,microtyughs,0,0,0,1,0,0
33,otyugh,otyughs,0,0,1,1,0,0
34,adamankhélone,adamankhélones,0,0,1,1,1,0
35,tomberry,tomberrys,0,0,0,1,0,0
36,hanneton,hannetons,0,0,0,1,0,0
37,écureuil,écureuils,0,0,1,1,0,0
38,chauve-souris noire,chauves-souris noires,0,0,0,1,1,0
39,limace arboricole,limaces arboricoles,0,0,0,1,1,0
40,arion de Sombrelinceul,arions de Sombrelinceul,0,0,1,1,0,0
41,nuée de syrphes,nuées de syrphes,0,0,0,1,1,0
42,yarzon,yarzons,0,0,0,1,0,0
43,chigoe,chigoes,0,0,0,1,0,0
44,djigga sautilleur,djiggas sautilleurs,0,0,0,1,0,0
45,feu follet,feux follets,0,0,0,1,0,0
46,plasmoïde,plasmoïdes,0,0,0,1,0,0
47,fungus des forêts,fungi des forêts,0,0,0,1,0,0
48,vesse-de-crapaud,vesses-de-crapaud,0,0,0,1,1,0
49,coccinelle,coccinelles,0,0,0,1,1,0
