#,Unknown0,Unknown1,AllianceRegistrationMinPlayers,Unknown3,MembersPerParty,PartyCount,AlliancePartyCount,Unknown6,TanksPerParty,HealersPerParty,MeleesPerParty,RangedPerParty,Unknown16,Unknown7,AllowAllianceRegistration,Unknown10,SeparatedDpsRoles,RoleIndependent,Unknown12,OnlyPvPTeamMembers,AllowLimitedJobs
0,0,0,8,0,4,1,0,0,0,0,0,0,1,False,False,False,False,True,False,False,False
1,0,0,8,1,1,1,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False
2,0,0,8,4,4,1,0,0,1,1,1,1,1,False,False,False,False,True,False,False,True
3,0,0,8,8,8,1,0,0,2,2,2,2,1,False,False,False,False,True,False,False,True
4,1,3,24,24,8,3,0,0,1,2,3,2,1,True,True,False,False,False,False,False,True
5,1,3,24,24,8,3,0,0,1,2,3,2,1,True,False,False,False,False,False,False,True
6,0,0,8,8,4,2,0,0,1,1,1,1,1,False,False,False,True,False,False,False,False
7,1,3,24,72,8,9,0,0,0,0,0,0,1,True,False,False,False,False,False,False,False
8,0,0,8,72,8,9,0,1,1,2,3,2,1,False,False,False,False,True,False,False,False
9,0,0,8,16,8,2,0,0,2,2,2,2,1,False,False,False,True,False,False,False,False
10,0,0,8,2,2,1,0,0,0,0,0,0,1,False,False,False,False,True,False,False,False
11,0,0,8,4,4,1,0,0,0,0,0,0,1,False,False,False,False,True,False,False,False
12,0,0,8,72,8,72,0,1,0,0,0,0,1,False,False,False,False,True,True,False,False
13,0,0,8,8,8,1,0,0,0,0,0,0,1,False,False,False,False,True,False,False,False
14,0,2,8,8,4,2,0,0,0,0,0,0,1,False,True,True,False,True,False,False,False
15,0,2,16,16,8,2,0,0,0,0,0,0,1,False,True,True,False,True,False,False,False
16,0,0,8,72,8,9,0,1,0,0,0,0,1,False,False,False,False,True,False,False,False
17,0,0,8,16,8,2,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False
18,2,0,8,48,4,12,0,0,0,0,0,0,1,True,False,False,False,False,False,False,False
19,0,0,8,144,8,144,0,1,0,0,0,0,1,False,False,False,False,True,True,False,False
20,0,0,8,2,2,1,0,0,0,0,0,0,1,False,False,False,False,True,False,False,False
21,0,0,8,8,4,2,0,0,1,1,1,1,1,False,False,False,True,False,False,True,False
22,0,2,8,8,4,2,0,0,0,0,0,0,1,False,True,True,False,True,False,True,False
23,0,0,8,8,8,1,0,0,0,0,0,0,1,False,False,False,False,True,False,False,False
24,0,0,8,4,4,1,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False
25,0,0,8,24,8,3,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False
26,1,3,24,24,8,3,0,0,0,0,0,0,1,True,True,False,False,False,False,False,False
27,3,6,48,48,8,6,0,0,0,0,0,0,1,True,True,True,False,False,False,False,False
28,3,3,24,48,8,6,0,0,0,0,0,0,1,True,True,True,False,False,False,False,False
29,0,0,8,10,5,2,0,0,0,0,0,0,1,False,False,False,True,False,False,False,False
30,0,2,10,10,5,2,0,0,0,0,0,0,1,False,True,True,False,True,False,False,False
31,0,0,8,4,4,1,0,0,1,1,1,1,1,False,False,False,True,True,False,False,True
32,1,3,24,24,8,24,0,1,0,0,0,0,1,True,True,False,False,True,True,False,False
33,1,3,12,24,8,3,0,0,2,2,2,2,1,True,True,False,False,False,False,False,True
34,0,0,8,4,4,1,0,0,0,0,0,0,2,False,False,False,False,True,False,False,False
35,0,6,9,72,8,72,6,1,0,0,0,0,1,False,True,False,False,True,True,False,False
