#,Name,Description,Icon,Territory
0,,,0,1
1,Style de Brumée,Ce style architectural noscéen destiné aux habitations de petite taille est pensé pour résister aux puissants vents marins.,82107,282
2,Style de Brumée,Ce style architectural noscéen destiné aux habitations de taille moyenne est pensé pour résister aux puissants vents marins.,82108,283
3,Style de Brumée,Ce style architectural noscéen destiné aux habitations de grande taille est pensé pour résister aux puissants vents marins.,82109,284
4,Style de Lavandière,Ce style architectural gridanien destiné aux habitations de petite taille fait la part belle aux matériaux naturels issus de la forêt de Sombrelinceul.,82104,342
5,Style de Lavandière,Ce style architectural gridanien destiné aux habitations de taille moyenne fait la part belle aux matériaux naturels issus de la forêt de Sombrelinceul.,82105,343
6,Style de Lavandière,Ce style architectural gridanien destiné aux habitations de grande taille fait la part belle aux matériaux naturels issus de la forêt de Sombrelinceul.,82106,344
7,Style de La Coupe,Ce style architectural uldien destiné aux habitations de petite taille a été conçu pour vivre confortablement malgré les écarts de température extrêmes du désert.,82101,345
8,Style de La Coupe,Ce style architectural uldien destiné aux habitations de taille moyenne a été conçu pour vivre confortablement malgré les écarts de température extrêmes du désert.,82102,346
9,Style de La Coupe,Ce style architectural uldien destiné aux habitations de grande taille a été conçu pour vivre confortablement malgré les écarts de température extrêmes du désert.,82103,347
10,Style de Shirogane,Ce style architectural kuganien destiné aux habitations de petite taille a été spécifiquement pensé pour refléter le changement des saisons.,82113,649
11,Style de Shirogane,Ce style architectural kuganien destiné aux habitations de taille moyenne a été spécifiquement pensé pour refléter le changement des saisons.,82114,650
12,Style de Shirogane,Ce style architectural kuganien destiné aux habitations de grande taille a été spécifiquement pensé pour refléter le changement des saisons.,82115,651
13,Style d'Empyrée,Ce style architectural coerthien destiné aux habitations de petite taille inclut tous les éléments nécessaires pour résister aux grands froids.,82110,980
14,Style d'Empyrée,Ce style architectural coerthien destiné aux habitations de taille moyenne inclut tous les éléments nécessaires pour résister aux grands froids.,82111,981
15,Style d'Empyrée,Ce style architectural coerthien destiné aux habitations de grande taille inclut tous les éléments nécessaires pour résister aux grands froids.,82112,982
16,Style épuré,Ce style architectural simple et épuré destiné aux habitations de petite taille permet d'obtenir un intérieur sobre et dégagé grâce à des techniques réduisant le nombre de poutres et de piliers apparents.,82116,1249
17,Style épuré,Ce style architectural simple et épuré destiné aux habitations de taille moyenne permet d'obtenir un intérieur sobre et dégagé grâce à des techniques réduisant le nombre de poutres et de piliers apparents.,82117,1250
18,Style épuré,Ce style architectural simple et épuré destiné aux habitations de grande taille permet d'obtenir un intérieur sobre et dégagé grâce à des techniques réduisant le nombre de poutres et de piliers apparents.,82118,1251
