#,Name,Addon,QuestChapter,Unknown0,Unknown1,Unknown2,Type
65564,T_VER200_01_Gri_03,0,1,30,3,3,2
65575,T_VER200_01_Gri_01,0,1,10,1,1,2
65588,T_VER240_01_01,0,15,7010,1,214,0
65589,T_VER240_01_02,0,15,7020,2,215,0
65590,T_VER240_01_03,0,15,7030,3,216,0
65593,T_VER240_01_04,0,15,7040,4,217,0
65598,T_VER240_01_05,0,15,7050,5,218,0
65605,T_VER240_01_06,0,15,7060,6,219,0
65610,T_VER240_01_07,0,15,7070,7,220,0
65611,T_VER240_01_08,0,15,7080,8,221,0
65613,T_VER240_01_09,0,15,7090,9,222,0
65614,T_VER240_01_10,0,15,7100,10,223,0
65618,T_VER240_01_13,0,15,7130,13,227,0
65620,T_VER240_01_14,0,15,7140,14,228,0
65621,T_VER200_01_Gri_02_A,0,1,20,2,2,2
65622,T_VER240_01_15,0,15,7150,15,229,0
65623,T_VER240_01_16,0,15,7160,16,230,0
65624,T_VER240_01_17,0,15,7170,17,231,0
65625,T_VER240_01_18,0,15,7180,18,232,0
65643,T_VER200_01_Rim_01,0,2,10,1,1,1
65644,T_VER200_01_Rim_02_A,0,2,20,2,2,1
65645,T_VER200_01_Rim_02_B,0,2,20,2,2,1
65659,T_VER200_01_Gri_02_B,0,1,20,2,2,2
65660,T_VER200_01_Gri_02_C,0,1,20,2,2,2
65665,T_VER200_01_Gri_09,0,1,90,9,11,2
65697,T_VER200_01_Gri_18,0,1,180,18,24,2
65711,T_VER200_01_Gri_07,0,1,70,7,8,2
65712,T_VER200_01_Gri_10,0,1,100,10,12,2
65737,T_VER200_01_Gri_04,0,1,40,4,4,2
65781,T_VER200_02A_02,0,4,1020,2,2,0
65808,T_VER200_02A_15,0,4,1150,15,15,0
65839,T_VER200_01_Uld_06,0,3,60,6,6,3
65843,T_VER200_01_Uld_08,0,3,80,8,10,3
65856,T_VER200_01_Uld_09,0,3,90,9,12,3
65864,T_VER200_01_Uld_11,0,3,110,11,14,3
65865,T_VER200_01_Uld_13,0,3,130,13,16,3
65866,T_VER200_01_Uld_14,0,3,140,14,17,3
65868,T_VER200_01_Uld_16,0,3,160,16,19,3
65869,T_VER200_01_Uld_17,0,3,170,17,20,3
65870,T_VER200_01_Uld_18,0,3,180,18,21,3
65872,T_VER200_01_Uld_19,0,3,190,19,23,3
65879,T_VER200_02A_16,0,4,1160,16,16,0
65899,T_VER250_01_01,0,16,8010,1,233,0
65900,T_VER250_01_02,0,16,8020,2,234,0
65901,T_VER250_01_03,0,16,8030,3,235,0
