#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
0,,0,0,0,False
1,Mémoquartz allagois traditionnels→poétiques,5,1,50,False
2,Mémoquartz allagois théologiques→poétiques,4,1,50,False
3,Mémoquartz allagois véridiques→cosmogoniques,4,2,25,False
4,Mémoquartz allagois cosmogoniques→mensongers,4,2,25,False
5,Mémoquartz allagois mensongers→poétiques,5,1,50,False
6,Mémoquartz allagois génésiaques→poétiques,4,1,50,False
7,Mémoquartz allagois goétiques→fantasmagoriques,4,2,25,False
8,Mémoquartz allagois fantasmagoriques→fabuleux,4,2,25,False
9,Mémoquartz allagois fabuleux→poétiques,5,1,50,False
10,Mémoquartz allagois révélateurs→poétiques,4,1,50,False
11,Mémoquartz allagois aphoristiques→astronomiques,4,2,25,False
12,Mémoquartz allagois astronomiques→déterministes,4,2,25,False
13,Mémoquartz allagois déterministes→poétiques,5,1,50,False
14,Mémoquartz allagois dantesques→poétiques,4,1,50,False
15,Mémoquartz allagois esthétiques→héliologiques,4,2,25,False
16,Mémoquartz allagois héliologiques→mathématiques,4,2,25,True
