#,Name,Description,Icon
0,,,0
1,"Halone, la Conquérante","Déesse de la guerre et maîtresse des glaciers, elle est la protectrice de la cité d'Ishgard.
Elle commande l'élément glace et est associée à la première lune astrale. Halone est la fille de Rhalgr et la rivale de Nophica.
Elle est généralement représentée comme une guerrière implacable portant un bouclier de bronze. Son symbole est la lance.",61601
2,"Menphina, la Bien-aimante","Déesse de l'amour et gardienne des lunes jumelles.
Elle commande l'élément glace et est associée à la première lune ombrale. Menphina est la demi-sœur d'Azeyma et la bien-aimée d'Oschon.
Elle est communément représentée sous la forme d'une servante tenant une poêle à la main. Son symbole est la pleine lune.",61602
3,"Thaliak, l'Érudit","Dieu du savoir et seigneur des rivières, il est le protecteur de la cité de Sharlayan.
Il commande l'élément eau et est associé à la deuxième lune astrale. Thaliak est le père de Llymlaen et le maître de Byregot.
Il est généralement représenté sous la forme d'un érudit s'appuyant sur un bâton de frêne. Son symbole est le rouleau de parchemin.",61603
4,"Nymeia, la Fileuse","Déesse du destin et gardienne des planètes.
Elle commande l'élément eau et est associée à la deuxième lune ombrale. Nymeia est la sœur cadette d'Althyk et la préceptrice de Rhalgr.
Elle est communément représentée sous la forme d'une fileuse coiffée d'un voile de soie blanche. Son symbole est le rouet.",61604
5,"Llymlaen, la Navigatrice","Déesse de la navigation et gardienne des océans, elle est la protectrice de la cité de Limsa Lominsa.
Elle commande l'élément vent et est associée au troisième mois astral. Llymlaen est la fille de Thaliak et la sœur aînée de Nophica.
Elle est généralement représentée sous la forme d'une pêcheuse robuste tenant à la main un imposant harpon. Son symbole est la vague.",61605
6,"Oschon, le Vagabond","Dieu des vagabonds et seigneur des montagnes.
Il commande l'élément vent et est associé à la troisième lune ombrale. Oschon est le beau-frère de Nald'thal et l'ami intime de Halone.
Il est communément représenté sous la forme d'un chasseur armé d'un arc d'if. Son symbole est le bâton de marche.",61606
7,"Byregot, l'Artisan","Dieu de l'artisanat, il est considéré comme le père de l'architecture et de l'industrie.
Il commande l'élément foudre et est associé à la quatrième lune astrale. Byregot est le disciple de Thaliak et le frère aîné de Halone.
Il est généralément représenté sous la forme d'un forgeron passionné brandissant un marteau à deux têtes. Son symbole est la main.",61607
8,"Rhalgr, le Destructeur","Dieu de la destruction et seigneur des corps célestes, il est le protecteur de la cité d'Ala Mhigo.
Il commande l'élément foudre et est associé à la quatrième lune ombrale. Rhalgr est le père de Byregot et Halone, ainsi que le serviteur de Nymeia.
Il est communément représenté sous la forme d'un sorcier portant un bâton de cuivre à la main. Son symbole est la comète.",61608
9,"Azeyma, la Gardienne","Déesse de la justice et gardienne du soleil.
Elle commande l'élément feu et est associée à la cinquième lune astrale. Azeyma est la fille d'Althyk et la sœur aînée de Menphina.
Elle est généralement représentée sous la forme d'une femme noble tenant à la main un éventail en or. Son symbole est le soleil.",61609
10,"Nald'thal, les Marchands","Dieu du commerce et gardien des enfers, il est le protecteur de la cité d'Ul'dah.
Il commande l'élément feu et est associé à la cinquième lune ombrale. Nald'thal est  la manifestation des jumeaux Nald et Thal, possédant deux visages qui contemplent chacun l'un des deux aspects de l'existence.
Il est communément représenté comme un marchand tenant à la main une balance. Son symbole est le coquillage, une ancienne monnaie d'échange.",61610
11,"Nophica, la Mère","Déesse de la fertilité et gardienne des sols et des cultures, elle est la protectrice de la cité de Gridania.
Elle commande l'élément terre et est associée à la sixième lune astrale. Nophica est la fille d'Azeyma et la sœur cadette de Llymlaen.
Elle est généralement représentée sous la forme d'une paysanne joyeuse portant une faux d'acier. Son symbole est la feuille verdissante.",61611
12,"Althyk, le Contemplateur","Dieu du temps et régisseur de la gravitation.
Il commande l'élément terre et est associé à la sixième lune ombrale. Althyk est le père d'Azeyma et de Menphina, ainsi que le frère aîné de Nymeia.
Il est communément représenté sous la forme d'un monarque austère portant une imposante hache de mithril. Son symbole est le sablier.",61612
