#,RoomA,RoomB,RoomC,DeepDungeon,FloorSet,WepMinLv,ArmourMinLv,Unknown0
0,0,0,0,0,0,0,0,False
1,1,2,0,1,0,0,0,False
2,3,4,0,1,1,1,1,False
3,5,6,0,1,2,3,3,False
4,7,8,0,1,3,6,6,False
5,8,7,0,1,4,10,10,False
6,9,10,0,1,5,13,13,False
7,10,9,0,1,6,16,16,False
8,9,10,0,1,7,19,19,False
9,11,12,0,1,8,22,22,False
10,12,11,0,1,9,25,25,False
11,11,12,0,1,10,0,0,False
12,17,18,0,1,11,0,0,False
13,18,17,0,1,12,0,0,False
14,15,16,0,1,13,0,0,False
15,16,15,0,1,14,0,0,False
16,13,14,0,1,15,0,0,False
17,14,13,0,1,16,0,0,False
18,13,14,0,1,17,0,0,False
19,14,13,0,1,18,0,0,False
20,13,14,0,1,19,0,0,False
21,28,29,30,2,0,0,0,False
22,31,32,33,2,1,1,1,False
23,34,35,36,2,2,3,3,False
24,34,35,36,2,3,0,0,False
25,25,26,27,2,4,0,0,False
26,25,26,27,2,5,0,0,False
27,22,23,24,2,6,0,0,False
28,22,23,24,2,7,0,0,False
29,19,20,21,2,8,0,0,False
30,19,20,21,2,9,0,0,False
31,37,38,0,3,0,0,0,False
32,39,40,0,3,1,1,1,False
33,41,42,0,3,2,3,3,False
34,41,42,0,3,3,0,0,False
35,43,44,0,3,4,0,0,False
36,43,44,0,3,5,0,0,False
37,45,46,0,3,6,0,0,False
38,45,46,0,3,7,0,0,False
39,47,48,0,3,8,0,0,False
40,47,48,0,3,9,0,0,False
41,49,50,0,4,0,0,0,False
42,51,52,0,4,1,1,1,False
43,53,54,0,4,2,3,3,False
44,53,54,0,4,3,26,26,False
45,55,56,0,4,4,43,43,False
46,55,56,0,4,5,60,60,False
47,57,58,0,4,6,81,81,False
48,57,58,0,4,7,94,94,False
49,59,60,0,4,8,94,94,False
50,59,60,0,4,9,94,94,False
51,0,0,0,4,9,0,0,True
52,0,0,0,4,9,94,94,True
