#,Transient,Item,Companion,Location[0],Location[1],Location[2],Location[3],Location[4],Location[5]
0,,0,0,0,0,0,0,0,0
1,Je m'occupe de chat !,15168,200,148,135,141,0,0,0
2,Tourneboulant !,15169,201,152,138,145,0,0,0
3,Votre majordome est avancé !,15170,202,153,139,146,0,0,0
4,Ça va jeter un froid !,15171,203,154,180,134,0,0,0
5,Pathétique...,15172,204,140,148,135,0,0,0
6,C'est tourneboulant !,15173,205,141,152,138,0,0,0
7,Nom d'un chien !,15174,206,145,153,139,0,0,0
8,Noko noko !,15175,207,146,154,180,0,0,0
9,Tsss !,15176,208,134,140,148,0,0,0
10,Cœur de guerrier !,15177,209,135,141,152,0,0,0
11,Je te couvre !,15178,210,138,145,153,0,0,0
12,Mode Sommeil activé !,15179,211,139,146,154,0,0,0
13,Tir à vue !,15180,212,180,134,140,0,0,0
14,Votre Altesse !,30803,392,397,398,399,400,401,402
15,Qui m'aime me suive !,30804,391,397,398,399,400,401,402
16,Je ne faiblirai pas !,30805,390,612,613,614,620,621,622
17,Quel ennui...,30806,393,612,613,614,620,621,622
