#,Vision,Objective,PreviousObjective,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19
0,,,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
1,Objectif de développement : construire votre hutte placide,**Parler à Chamoiselle**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
2,Objectif de développement : construire votre hutte placide,**Reparler à Chamoiselle**,Parler à Chamoiselle,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
3,Objectif de développement : construire votre hutte placide,"**Utiliser le mode “Collecter” pour amasser des matériaux, puis parler à Chamoiselle**",Reparler à Chamoiselle,0,0,0,2,3,0,255,255,2,2,3,0,0,3,4,1,0,0,1,0
4,Objectif de développement : construire votre hutte placide,"**Accéder à l'atelier pour fabriquer une hache en pierre de pionnier, puis parler à Chamoiselle**","Utiliser le mode ""Collecter"" pour amasser des matériaux, puis parler à Chamoiselle",0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
5,Objectif de développement : construire votre hutte placide,**Construire la hutte placide après avoir collecté les matériaux nécéssaires**,"Accéder à l'atelier pour fabriquer une hache en pierre de pionnier, puis parler à Chamoiselle",0,0,0,10,0,11,3,8,10,10,5,5,5,11,1,12,4,9,0,0
6,Objectif de développement : construire votre hutte placide,**Parler à Chamoiselle**,Construire la hutte placide après avoir collecté les matériaux nécéssaires,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
7,Objectif de développement : cultiver vos champs,**Parler à Chamoiselle**,"
",0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
8,Objectif de développement : cultiver vos champs,**Demander à Rodolfermier de préparer les terres arables**,Parler à Chamoiselle,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
9,Objectif de développement : cultiver vos champs,**Parler à Rodolfermier**,Demander à Rodolfermier de préparer les terres arables,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
10,Objectif de développement : cultiver vos champs,**Utiliser le mode “Semer” pour semer des graines dans vos champs**,Parler à Rodolfermier,40,-240,112,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
11,Objectif de développement : cultiver vos champs,**Utiliser le mode “Arroser” pour asperger vos parcelles d'eau**,"Utiliser le mode ""Semer"" pour semer des graines dans vos champs",40,-240,112,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
12,Objectif de développement : cultiver vos champs,**Parler à Rodolfermier**,"Utiliser le mode ""Arroser"" pour asperger vos parcelles d'eau",0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
13,Objectif de développement : élever des animaux,**Parler à Chamoiselle**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
14,Objectif de développement : élever des animaux,**Demander à Béberger de préparer le pâturage**,Parler à Chamoiselle,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
15,Objectif de développement : élever des animaux,**Parler à Béberger**,Demander à Béberger de préparer le pâturage,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
