#,Description,Item,GatheringItemLevel,Unknown2,TerritoryType,Unknown0,FishingRecordType,Unknown1,IsVisible
0,,0,0,0,0,0,0,False,False
20000,"On dit que ceux qui contemplent les spirales tourbillonnantes de ce mollusque risquent de sombrer dans une folie éternelle. Heu­reu­se­ment, peu sont ceux qui se sont égarés dans ce vide de l'âme, car un spécimen intact de cette fragile coquille est une des choses les plus rares d'Orient.",20144,205,4000,0,0,10,False,True
20001,"Malgré son nom, la teinte ombrée de cette espèce est sujette à variation selon son sexe. En conséquence, certains en déduisent que son nom ténébreux fait plutôt référence à la toxine mortelle et visqueuse qu'elle sécrète.",20145,205,4000,0,0,11,False,True
20002,"La raie de verre est connue pour être une voyageuse indolente et langoureuse, dont les cousines qui portent le nom de “raies rayées” ont été domestiquées par les Kojin il y a fort longtemps.",20146,205,4000,1,0,12,False,True
20003,"Offert à l'origine au bakufu de Hingashi par un émissaire de Radz-at-Han, ce poisson s'est mieux habitué à son nouvel habitat que le diplomate lui-même.",20147,205,4000,2,0,10,False,True
20004,Cette murène a pris pour habitude de protéger le homard à épines pendant que celui-ci attire les pieuvres dont elle se nourrit.,20148,205,4000,4,0,11,False,True
20005,Un conte pour enfants bien connu à Doma raconte l'histoire d'un poisson sauteur s'arrêtant de bondir pour méditer sur la légèreté de l'existence.,20149,205,4000,6,0,13,False,True
20006,"Emmitouflé dans une cuirasse écailleuse solide mais très légère, ce poisson dont le nom signifie “endurance” en langue domienne est un lien essentiel de la chaîne alimentaire.",20150,205,4000,6,0,15,False,True
20007,"En écho au proverbe qui dit que plus la bataille est dure, plus la victoire est douce, ce poisson très difficile à attraper est haï des pêcheurs, mais adoré par les gourmets.",20151,205,4000,7,0,14,False,True
20008,"Moins savoureuse que l'anguille de Doma, la version géante compense ce léger défaut avec sa taille, et ceux qui aiment avoir le ventre plein à ras bord apprécient cette créature surdimensionnée comme elle le mérite.",20152,205,4000,7,0,15,False,True
20009,"Ce crabe ermite passe sa vie grincheuse à changer de carapace, s'emparant constamment de plus grands domiciles tout en chassant les gêneurs le plus loin possible de sa propriété.",20153,205,4000,8,0,13,False,True
20010,"L'histoire enseigne que la distance entre les deux grosses pinces de ce crabe massif, lorsqu'il les étend, équivaut à la largeur de deux Hyurs adultes placés côte à côté.",20154,210,4000,0,0,12,False,True
20011,Il fut un temps où cette espèce était au bord de l'extinction à cause d'une rumeur à Thavnair qui prétendait que ces poissons portaient en eux le secret de la jeunesse éternelle. Elle a été sauvée au dernier moment par un changement d'attitude général à l'égard de la vieillesse.,20155,210,4000,1,0,11,False,True
20012,"La raison précise de l'existence des doubles nageoires dorsales de ce poisson reste un mystère pour les savants, car il est impossible de l'observer dans les profondeurs marines où il se cache.",20156,210,4000,2,0,12,False,True
20013,"Les rayures verticales noires et blanches ca­rac­té­ris­ti­ques de ce requin dis­pa­rais­sent avec l'âge, ce qui fait que les jeunes et les adultes étaient autrefois considérés comme des espèces distinctes.",20157,210,4000,3,0,12,False,True
20014,"Avec son allure morose, et de supposés pouvoirs capables de tenir les esprits malins à l'écart, il n'est pas surprenant que ce mollusque soit très populaire auprès des pirates.",20158,210,4000,4,0,10,False,True
20015,La seule chance de ce poisson répugnant et très lent de se rapprocher de ses congénères est d'agiter ses verrues et de prier pour qu'ils ne s'enfuient pas à toutes nageoires.,20159,210,4000,6,0,14,False,True
20016,Ce bulot très commun se cache parmi les rochers et les algues le long des rivières et des lacs du continent d'Othard. Il sert de nourriture aux poissons trop paresseux pour se trouver un meilleur repas.,20160,210,4000,7,0,13,False,True
20017,"Beaucoup de pêcheurs seraient curieux de savoir comment un poisson herbivore a pu atteindre les dimensions d'un Roegadyn, mais ce régime végétarien permet au moins d'expliquer son apparence juvénile.",20161,210,4000,8,0,15,False,True
20018,"Une fois la nuit tombée, les pêcheurs confondent parfois les organes luminescents de ce poisson très mince avec des âmes de noyés, mais ils reprennent rapidement leurs esprits en voyant son énorme tête.",20162,215,4000,0,0,10,False,True
20019,"Bien que ce poisson soit en théorie comestible, les fibres très fines de ses nageoires ont tendance à rester coincées en travers de la gorge, sans parler de l'odeur de moisi qui émane de sa chair.",20163,215,4000,0,0,11,False,True
20020,"Bien que cette anguille puisse tenir son nom de son affinité pour la verdure, son aversion pour la terre devrait atténuer les craintes des agriculteurs de la voir apparaître dans leur jardin.",20164,215,4000,1,0,10,False,True
20021,"Négligé dans la plupart des traditions culinaires en raison de sa ressemblance avec la limace, cet animal est néanmoins consommé par les Hingashiens qui arrivent à passer outre son aspect disgracieux pour se délecter de son goût.",20165,215,4000,2,0,10,False,True
20022,"Des coquillages et des petits poissons aux tortues et aux bébés requins, ce poisson engloutit absolument tout, et sert de figure de croque-mitaine aux Kojin pour discipliner leur jeunesse.",20166,215,4000,3,0,12,False,True
20023,"Les membranes des nageoires de ce poisson contiennent un poison virulent. Néanmoins, la tentation de sa chair tendre et savoureuse fait ré­gu­liè­re­ment des victimes parmi les pêcheurs.",20167,215,4000,4,0,11,False,True
20024,"Cette cousine de l'écrevisse de Doma est décorée d'une plaque rouge flamboyante, ce dont elle est la seule à pouvoir se vanter au sein de sa famille.",20168,215,4000,7,0,13,False,True
20025,"L'un des quatre grands poissons de Doma, cette carpe était autrefois uniquement un délice de privilégiés, mais elle a ensuite été mise à la disposition des masses grâce à l'élevage.",20169,215,4000,7,0,15,False,True
20026,"La coquille de ce mollusque servait autrefois de monnaie dans le territoire de Yanxia. Aujourd'hui, cet animal n'a plus aucune valeur, hormis le fait d'avoir gravé son nom dans le dictionnaire de la langue hingashienne.",20170,215,4000,8,0,13,False,True
20027,"Ce poisson a pris pour habitude macabre de se repaître des cadavres flottants sur l'eau, ce qui lui a donné ce nom effrayant. Il aime autant la chair animale qu'humaine, surtout lorsqu'elle est encore jeune et tendre.",20171,220,4000,0,0,12,False,True
20028,"Ses traits rudes, ses rayures en forme de cicatrices et son côté solitaire ont valu à ce poisson le titre hingashien de “rônin”, qui signifie “guerrier errant” et qui indique une farouche volonté d'indépendance.",20172,220,4000,1,0,12,False,True
20029,"Déguster un garoupa enchanteur est comme pénétrer dans une nouvelle dimension de plaisirs gastronomiques, et en pêcher un est un don du ciel.",20173,220,4000,2,0,12,False,True
20030,Ce délice oriental passe ses soirées à ratisser les récifs avec beaucoup de minutie pour engloutir toutes les herbes qui auront le malheur de lui plaire.,20174,220,4000,3,0,10,False,True
20031,Corriger ses amis et les membres de sa famille qui désignent à tort cette espèce comme une “étoile de mer rouge” est considéré comme très pédant.,20175,220,4000,4,0,10,False,True
20032,"Ce crabe passe son existence à migrer le long de la rivière : il commence par le bassin, puis se dirige vers les eaux fraîches en amont au milieu de sa vie, pour enfin retourner dans la mer afin de procréer.",20176,220,4000,6,0,13,False,True
20033,"On raconte que ce poisson est la réincarnation des ascètes capables de jeûner jusqu'à en devenir infirmes. Après être tombés dans une rivière en trébuchant, ils auraient reçu la miséricorde des dieux.",20177,220,4000,7,0,14,False,True
20034,"Bel exemple de longévité, ce poisson nage dans la Muni depuis des temps immémoriaux à la recherche de l'éveil, que seulement quelques spécimens seraient parvenus à atteindre.",20178,220,4000,8,0,15,False,True
20035,"Ce calmar a une réputation de voyageur infatigable, et finit souvent dans des assiettes un peu partout en Orient, que ce soit cru ou pané.",20179,225,4000,1,0,11,False,True
20036,La question de savoir si ce poisson est un chinchard ou non sert de thème aux débats des savants qui réfléchissent à la nomenclature de ce poisson indéfinissable et au-delà des étiquettes scien­ti­fi­ques.,20180,225,4000,2,0,11,False,True
20037,"Parfois, une espèce porte simplement le nom spontané de la première chose que son découvreur a vue à proximité d'elle, comme c'est le cas de ce crustacé des climats froids et neigeux.",20181,225,4000,3,0,11,False,True
20038,"Dans les ténèbres des profondeurs marines, les yeux brillants de ce poisson émettent une lueur rouge vif en permanence, et son nom a inspiré de nombreuses blagues parmi les écoliers cherchant à être au centre de l'attention.",20182,225,4000,4,0,12,False,True
20039,"Après la ponte des œufs en automne, les petites bouvières luttent contre le froid de l'hiver et deviennent adultes au printemps, ce qui constitue un cycle de vie tout à fait commun.",20183,225,4000,6,0,14,False,True
20040,"En dépit de sa négligence totale quand il s'agit d'ali­men­ta­tion et d'exercice, ce poisson très résistant parvient toujours à survivre à de nombreux étés, parfois même plus que les pêcheurs qui le guettent.",20184,225,4000,6,0,15,False,True
20041,"L'histoire douteuse des origines de cette espèce parle d'un serpent qui souhaitait tellement nager dans les rivières qu'il s'est transformé en une créature moitié poisson, moitié anguille, mais cela n'a jamais été prouvé.",20185,225,4000,8,0,14,False,True
20042,"Tapi sous les rochers durant la journée, ce poisson sort la nuit pour repeindre la mer en rouge avec le reflet de ses couleurs et le sang de ses victimes.",20186,230,4000,5,0,11,False,True
20043,"Ce tigre miniature flottant a obtenu ses rayures en dévorant du plancton à n'en plus finir, mais sa gloutonnerie menace de les transformer en anneaux.",20187,230,4000,9,0,13,False,True
20044,"La légende veut qu'un tengu ait voulu faire tomber la pluie à l'aide d'un éventail sacré afin d'éteindre un incendie de montagne, qu'il aurait ensuite jeté dans la rivière Muni. L'objet de culte se serait alors métamorphosé en cette palourde foudroyante.",20188,230,4000,9,0,14,False,True
20045,"L'œil avisé appréciera les stries et les plis des volutes de ce turbo au sommet de sa base squameuse, ainsi que sa fine columelle et son opercule lustré. Le néophyte appréciera un joli coquillage.",20189,230,4000,10,0,13,False,True
20046,"Le plus sombre des quatre grands poissons de Doma, le tassergal sert de nourriture à la population locale depuis des générations, et fait le bonheur des amateurs de folklore.",20190,230,4000,10,0,15,False,True
20047,"Cet amphibien nocturne au caractère coquin affirmé a l'habitude de barboter dans l'eau chaude, surtout celle des chaudrons de Yanxia et de Nagxia.",20191,230,4000,11,0,16,False,True
20048,"Un mythe populaire raconte comment ce poisson-chat a dévoré un cheval qui tentait de traverser la rivière, le tranchant lit­té­ra­le­ment en deux à partir du ventre.",20192,230,4000,11,0,18,False,True
20049,"Certains Xaela très imaginatifs aiment à penser que l'appendice rouge de ce poisson convoque l'aube et fait de son porteur l'égal du tout-puissant Azim, mais il arrive qu'une nageoire ne soit qu'une simple nageoire.",20193,230,4000,12,0,17,False,True
20050,"Une belle nuit d'été, la lune versa une larme contenant ce discus dans la mer, et depuis, il la supplie chaque soir où elle se montre dans sa plénitude amnésique de le laisser rentrer à la maison.",20194,230,4000,13,0,19,False,True
20051,"On pourrait supposer par erreur que cet arowana a passé trop de temps au soleil, mais la pigmentation chatoyante de ses écailles est en réalité due à son habitat salin.",20195,230,4000,13,0,21,False,True
20052,"Ce despote impitoyable du lac Seld étend son règne nocturne avec une nageoire de fer sur les thons du déluge, qui vivent dans la peur perpétuelle du tyran salé.",20196,230,4000,14,0,20,False,True
20053,"Le brillant coloré de ce poulpe évoque le faste des habits royaux mhigois, mais malgré sa splendeur, son espèce a subi une extermination symbolique suite à la chute de Theodoric.",20197,230,4000,15,0,21,False,True
20054,"La découverte de cette espèce a été considérée comme un événement majeur par les uni­ver­si­tai­res, mais les Kojin, qui la connaissent depuis d'innombrables générations, ne comprennent pas pourquoi les humains en font tout un plat.",20198,245,4000,5,0,10,False,True
20055,"En dépit d'être le plus gros poisson de son espèce, ce chasseur ex­cep­tion­nel est in­croya­ble­ment rapide, mais pas autant que les gourmands qui le dévorent à grosses bouchées.",20199,245,4000,5,0,12,False,True
