#,Name,Background,Frame,Decoration,SortKey
0,Personnalisé,0,0,0,0
1,Basique,1,1,1,2
2,Moderne,2,3,1,3
3,Tableau ancien,10,10,1,4
4,Tableau saisissant,7,10,1,5
5,Bellissime,3,11,8,6
6,Éthéré,8,1,1,1
7,Journal de quête,7,7,1,7
8,Tank,4,9,5,8
9,Soigneur,6,9,7,9
10,DPS,5,9,6,10
11,Paladin (standard),52,12,12,2050
12,Guerrier (standard),53,13,13,2051
13,Chevalier noir (standard),54,14,14,2052
14,Pistosabreur (standard),55,15,15,2053
15,Mage blanc (standard),56,16,16,2054
16,Érudit (standard),57,17,17,2055
17,Astromancien (standard),58,18,18,2056
18,Sage (standard),59,19,19,2057
19,Moine (standard),60,20,20,2058
20,Chevalier dragon (standard),61,21,21,2059
21,Ninja (standard),62,22,22,2060
22,Samouraï (standard),63,23,23,2061
23,Faucheur (standard),64,24,24,2062
24,Barde (standard),65,25,25,2064
25,Machiniste (standard),66,26,26,2065
26,Danseur (standard),67,27,27,2066
27,Mage noir (standard),68,28,28,2067
28,Invocateur (standard),69,29,29,2068
29,Mage rouge (standard),70,30,30,2069
30,Paladin (dynamique),11,12,12,2150
31,Guerrier (dynamique),12,13,13,2151
32,Chevalier noir (dynamique),13,14,14,2152
33,Pistosabreur (dynamique),14,15,15,2153
34,Mage blanc (dynamique),15,16,16,2154
35,Érudit (dynamique),16,17,17,2155
36,Astromancien (dynamique),17,18,18,2156
37,Sage (dynamique),18,19,19,2157
38,Moine (dynamique),19,20,20,2158
39,Chevalier dragon (dynamique),20,21,21,2159
40,Ninja (dynamique),21,22,22,2160
41,Samouraï (dynamique),22,23,23,2161
42,Faucheur (dynamique),23,24,24,2162
43,Barde (dynamique),24,25,25,2164
44,Machiniste (dynamique),25,26,26,2165
45,Danseur (dynamique),26,27,27,2166
46,Mage noir (dynamique),27,28,28,2167
47,Invocateur (dynamique),28,29,29,2168
48,Mage rouge (dynamique),29,30,30,2169
49,Équipe Astra,30,31,31,3000
50,Équipe Umbra,31,32,32,3001
51,Companion 1,41,42,42,4000
52,Companion 2,42,43,43,4001
53,Abîme infini de Bahamut (fatal),86,44,44,2500
54,Fantasmagorie d'Ultima (fatal),87,45,45,2501
55,Odyssée d'Alexander (fatal),88,46,46,2502
56,Guerre du chant des dragons (fatal),89,47,47,2503
57,Roi du conflit S1,32,33,33,3200
58,Prince du conflit S1,33,34,34,3201
59,As du conflit S1,34,35,35,3202
60,Crystalline Conflict : bronze S1,35,36,36,3208
61,Crystalline Conflict : argent S1,36,37,37,3207
62,Crystalline Conflict : or S1,37,38,38,3206
63,Crystalline Conflict : platine S1,38,39,39,3205
64,Crystalline Conflict : diamant S1,39,40,40,3204
65,Crystalline Conflict : cristal S1,40,41,41,3203
66,Roi du conflit S2,90,48,48,3209
67,Prince du conflit S2,91,49,49,3210
68,As du conflit S2,92,50,50,3211
69,Crystalline Conflict : bronze S2,93,51,51,3217
70,Crystalline Conflict : argent S2,94,52,52,3216
71,Crystalline Conflict : or S2,95,53,53,3215
72,Crystalline Conflict : platine S2,96,54,54,3214
73,Crystalline Conflict : diamant S2,97,55,55,3213
74,Crystalline Conflict : cristal S2,98,56,56,3212
75,Roi du conflit S3,99,57,57,3218
76,Prince du conflit S3,100,58,58,3219
77,As du conflit S3,101,59,59,3220
78,Crystalline Conflict : bronze S3,102,60,60,3226
79,Crystalline Conflict : argent S3,103,61,61,3225
80,Crystalline Conflict : or S3,104,62,62,3224
81,Crystalline Conflict : platine S3,105,63,63,3223
82,Crystalline Conflict : diamant S3,106,64,64,3222
83,Crystalline Conflict : cristal S3,107,65,65,3221
84,Crystalline Conflict : bleu,108,66,66,3002
85,Crystalline Conflict : rouge,109,67,67,3003
86,Donjon à embranchements : Les canalisations sildiennes,110,68,68,2402
87,Quêtes des Omicrons,111,1,69,2315
88,Motifs géométriques : cercles,119,70,75,11
89,Bande dessinée,116,69,74,12
90,Objet basique QN,125,76,1,13
91,Objet éthéré QN,126,76,1,14
92,Objet commun QN,127,76,1,15
93,Objet rare QN,128,76,1,16
94,Objet épique QN,129,76,1,17
95,Objet basique HQ,125,77,1,18
96,Objet éthéré HQ,126,77,1,19
97,Objet commun HQ,127,77,1,20
98,Objet rare HQ,128,77,1,21
99,Objet épique HQ,129,77,1,22
100,Musique,123,1,76,23
101,Salon de thé,115,1,73,24
102,Roi du conflit S4,133,78,81,3227
103,Prince du conflit S4,134,79,82,3228
104,As du conflit S4,135,80,83,3229
105,Crystalline Conflict : cristal S4,136,81,84,3230
106,Crystalline Conflict : diamant S4,137,82,85,3231
107,Crystalline Conflict : platine S4,138,83,86,3232
108,Crystalline Conflict : or S4,139,84,87,3233
109,Crystalline Conflict : argent S4,140,85,88,3234
110,Crystalline Conflict : bronze S4,141,86,89,3235
111,Roi du conflit S5,142,87,90,3236
112,Prince du conflit S5,143,88,91,3237
113,As du conflit S5,144,89,92,3238
114,Crystalline Conflict : cristal S5,145,90,93,3239
115,Crystalline Conflict : diamant S5,146,91,94,3240
116,Crystalline Conflict : platine S5,147,92,95,3241
117,Crystalline Conflict : or S5,148,93,96,3242
118,Crystalline Conflict : argent S5,149,94,97,3243
119,Crystalline Conflict : bronze S5,150,95,98,3244
120,Faucons,151,96,99,3004
121,Corbeaux,152,97,100,3005
122,Quêtes des Pixies,153,1,101,2311
123,Quêtes des Qitari,154,1,102,2312
124,Quêtes des Nains,155,1,103,2313
125,Quêtes des Arkasodaras,156,1,104,2314
126,Quêtes des Loporrites,157,1,105,2316
127,Protocole Oméga (fatal),158,98,106,2504
128,Eurêka Orthos,159,1,107,2358
129,Enaretos,160,1,108,2359
130,Conte des quatre animaux sacrés,161,99,1,2251
131,Félicité insulaire 1,162,100,109,2340
132,Félicité insulaire 2,163,101,110,2341
133,Roi du conflit S6,164,102,111,3245
134,Prince du conflit S6,165,103,112,3246
135,As du conflit S6,166,104,113,3247
136,Crystalline Conflict : cristal S6,167,105,114,3248
137,Crystalline Conflict : diamant S6,168,106,115,3249
138,Crystalline Conflict : platine S6,169,107,116,3250
139,Crystalline Conflict : or S6,170,108,117,3251
140,Crystalline Conflict : argent S6,171,109,118,3252
141,Crystalline Conflict : bronze S6,172,110,119,3253
142,Roi du conflit S7,173,111,120,3254
143,Prince du conflit S7,174,112,121,3255
144,As du conflit S7,175,113,122,3256
145,Crystalline Conflict : cristal S7,176,114,123,3257
146,Crystalline Conflict : diamant S7,177,115,124,3258
147,Crystalline Conflict : platine S7,178,116,125,3259
148,Crystalline Conflict : or S7,179,117,126,3260
