#,Type,AssignmentTalk,Quest[0],Quest[1],Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
393216,Mandant,1,65756,65756,0,0,False,False,False,False,False
393217,Mandant,2,65756,65756,1,0,False,False,False,False,False
393218,Mandant,3,65757,65757,1,0,False,False,False,False,False
393219,Mandant,4,65979,65979,1,0,False,False,False,False,False
393220,Mandant,5,65756,65756,1,0,False,False,False,False,False
393221,Mandant,6,66229,66229,1,0,False,False,False,False,False
393222,Mandant,7,66223,66223,1,0,False,False,False,False,False
393223,Mandant,8,66223,66223,1,0,False,False,False,False,False
393224,Mandant,9,66224,66224,1,0,False,False,False,False,False
393225,Mandant,10,66229,66229,1,0,False,False,False,False,False
393226,Mandant,11,66230,66230,1,0,False,False,False,False,False
393227,Mandant,12,65756,65536,1,0,False,False,False,False,False
393228,Mandant,13,66228,66228,1,0,False,False,False,False,False
393229,Mandant,14,65550,65550,1,0,False,False,False,False,False
393230,Mandant,15,65552,65552,1,0,False,False,False,False,False
393231,Mandant,16,65553,65553,1,0,False,False,False,False,False
393232,Mandant,17,65980,65980,1,0,False,False,False,False,False
393233,Mandant,18,65551,65551,1,0,False,False,False,False,False
393234,Mandant,19,66223,65536,1,0,False,False,False,False,False
393235,Mandant,20,66229,65536,1,0,False,False,False,False,False
393236,Mandant,21,66232,66232,1,0,False,False,False,False,False
393237,Mandant,22,66231,66231,1,0,False,False,False,False,False
393238,Mandant,23,65554,65554,1,0,False,False,False,False,False
393239,Mandant de grande compagnie,24,66229,65536,2,1,True,False,False,False,False
393240,Mandant de grande compagnie,25,66229,65536,2,5,True,False,False,False,False
393241,Mandant de grande compagnie,26,65756,65536,2,1,False,True,False,False,False
393242,Mandant de grande compagnie,27,65756,65536,2,5,False,True,False,False,False
393243,Mandant de grande compagnie,28,66223,65536,2,1,False,False,True,False,False
393244,Mandant de grande compagnie,29,66223,65536,2,5,False,False,True,False,False
393245,Mandant de grande compagnie,30,65756,65536,2,5,True,True,True,False,False
393246,Mandant de grande compagnie,31,65756,65536,2,5,True,True,True,False,False
393247,Mandant de grande compagnie,32,66223,65536,2,8,True,True,True,False,False
393248,Mandant des templiers d'Ishgard,33,67642,67642,3,0,False,False,False,True,False
393249,Mandant,34,68457,68457,4,0,False,False,False,False,True
393250,Mandant,35,69138,69138,5,0,False,False,False,False,True
393251,Mandant,36,69706,69706,7,0,False,False,False,False,True
393252,Mandant,37,70539,70539,8,0,False,False,False,False,True
