#,PlaceName,TargetLocations[0],TargetLocations[1],TargetLocations[2],TargetLocations[3],TargetLocations[4],TargetLocations[5],TargetLocations[6],TargetLocations[7]
1179648,Reginald Eventman I,1,0,0,0,0,0,0,0
1179649,Reginald Eventman II,0,0,0,0,0,0,0,0
1179650,Gridania,16,2,4,18,8,12,0,0
1179651,Hutte des Hawthorne,6,0,0,0,0,0,0,0
1179652,Au Choix de Buscarron,21,24,0,0,0,0,0,0
1179653,Moulin de la Carrière,10,25,23,0,0,0,0,0
1179654,Camp des Sentes tranquilles,14,20,22,108,0,0,0,0
1179655,Moulin des Bois,17,27,0,0,0,0,0,0
1179656,Radeau de la Calebasse,19,26,94,0,0,0,0,0
1179657,Ranch de Brancharquée,3,0,0,0,0,0,0,0
1179658,Ul'dah,42,32,44,30,48,52,38,28
1179659,Horizon,33,36,34,0,0,0,0,0
1179660,Baie des Vêpres,31,37,0,0,0,0,0,0
1179661,Bazar argenté,29,35,0,0,0,0,0,0
1179662,Gare de Roncenoire,43,0,0,0,0,0,0,0
1179663,Camp des Os desséchés,46,56,110,0,0,0,0,0
1179664,Petite Ala Mhigo,50,58,0,0,0,0,0,0
1179665,Oasis oubliée,54,59,0,0,0,0,0,0
1179666,Camp de Brumebleue,40,60,0,0,0,0,0,0
1179667,Bazar doré,57,0,0,0,0,0,0,0
1179668,Usine de céruleum,61,0,0,0,0,0,0,0
1179669,Limsa Lominsa,62,88,64,86,68,72,76,82
1179670,Vergers d'Estival,63,0,0,0,0,0,0,0
1179671,Tour du Martinet,66,93,0,0,0,0,0,0
1179672,Port-aux-Ales,70,92,0,0,0,0,0,0
1179673,Port-aux-Vins,74,0,0,0,0,0,0,0
1179674,Camp du lac d'Airain,79,0,0,0,0,0,0,0
1179675,Chantier naval de Moraby,87,90,0,0,0,0,0,0
1179676,Métairie du Coq rouge,89,91,0,0,0,0,0,0
1179677,Costa del Sol,84,0,0,0,0,0,0,0
1179678,（空き）,0,0,0,0,0,0,0,0
1179679,Observatoire,98,0,0,0,0,0,0,0
1179680,Camp de la Tête du dragon,99,101,102,96,0,0,0,0
1179681,L'Arête blanche,100,0,0,0,0,0,0,0
1179682,Glas des revenants,104,106,0,0,0,0,0,0
1179683,Trouvaille de Saint-Coinach,107,0,0,0,0,0,0,0
1179684,L'Assise,140,0,0,0,0,0,0,0
1179685,Nid du faucon,141,112,114,0,0,0,0,0
1179686,Le Convictoire,113,118,0,0,0,0,0,0
1179687,La Penne,116,120,122,124,0,0,0,0
1179688,Annexe Trine,123,128,0,0,0,0,0,0
1179689,Bivouac de Grand-ouest,126,130,0,0,0,0,0,0
1179690,Nid-Mog,132,134,0,0,0,0,0,0
1179691,Passe-nuage d'Asah,135,136,0,0,0,0,0,0
1179692,Zénith,137,133,0,0,0,0,0,0
1179693,Ok' Zundu,138,0,0,0,0,0,0,0
1179694,Camp de Cime-des-nuages,139,0,0,0,0,0,0,0
1179695,L'Étendue de Rhalgr,145,148,151,152,0,0,0,0
1179696,Castrum Oriens,146,155,0,0,0,0,0,0
1179697,Rochers d'aguet,149,156,157,0,0,0,0,0
1179698,Ala Gannha,143,161,163,0,0,0,0,0
1179699,Ala Ghiri,153,159,162,166,0,0,0,0
1179700,Porta Praetoria,165,168,169,0,0,0,0,0
1179701,Faubourg mhigois,170,0,0,0,0,0,0,0
1179702,Kugane,171,174,0,0,0,0,0,0
1179703,Onokoro,172,177,179,195,0,0,0,0
1179704,Tamamizu,175,178,183,0,0,0,0,0
1179705,Namai,181,185,187,0,0,0,0,0
1179706,Cercle des Intrépides,188,189,201,0,0,0,0,0
1179707,Ralliement ,191,193,197,206,0,0,0,0
1179708,Mol Iloh,198,203,0,0,0,0,0,0
1179709,Le Trône de l'Aube,199,205,204,0,0,0,0,0
1179710,Tomra,207,212,213,0,0,0,0,0
1179711,Cherpant,208,209,216,0,0,0,0,0
1179712,Douceonde,210,211,219,0,0,0,0,0
1179713,Eulmore,215,218,221,0,0,0,0,0
1179714,Pla Enni,222,224,0,0,0,0,0,0
1179715,Wolekdorf,223,227,0,0,0,0,0,0
1179716,Lydha Lran,225,226,236,251,0,0,0,0
1179717,Fanow,229,0,0,0,0,0,0,0
1179718,Serpentige,228,240,255,0,0,0,0,0
1179719,Queues-liées,230,247,262,267,0,0,0,0
1179720,Mord Souq,231,265,0,0,0,0,0,0
1179721,Cristarium,244,259,0,0,0,0,0,0
1179722,L'Impératif d'Ostall,233,249,253,257,260,0,0,0
1179723,Fort Jobb,232,234,238,242,245,0,0,0
1179724,Auberge du Grand Départ,264,266,0,0,0,0,0,0
1179725,Radz-at-Han,288,291,294,0,0,0,0,0
1179726,Yedlihmad,280,283,286,0,0,0,0,0
1179727,Le Grand Œuvre,281,285,289,0,0,0,0,0
1179728,Écoute des Palaka,282,284,292,0,0,0,0,0
1179729,Camp Bris-de-glace,295,0,0,0,0,0,0,0
1179730,Gare de Tertium,296,0,0,0,0,0,0,0
1179731,Vestibule de l'Ingéniosité,305,308,311,0,0,0,0,0
1179732,Archéion,297,301,303,0,0,0,0,0
1179733,Petite Sharlayan,298,299,306,0,0,0,0,0
1179734,L'Aporie,302,300,309,0,0,0,0,0
1179735,Tuliyollal,312,315,0,0,0,0,0,0
1179736,Wachunpelo,313,318,0,0,0,0,0,0
1179737,L'Écho de Worlar,319,0,0,0,0,0,0,0
1179738,Ok'hanu,316,320,322,0,0,0,0,0
1179739,Maints-Feux,321,324,0,0,0,0,0,0
1179740,La Fournée,323,325,0,0,0,0,0,0
