#,Name,NameShort,NameFemale,Description,NameEnglish,Action[0],Action[1],Action[2],Action[3],Action[4],LevelMax,JobIndex,LevelUnlock[0],LevelUnlock[1],LevelUnlock[2],LevelUnlock[3],LevelUnlock[4]
0,Freelance fantôme,Freelance fant.,,Les réminiscences d'un aventurier libre comme l'air vous octroient la maîtrise d'actions taillées sur mesure pour l'exploration.,Phantom Freelancer,41650,41651,46606,49102,0,24,24,5,10,15,20,0
1,Paladin fantôme,Paladin fant.,,Les réminiscences d'un paladin honorable et dévoué vous octroient la maîtrise d'actions qui vous permettront de protéger vos alliés.,Phantom Knight,41588,41589,41590,41591,0,6,1,1,2,3,6,0
2,Berserker fantôme,Berserker fant.,,Les réminiscences d'un berserker téméraire et fougueux vous octroient la maîtrise d'actions aussi risquées que destructrices.,Phantom Berserker,41592,41594,0,0,0,3,7,1,2,0,0,0
3,Moine fantôme,Moine fant.,,Les réminiscences d'un moine méditatif et assidu vous octroient la maîtrise d'actions offensives décisives.,Phantom Monk,41595,41596,41597,41598,0,6,2,1,2,3,5,0
4,Rôdeur fantôme,Rôdeur fant.,,Les réminiscences d'un rôdeur fier et passionné vous octroient la maîtrise d'actions puisant dans les forces de la nature.,Phantom Ranger,41599,41600,41601,41602,0,6,8,1,2,4,6,0
5,Samouraï fantôme,Samouraï fant.,,Les réminiscences d'un samouraï discipliné et respectueux de la voie du guerrier vous octroient la maîtrise d'actions soudaines et mortelles.,Phantom Samurai,41603,41604,41605,41606,0,5,6,1,2,3,4,0
6,Barde fantôme,Barde fant.,,Les réminiscences d'un barde enthousiaste et poétique vous octroient la maîtrise d'actions tout en musique et chants.,Phantom Bard,41608,41609,41607,41610,0,4,18,1,2,3,4,0
7,Géomancien fantôme,Géomancien fant.,,Les réminiscences d'un géomancien versé dans les lois de l'univers vous octroient la maîtrise d'actions fluctuant avec la météo.,Phantom Geomancer,41611,41612,41619,41620,0,5,17,1,2,3,4,0
8,Chronomancien fantôme,Chronomancien fant.,,Les réminiscences d'un chronomancien imperturbable et rigoureux vous octroient la maîtrise d'actions manipulant le temps à votre avantage.,Phantom Time Mage,41621,41623,41624,41622,41625,5,12,1,2,3,4,5
9,Artilleur fantôme,Artilleur fant.,,Les réminiscences d'un artilleur expert en tactique et balistique vous octroient la maîtrise d'actions aux munitions aussi effectives que variées.,Phantom Cannoneer,41626,41627,41628,41629,41630,6,22,1,2,3,4,6
10,Alchimiste fantôme,Alchimiste fant.,,Les réminiscences d'un alchimiste virtuose des concoctions vous octroient la maîtrise d'actions tirant la quintessence de divers remèdes.,Phantom Chemist,41631,41633,41634,41635,0,4,16,1,2,3,4,0
11,Devin fantôme,Devin fant.,,Les réminiscences d'un devin aux capacités de discernement surnaturelles vous octroient la maîtrise d'actions aux effets ultérieurs.,Phantom Oracle,41636,41641,41642,41643,41644,5,21,1,2,3,4,5
12,Voleur fantôme,Voleur fant.,,Les réminiscences d'un voleur rusé et généreux vous octroient la maîtrise d'actions subtiles et bigarrées pour tirer votre épingle du jeu.,Phantom Thief,41646,41645,41647,41648,41649,6,3,1,2,3,4,5
13,Chevalier mage fantôme,Chevalier mage fant.,,Les réminiscences d'un chevalier mage dévoué et expert des arcanes vous octroient la maîtrise d'actions permettant d'enchanter votre épée.,Phantom Mystic Knight,46591,46590,46592,46593,0,4,9,1,2,3,4,0
14,Gladiateur fantôme,Gladiateur fant.,,Les réminiscences d'un gladiateur inflexible et sans peur vous octroient la maîtrise d'un large éventail d'actions offensives et défensives.,Phantom Gladiator,46594,46595,46596,46597,0,4,23,1,2,3,4,0
15,Danseur fantôme,Danseur fant.,,Les réminiscences d'un danseur expressif et raffiné vous octroient la maîtrise d'actions de danse aux effets divers et variés.,Phantom Dancer,46598,46603,46604,46605,0,4,19,1,2,3,4,0
16,Ninja fantôme,Ninja fant.,,Les réminiscences d'un ninja insaisissable et létal vous octroient la maîtrise d'actions efficaces en toute situation.,Phantom Ninja,49062,49063,49064,49065,49066,6,5,1,2,3,4,6
17,Mage blanc fantôme,Mage blanc fant.,,Les réminiscences d'un mage blanc dévoué et expert en magie curative vous octroient la maîtrise de précieux sorts de soin.,Phantom White Mage,49067,49068,49069,49070,49071,5,10,1,2,3,4,5
18,Mage noir fantôme,Mage noir fant.,,Les réminiscences d'un mage noir dévoué à ses recherches vous octroient la maîtrise de sorts de magie élémentaire destructeurs.,Phantom Black Mage,49072,49073,49074,49075,49076,5,11,1,2,3,4,5
19,Chevalier dragon fantôme,Chevalier drag. fant.,,Les réminiscences d'un chevalier dragon rompu aux combats vous octroient la maîtrise d'actions mêlant sauts et coups de lance mortels.,Phantom Dragoon,49077,49078,49079,0,0,4,4,1,2,3,0,0
20,Invocateur fantôme,Invocateur fant.,,Les réminiscences d'un invocateur passionné et expérimenté vous octroient la maîtrise d'actions d'invocation aussi efficaces en attaque qu'en défense.,Phantom Summoner,49080,49081,49082,49083,49084,5,13,1,2,3,4,5
21,Mage bleu fantôme,Mage bleu fant.,,Les réminiscences d'un mage bleu aventureux et curieux vous octroient la capacité d'apprendre des techniques des monstres rencontrés.,Phantom Blue Mage,49085,49086,49087,49088,49090,3,14,1,1,1,2,3
22,Mage rouge fantôme,Mage rouge fant.,,Les réminiscences d'un mage rouge vagabond et vif d'esprit vous octroient la maîtrise de sorts de magie blanche et noire en parfaite harmonie.,Phantom Red Mage,49092,49093,49094,49095,49096,6,15,1,2,3,4,5
