#,Name,Description,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
0,,,0,0,0,0,False
1,Roulette,Choisit une règle de façon aléatoire.,0,0,0,0,False
2,Toutes sur table,Affiche les cinq cartes des deux adversaires.,1000,3,0,0,False
3,Trois sur table,Affiche trois cartes choisies aléatoirement dans les mains des deux adversaires.,1166,2,0,0,False
4,Identique,Retourne les cartes adjacentes dont les chiffres sont similaires sur au moins deux côtés.,666,0,0,0,False
5,Mort subite,"Oblige les duellistes à rejouer en cas d'égalité, et ce jusqu'à ce qu'un vainqueur soit proclamé.",1333,0,0,0,True
6,Plus,Retourne les cartes adjacentes dont la somme des chiffres donne le même résultat sur au moins deux côtés.,666,0,0,0,False
7,Aléatoire,Choisit les cartes de façon aléatoire parmi toutes celles possédées.,1000,15,0,0,True
8,Ordre,Contraint les duellistes à utiliser les cartes dans l'ordre où ils les ont enregistrées dans leur jeu.,1666,9,15,0,False
9,Chaos,Contraint les duellistes à utiliser les cartes de leur jeu dans un ordre déterminé aléatoirement.,1433,8,0,0,False
10,Inversion,Inverse la puissance des cartes.,1000,0,0,0,False
11,Tueur d'as,"Rend l'as inférieur au chiffre 1. En mode Inversion, l'as retourne le chiffre 1.",666,0,0,0,False
12,Bonus,Augmente la puissance des cartes de même famille en fonction du nombre d'entre elles présentes sur le plateau de jeu.,1000,13,0,0,False
13,Malus,Réduit la puissance des cartes de même famille en fonction du nombre d'entre elles présentes sur le plateau de jeu.,1000,12,0,0,False
14,Échange,Échange une carte choisie aléatoirement dans le jeu des deux adversaires.,1666,0,0,0,False
15,Draft,Contraint les duellistes à préparer leur jeu à partir d'une sélection de cartes aléatoire.,1000,7,8,0,False
