#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65572.4,41,0,0,0,0,0,0,0,4,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
65576.1,5,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
65576.3,18,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
65576.5,11,0,0,0,0,0,0,0,4,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
65587.1,5280,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65587.2,5280,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65597.3,3100,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65597.4,3100,0,0,0,0,0,0,0,3,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65599.255,3616,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65600.1,3639,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65600.2,3639,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65601.1,3651,2270,4360,0,0,0,0,0,0,0,0,255,255,255,255,255,1,1,1,0,0,0,0,0
65601.2,3651,2270,4360,0,0,0,0,0,1,2,3,255,255,255,255,255,1,1,1,0,0,0,0,0
65602.3,3206,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65642.255,4304,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65671.255,5276,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65672.1,3772,4308,0,0,0,0,0,0,0,0,255,255,255,255,255,255,1,1,0,0,0,0,0,0
65672.255,19,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
65673.255,3784,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65675.255,2219,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65676.255,5364,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65677.2,1823,1895,0,0,0,0,0,0,1,2,255,255,255,255,255,255,1,1,0,0,0,0,0,0
65678.255,1827,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65698.3,22,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
65703.1,41,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
65703.2,41,41,41,41,41,0,0,0,1,1,1,1,1,255,255,255,2,2,2,2,2,0,0,0
65704.255,5371,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65705.1,2015,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65705.2,2015,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65705.3,2015,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65741.255,5361,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65745.255,5275,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65762.1,12,12,12,12,0,0,0,0,0,0,0,0,255,255,255,255,2,2,2,2,0,0,0,0
65790.255,4849,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65791.255,4660,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65792.1,23,23,23,23,0,0,0,0,0,0,0,0,255,255,255,255,2,2,2,2,0,0,0,0
65792.2,23,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
65793.255,4640,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65794.3,4642,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65795.255,4730,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65796.255,4644,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65802.3,4645,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65803.255,4677,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65804.255,4712,4733,4749,0,0,0,0,0,1,1,1,255,255,255,255,255,1,1,1,0,0,0,0,0
65805.255,4679,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65806.5,4647,4678,4715,4713,0,0,0,0,7,7,7,7,255,255,255,255,1,1,1,1,0,0,0,0
65810.255,5056,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65811.255,2226,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65812.255,5071,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65813.3,2680,2231,0,0,0,0,0,0,2,2,255,255,255,255,255,255,1,1,0,0,0,0,0,0
65814.255,2236,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65815.255,5058,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65816.255,3096,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65817.1,2502,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65817.255,2502,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65818.2,3149,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65818.255,3149,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65819.1,3861,2830,3868,0,0,0,0,0,0,0,0,255,255,255,255,255,1,1,1,0,0,0,0,0
65820.1,3203,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
