#,Objective,Unknown0,Unknown1,Unknown2,EObj,Unknown3,Unknown4,Type,Unknown5,Range,Unknown6
0,,,,,0,0,0,0,0,0,-1
1,,,,,0,0,0,0,0,0,0
2,,,,,0,0,0,0,0,0,0
3,,,,,0,0,0,0,0,0,0
4,,,,,0,0,0,0,0,0,0
5,,,,,0,0,0,0,0,0,0
6,,,,,0,0,0,0,0,0,0
7,,,,,0,0,0,0,0,0,0
8,,,,,0,0,0,0,0,0,0
9,,,,,0,0,0,0,0,0,0
10,,Ici le centre de commande de la maison Haillenarte. Position de votre aéronef confirmée sur nos radars. Bienvenue dans l'archipel du Diadème !,Procédez à l'exploration de l'archipel en récoltant un maximum de ressources. Les données que vous enverrez seront analysées directement par nos scien­ti­fi­ques.,"Bien sûr, nous vous récompenserons en fonction de votre con­tri­bu­tion. Vous avez tout intérêt à redoubler d'activité ! Bonne chance, et que la bénédiction de Halone soit avec vous.",0,0,0,6,0,0,-1
11,,Ici le centre de commande de la maison Haillenarte. Première partie de l'analyse des ressources terminée.,Les résultats obtenus sont très prometteurs. Veuillez poursuivre votre exploration du Diadème en récoltant un maximum de ressources.,,0,0,0,6,0,0,-1
12,,Ici le centre de commande de la maison Haillenarte. Seconde partie de l'analyse des ressources terminée.,Les données que vous nous fournissez sont toujours aussi in­té­res­santes. Veuillez poursuivre la mission d'exploration et récolter autant de matériaux que possible !,,0,0,0,6,0,0,-1
13,Rassembler des cristaux de feu surchargés,Ici le centre de commande de la maison Haillenarte. Position de votre aéronef confirmée sur nos radars. Bienvenue dans l'archipel du Diadème !,Rendez-vous sur le secteur indiqué pour récolter des cristaux surchargés.,"Toute autre découverte sur l'archipel pouvant se révéler utile, nous vous invitons également à explorer les environs durant votre mission pour obtenir une meilleure évaluation.",2007594,0,8,9,0,0,-1
14,Rassembler des cristaux d'eau surchargés,Ici le centre de commande de la maison Haillenarte. Position de votre aéronef confirmée sur nos radars. Bienvenue dans l'archipel du Diadème !,Rendez-vous sur le secteur indiqué pour récolter des cristaux surchargés.,"Toute autre découverte sur l'archipel pouvant se révéler utile, nous vous invitons également à explorer les environs durant votre mission pour obtenir une meilleure évaluation.",2007597,0,8,9,0,0,-1
15,Rassembler des cristaux de terre surchargés,Ici le centre de commande de la maison Haillenarte. Position de votre aéronef confirmée sur nos radars. Bienvenue dans l'archipel du Diadème !,Rendez-vous sur le secteur indiqué pour récolter des cristaux surchargés.,"Toute autre découverte sur l'archipel pouvant se révéler utile, nous vous invitons également à explorer les environs durant votre mission pour obtenir une meilleure évaluation.",2007595,0,8,9,0,0,-1
16,Rassembler des cristaux de glace surchargés,Ici le centre de commande de la maison Haillenarte. Position de votre aéronef confirmée sur nos radars. Bienvenue dans l'archipel du Diadème !,Rendez-vous sur le secteur indiqué pour récolter des cristaux surchargés.,"Toute autre découverte sur l'archipel pouvant se révéler utile, nous vous invitons également à explorer les environs durant votre mission pour obtenir une meilleure évaluation.",2007596,0,8,9,0,0,-1
17,Rassembler des cristaux de vent surchargés,Ici le centre de commande de la maison Haillenarte. Position de votre aéronef confirmée sur nos radars. Bienvenue dans l'archipel du Diadème !,Rendez-vous sur le secteur indiqué pour récolter des cristaux surchargés.,"Toute autre découverte sur l'archipel pouvant se révéler utile, nous vous invitons également à explorer les environs durant votre mission pour obtenir une meilleure évaluation.",2007598,0,8,9,0,0,-1
18,Rassembler des cristaux de foudre surchargés,Ici le centre de commande de la maison Haillenarte. Position de votre aéronef confirmée sur nos radars. Bienvenue dans l'archipel du Diadème !,Rendez-vous sur le secteur indiqué pour récolter des cristaux surchargés.,"Toute autre découverte sur l'archipel pouvant se révéler utile, nous vous invitons également à explorer les environs durant votre mission pour obtenir une meilleure évaluation.",2007593,0,8,9,0,0,-1
19,Rassembler des cristaux de feu surchargés,Ici le centre de commande de la maison Haillenarte. Première partie de la mission d'exploration terminée.,Rendez-vous sur le secteur suivant pour rassembler davantage de ressources.,"Toute autre découverte sur l'archipel pouvant se révéler utile, nous vous invitons également à explorer les environs durant votre mission pour obtenir une meilleure évaluation.",2007594,1,10,9,0,0,-1
20,Rassembler des cristaux d'eau surchargés,Ici le centre de commande de la maison Haillenarte. Première partie de la mission d'exploration terminée.,Rendez-vous sur le secteur suivant pour rassembler davantage de ressources.,"Toute autre découverte sur l'archipel pouvant se révéler utile, nous vous invitons également à explorer les environs durant votre mission pour obtenir une meilleure évaluation.",2007597,1,10,9,0,0,-1
21,Rassembler des cristaux de terre surchargés,Ici le centre de commande de la maison Haillenarte. Première partie de la mission d'exploration terminée.,Rendez-vous sur le secteur suivant pour rassembler davantage de ressources.,"Toute autre découverte sur l'archipel pouvant se révéler utile, nous vous invitons également à explorer les environs durant votre mission pour obtenir une meilleure évaluation.",2007595,1,10,9,0,0,-1
22,Rassembler des cristaux de glace surchargés,Ici le centre de commande de la maison Haillenarte. Première partie de la mission d'exploration terminée.,Rendez-vous sur le secteur suivant pour rassembler davantage de ressources.,"Toute autre découverte sur l'archipel pouvant se révéler utile, nous vous invitons également à explorer les environs durant votre mission pour obtenir une meilleure évaluation.",2007596,1,10,9,0,0,-1
23,Rassembler des cristaux de vent surchargés,Ici le centre de commande de la maison Haillenarte. Première partie de la mission d'exploration terminée.,Rendez-vous sur le secteur suivant pour rassembler davantage de ressources.,"Toute autre découverte sur l'archipel pouvant se révéler utile, nous vous invitons également à explorer les environs durant votre mission pour obtenir une meilleure évaluation.",2007598,1,10,9,0,0,-1
24,Rassembler des cristaux de foudre surchargés,Ici le centre de commande de la maison Haillenarte. Première partie de la mission d'exploration terminée.,Rendez-vous sur le secteur suivant pour rassembler davantage de ressources.,"Toute autre découverte sur l'archipel pouvant se révéler utile, nous vous invitons également à explorer les environs durant votre mission pour obtenir une meilleure évaluation.",2007593,1,10,9,0,0,-1
25,"Apporter les ressources au pilote des Haillenarte, sur La Bonté",Ici le centre de commande de la maison Haillenarte. Seconde partie de la mission d'exploration terminée.,Veuillez apporter les ressources récoltées à notre pilote qui se trouve sur La Bonté.,Merci pour votre col­la­bo­ra­tion ! Vous pouvez venir recevoir votre récompense à bord de La Bonté.,0,0,0,2,0,0,-1
26,Attirer des coquargents grâce à un piège olfactif puis les vaincre pour obtenir leurs glandes,Ici le centre de commande de la maison Haillenarte. Position de votre aéronef confirmée sur nos radars. Bienvenue dans l'archipel du Diadème !,Nous avons besoin d'échan­til­lons pour étudier les espèces vivant dans l'archipel. Veuillez attirer les cibles grâce à un piège olfactif puis les abattre pour prélever leurs glandes.,"Toute autre découverte sur l'archipel pouvant se révéler utile, nous vous invitons également à explorer les environs durant votre mission pour obtenir une meilleure évaluation.",0,0,0,4,0,5,-1
27,Attirer des nix du firmament grâce à un piège olfactif puis les vaincre pour obtenir leurs glandes,Ici le centre de commande de la maison Haillenarte. Position de votre aéronef confirmée sur nos radars. Bienvenue dans l'archipel du Diadème !,Nous avons besoin d'échan­til­lons pour étudier les espèces vivant dans l'archipel. Veuillez attirer les cibles grâce à un piège olfactif puis les abattre pour prélever leurs glandes.,"Toute autre découverte sur l'archipel pouvant se révéler utile, nous vous invitons également à explorer les environs durant votre mission pour obtenir une meilleure évaluation.",0,0,0,4,0,5,-1
28,Attirer des guêpes de mer rubis grâce à un piège olfactif puis les vaincre pour obtenir leurs glandes,Ici le centre de commande de la maison Haillenarte. Position de votre aéronef confirmée sur nos radars. Bienvenue dans l'archipel du Diadème !,Nous avons besoin d'échan­til­lons pour étudier les espèces vivant dans l'archipel. Veuillez attirer les cibles grâce à un piège olfactif puis les abattre pour prélever leurs glandes.,"Toute autre découverte sur l'archipel pouvant se révéler utile, nous vous invitons également à explorer les environs durant votre mission pour obtenir une meilleure évaluation.",0,0,0,4,0,5,-1
29,Attirer des gastornis arc-en-ciel grâce à un piège olfactif puis les vaincre pour obtenir leurs glandes,Ici le centre de commande de la maison Haillenarte. Position de votre aéronef confirmée sur nos radars. Bienvenue dans l'archipel du Diadème !,Nous avons besoin d'échan­til­lons pour étudier les espèces vivant dans l'archipel. Veuillez attirer les cibles grâce à un piège olfactif puis les abattre pour prélever leurs glandes.,"Toute autre découverte sur l'archipel pouvant se révéler utile, nous vous invitons également à explorer les environs durant votre mission pour obtenir une meilleure évaluation.",0,0,0,4,0,5,-1
30,Attirer des lunantishees grâce à un piège olfactif puis les vaincre pour obtenir leurs glandes,Ici le centre de commande de la maison Haillenarte. Position de votre aéronef confirmée sur nos radars. Bienvenue dans l'archipel du Diadème !,Nous avons besoin d'échan­til­lons pour étudier les espèces vivant dans l'archipel. Veuillez attirer les cibles grâce à un piège olfactif puis les abattre pour prélever leurs glandes.,"Toute autre découverte sur l'archipel pouvant se révéler utile, nous vous invitons également à explorer les environs durant votre mission pour obtenir une meilleure évaluation.",0,0,0,4,0,5,-1
31,Attirer des guêpes fouisseuses grâce à un piège olfactif puis les vaincre pour obtenir leurs glandes,Ici le centre de commande de la maison Haillenarte. Position de votre aéronef confirmée sur nos radars. Bienvenue dans l'archipel du Diadème !,Nous avons besoin d'échan­til­lons pour étudier les espèces vivant dans l'archipel. Veuillez attirer les cibles grâce à un piège olfactif puis les abattre pour prélever leurs glandes.,"Toute autre découverte sur l'archipel pouvant se révéler utile, nous vous invitons également à explorer les environs durant votre mission pour obtenir une meilleure évaluation.",0,0,0,4,0,5,-1
32,Attirer des diplocaulus grâce à un piège olfactif puis les vaincre pour obtenir leur squelette,Ici le centre de commande de la maison Haillenarte. Première partie de la mission d'exploration terminée.,Nous avons besoin de plus d'échan­til­lons pour nos recherches. Veuillez attirer les cibles grâce à un piège olfactif puis les abattre pour prélever leur squelette.,"Toute autre découverte sur l'archipel pouvant se révéler utile, nous vous invitons également à explorer les environs durant votre mission pour obtenir une meilleure évaluation.",0,0,0,4,0,3,-1
