#,DefaultTalkParams[0].ActionTimelinePose,DefaultTalkParams[0].Unknown0,DefaultTalkParams[0].Unknown1,DefaultTalkParams[0].Unknown2,DefaultTalkParams[0].Unknown3,DefaultTalkParams[0].Unknown4,DefaultTalkParams[1].ActionTimelinePose,DefaultTalkParams[1].Unknown0,DefaultTalkParams[1].Unknown1,DefaultTalkParams[1].Unknown2,DefaultTalkParams[1].Unknown3,DefaultTalkParams[1].Unknown4,DefaultTalkParams[2].ActionTimelinePose,DefaultTalkParams[2].Unknown0,DefaultTalkParams[2].Unknown1,DefaultTalkParams[2].Unknown2,DefaultTalkParams[2].Unknown3,DefaultTalkParams[2].Unknown4,Text[0],Text[1],Text[2],Unknown0,Unknown1
589824,799,0,1,1,3,False,796,0,0,1,4,False,854,0,0,1,5,False,Parle avec emphase,Boucle gestuelle,Colère debout,0,1
589825,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,test there,0,0,0,1
589826,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,Hoquet,Pfiouuu,Bar,0,1
589827,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,J'en peux plus ! J'ai trrrop mangé !,"Ça, on peut dirrre que les repas sont bons ici !",0,0,1
589828,755,0,2,1,0,True,755,0,2,1,0,True,0,0,0,1,0,False,Station debout et réaction debout (donne un objet),Salutations (réaction com­por­te­mentale),0,0,1
589829,755,0,2,1,0,True,755,0,2,1,0,True,0,0,0,1,0,False,Station debout et réaction debout (reçoit un objet),Salutations (réaction com­por­te­mentale),0,0,1
589830,755,0,2,1,0,True,763,0,2,1,0,True,0,0,0,1,0,False,Station debout et réaction debout (parle d'un objet),Salutations (réaction com­por­te­mentale),0,0,1
589831,763,0,2,1,0,True,0,0,0,1,0,False,0,0,0,1,0,False,"Station debout et réaction debout
Position assise au sol -> Station debout -> Réaction debout",0,0,0,1
589832,763,0,2,1,0,True,0,0,0,1,0,False,0,0,0,1,0,False,"Station debout extravagante
Station debout extravagante -> Station debout -> Réaction debout",0,0,0,1
589833,763,0,2,1,0,True,0,0,0,1,0,False,0,0,0,1,0,False,"Bienvenue à Gridania ! Cette cité n'existerait pas si la Sylve et les esprits ne nous avaient pas autorisés à la bâtir. Vivre modestement chaque jour, préserver la nature, voilà notre façon de leur exprimer notre gratitude.",Test,Test,0,1
589834,763,0,2,1,0,True,0,0,0,1,0,False,0,0,0,1,0,False,"Station debout et réaction debout
Position propre au personnage -> station debout -> réaction debout",0,0,0,1
589835,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,On peut voir le ciel d'ici ! T'as vu ? C'est incroyable !,0,0,0,1
589836,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,"Je suis un ménestrel, mais ça ne vous a sans doute pas échappé.",Désirez-vous entendre une petite pièce ?,0,0,1
589837,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,Je ne suis là que pour vous proposer une quête.,0,0,0,1
589838,784,0,1,1,0,False,809,0,2,1,0,False,786,0,2,1,0,False,Test changement de page. Page 1.,Page 2,Page 3,0,1
589839,764,0,1,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,"Test retour à la ligne.
Deuxième ligne.",0,0,0,1
589840,764,0,1,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,"Hé, tu as entendu parler de ce restaurant à Melun qui sert une viande ex­traor­di­nai­re ?",0,0,0,1
589841,764,0,1,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,TEST.,0,0,0,1
589842,764,0,1,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,TEST !,0,0,0,1
589843,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,Ceci est un test.,0,0,0,1
589844,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,Tu ne vois pas que je suis occupée ? Laisse-moi donc un peu tranquille.,"Mais dis donc, ta tête ne me dit rien. Si tu es nouvelle dans le coin, il va falloir que tu ailles t'enregistrer aux Feuilles de carline.",0,0,1
589845,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,"Va à la guilde des aventuriers, c'est aux Feuilles de carline. Quand tu y seras, adresse-toi à Miounne. C'est la patronne.",Les vigiles sombres ne pardonnent pas aux aventuriers qui désobéissent aux ordres alors qu'ils ont passé les portes de notre belle cité. Dépêche-toi !,0,0,1
589846,755,0,1,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,Encore une aventurière ? Notre belle Gridania attire décidément de plus en plus de monde !,"Votre aide nous est précieuse, mais avec tous ces inconnus qui traînent dans le coin, on ne se sent pas rassurés.",0,0,1
589847,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,"Bienvenue à Gridania ! Cette cité n'existerait pas si la Sylve et les esprits ne nous avaient pas autorisés à la bâtir. Vivre modestement chaque jour, préserver la nature, voilà notre façon de leur exprimer notre gratitude.",0,0,0,1
589848,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,Tu es à Gridania. Cette cité a reçu la bénédiction des esprits et de la Sylve pour s'établir en ces lieux.,"Visiteuse arrivée de par-delà la forêt, tâche de ne pas importuner mes concitoyens et tout se passera pour le mieux. Nous n'aimons pas les fauteurs de troubles, ici.",0,0,1
