#,Singular,Plural,Name,Tooltip,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Icon,Action
0,,,,,0,0,0,1,0,0,0,0
1,poterie magique de désamorçage,poteries magiques de désamorçage,Poterie magique de désamorçage,Désamorce tous les pièges du sous-sol actuelle.,0,0,0,1,1,0,27901,6259
2,poterie magique de localisation,poteries magiques de localisation,Poterie magique de localisation,Révèle la carte du sous-sol actuelle et rend visibles les pièges qui s'y trouvent.,0,0,0,1,1,0,27902,6260
3,poterie magique de puissance,poteries magiques de puissance,Poterie magique de puissance,Augmente de 30% les dégâts que vous infligez et l'effet de vos sorts curatifs.,0,0,0,1,1,0,27903,6262
4,poterie magique de protection,poteries magiques de protection,Poterie magique de protection,Réduit de 40% les dégâts que vous subissez.,0,0,0,1,1,0,27904,6263
5,poterie magique de décèlement,poteries magiques de décèlement,Poterie magique de décèlement,Augmente le nombre de coffres au trésor du sous-sol suivante.,0,0,0,1,1,0,27905,6264
6,poterie magique de sécurisation,poteries magiques de sécurisation,Poterie magique de sécurisation,Réduit le nombre d'ennemis du sous-sol suivante.,0,0,0,1,1,0,27906,6265
7,poterie magique d'affaiblissement,poteries magiques d'affaiblissement,Poterie magique d'affaiblissement,Transforme en mimic ou en mandragore les ennemis d'une des salles du sous-sol suivante.,0,0,0,1,1,0,27907,6266
8,poterie magique d'anti-maléfice,poteries magiques d'anti-maléfice,Poterie magique d'anti-maléfice,Dissipe l'altération d'état Maléfice.,0,0,0,1,1,0,27908,6267
9,poterie magique de chance,poteries magiques de chance,Poterie magique de chance,Augmente les chances qu'un coffre au trésor apparaisse lorsqu'un ennemi du sous-sol actuelle est vaincu.,0,0,0,1,1,0,27909,6268
10,poterie magique de mutation,poteries magiques de mutation,Poterie magique de mutation,"Transforme en crapaud, kappa ou poulet les ennemis qui s'approchent de vous.",0,0,0,1,1,0,27910,6269
11,poterie magique de dissipation,poteries magiques de dissipation,Poterie magique de dissipation,Dissipe tous les effets magiques du sous-sol actuelle.,0,0,0,1,1,0,27911,6270
12,poterie magique de manticore,poteries magiques de manticore,Poterie magique de manticore,Vous transforme en manticore.,0,0,0,1,1,0,27912,6271
13,poterie magique de succube,poteries magiques de succube,Poterie magique de succube,Vous transforme en succube.,0,0,0,1,1,0,27913,6272
14,poterie magique d'intuition,poteries magiques d'intuition,Poterie magique d'intuition,Indique l'emplacement des trésors cachés. L'effet dure jusqu'à la découverte d'un de ces trésors.,0,0,0,1,1,0,27916,6870
15,poterie magique de résurrection,poteries magiques de résurrection,Poterie magique de résurrection,Ranime le premier équipier qui a été rendu inconscient.,0,0,0,1,1,0,27914,6868
16,poterie magique de Kuribu,poteries magiques de Kuribu,Poterie magique de Kuribu,Vous transforme en Kuribu.,0,0,0,1,1,0,27915,6869
17,poterie magique d'incapacité,poteries magiques d'incapacité,Poterie magique d'incapacité,Inflige Capacité de combat réduite aux ennemis du sous-sol actuelle.,0,0,0,1,1,0,27919,11275
18,poterie magique d'invisibilité,poteries magiques d'invisibilité,Poterie magique d'invisibilité,Rend tous les membres de l'équipe invisibles.,0,0,0,1,1,0,27917,11276
19,poterie magique de pétrification,poteries magiques de pétrification,Poterie magique de pétrification,Inflige Pétrification aux ennemis du sous-sol actuelle.,0,0,0,1,1,0,27918,11277
20,magismobjet de ralentissement,magismobjets de ralentissement,Magismobjet de ralentissement,Inflige Méga Lenteur aux ennemis du sous-sol actuelle.,0,0,0,1,0,0,27920,32144
21,magismobjet de Charybde,magismobjets de Charybde,Magismobjet de Charybde,Réduit à un seul chiffre les PV des ennemis du sous-sol actuelle.,0,0,0,1,0,0,27921,32145
22,magismobjet de cuirassé Dreadnaught,magismobjets de cuirassé Dreadnaught,Magismobjet de cuirassé Dreadnaught,Vous transforme en cuirassé Dreadnaught.,0,0,0,1,0,0,27922,32146
23,magismobjet de désamorçage,magismobjets de désamorçage,Magismobjet de désamorçage,Désamorce tous les pièges du sous-sol actuelle.,0,0,0,1,0,0,27901,6259
24,magismobjet de localisation,magismobjets de localisation,Magismobjet de localisation,Révèle la carte du sous-sol actuelle et rend visibles les pièges qui s'y trouvent.,0,0,0,1,0,0,27902,6260
25,magismobjet de puissance,magismobjets de puissance,Magismobjet de puissance,Augmente de 30% les dégâts que vous infligez et l'effet de vos sorts curatifs.,0,0,0,1,0,0,27903,6262
26,magismobjet de protection,magismobjets de protection,Magismobjet de protection,Réduit de 40% les dégâts que vous subissez.,0,0,0,1,0,0,27904,6263
27,magismobjet de décèlement,magismobjets de décèlement,Magismobjet de décèlement,Augmente le nombre de coffres au trésor du sous-sol suivante.,0,0,0,1,0,0,27905,6264
28,magismobjet de sécurisation,magismobjets de sécurisation,Magismobjet de sécurisation,Réduit le nombre d'ennemis du sous-sol suivante.,0,0,0,1,0,0,27906,6265
29,magismobjet d'affaiblissement,magismobjets d'affaiblissement,Magismobjet d'affaiblissement,Transforme en mimic ou en mandragore les ennemis d'une des salles du sous-sol suivante.,0,0,0,1,0,0,27907,6266
