#,Name,Description,Icon
0,,,0
1,Aura : Cécité,La précision est réduite pour vous et vos équipiers.,216801
2,Aura : PV maximums réduits,Les PV maximums sont réduits pour vous et vos équipiers.,216802
3,Aura : Dégâts infligés réduits,Les dégâts infligés sont réduits pour vous et vos équipiers.,216803
4,Aura : Aptitudes inutilisables,Les aptitudes sont inutilisables pour vous et vos équipiers.,216804
5,Aura : Hâte,Le délai des attaques automatiques ainsi que le temps de recharge des techniques d'arme et des sorts de magie sont réduits pour vous et vos équipiers.,216805
6,Aura : PV et PM maximums augmentés,Les PV et PM maximums sont augmentés pour vous et vos équipiers.,216806
7,Aura : Objets désactivés,L'utilisation des objets et de certains objets spéciaux est désactivée pour vous et vos équipiers.,216807
8,Aura : Sprint désactivé,L'utilisation du sprint est désactivée pour vous et vos équipiers.,216808
9,Aura : Projections désactivées,"L'effet des projections et des attractions est désactivé pour vous, vos équipiers et vos ennemis.",216809
10,Aura : Auto-récupération des PV désactivée,La régénération automatique des PV est désactivée pour vous et vos équipiers.,216810
11,Aura : Brume du néant,"Une brume menaçante augmente les dégâts infligés ainsi que la vitesse de déplacement, et réduit les dégâts subis pour tous vos ennemis.",216811
12,Aura : Sprint,La vitesse de déplacement est accélérée pour vous et vos équipiers.,216812
13,Aura : Magilithes inutilisables,Les magilithes sont inutilisables pour vous et vos équipiers.,216813
14,Aura : Semi-clones inutilisables,Les semi-clones sont inutilisables pour vous et vos équipiers.,216814
15,Aura : Encens inutilisable,L'encens de genévrier est inutilisable pour vous et vos équipiers.,216815
