#,Singular,Plural,NameRank,Unknown0,Adjective,PossessivePronoun,StartsWithVowel,Unknown1,Pronoun,Article
0,,,,,0,0,0,0,0,0
1,soldat 3e classe,soldats 3e classe,soldat,soldat 3e classe des sables,0,0,0,0,0,0
2,soldat 2e classe,soldats 2e classe,soldat,soldat 2e classe des sables,0,0,0,0,0,0
3,soldat 1re classe,soldats 1re classe,soldat,soldat 1re classe des sables,0,0,0,0,0,0
4,caporal,caporaux,caporal,caporal des sables,0,0,0,0,0,0
5,adjudant,adjudants,adjudant,adjudant des sables,0,0,1,0,0,0
6,sergent,sergents,sergent,sergent des sables,0,0,0,0,0,0
7,sergent-major,sergents-majors,sergent-major,sergent-major des sables,0,0,0,0,0,0
8,major,majors,major,major des sables,0,0,0,0,0,0
9,sous-lieutenant,sous-lieutenants,sous-lieutenant,sous-lieutenant des sables,0,0,0,0,0,0
10,lieutenant,lieutenants,lieutenant,lieutenant des sables,0,0,0,0,0,0
11,capitaine,capitaines,capitaine,capitaine des sables,0,0,0,0,0,0
12,sous-commandant,sous-commandants,sous-commandant,sous-commandant des sables,0,0,0,0,0,0
13,commandant,commandants,commandant,commandant des sables,0,0,0,0,0,0
14,colonel,colonels,colonel,colonel des sables,0,0,0,0,0,0
15,sous-maréchal,sous-maréchaux,sous-maréchal,sous-maréchal des sables,0,0,0,0,0,0
16,vice-maréchal,vice-maréchaux,vice-maréchal,vice-maréchal des sables,0,0,0,0,0,0
17,maréchal,maréchaux,maréchal,maréchal des sables,0,0,0,0,0,0
18,grand maréchal,grand maréchaux,grand maréchal,grand maréchal des sables,0,0,0,0,0,0
19,général,généraux,général,général des sables,0,0,0,0,0,0
