#,Class,Surveillance,Retrieval,Speed,Range,Favor,Slot,Rank,Components,RepairMaterials
0,0,0,0,0,0,0,0,0,0,0
1,3,50,40,10,-20,15,2,1,5,1
2,3,20,20,20,20,20,3,1,5,1
3,3,-10,30,20,40,20,0,1,5,1
4,3,-30,20,60,30,15,1,1,5,1
5,2,60,20,20,-15,10,2,15,9,2
6,2,25,5,25,30,30,3,15,9,2
7,2,15,10,0,60,15,0,15,9,2
8,2,15,0,30,40,25,1,15,9,2
9,1,25,60,-15,20,15,2,25,12,3
10,1,0,25,20,45,40,3,25,12,3
11,1,-15,55,35,15,20,0,25,12,3
12,1,15,20,0,55,15,1,25,12,3
13,4,65,10,-10,30,0,2,35,14,4
14,4,55,20,35,-15,50,3,35,14,4
15,4,40,-10,25,40,25,0,35,14,4
16,4,10,25,35,25,25,1,35,14,4
17,5,45,30,-15,40,40,2,45,17,5
18,5,55,20,-5,30,60,3,45,17,5
19,5,10,75,30,-15,5,0,45,17,5
20,5,20,60,35,-15,5,1,45,17,5
21,8,55,50,15,-15,25,2,50,20,6
22,8,25,25,30,25,35,3,50,20,6
23,8,-5,40,25,45,35,0,50,20,6
24,8,-25,25,70,35,25,1,50,20,6
25,7,65,25,25,-10,20,2,50,20,6
26,7,30,10,30,35,40,3,50,20,6
27,7,20,15,5,65,25,0,50,20,6
28,7,20,5,35,45,35,1,50,20,6
29,6,25,65,-10,25,25,2,50,20,6
30,6,0,30,25,50,45,3,50,20,6
31,6,-10,55,40,20,30,0,50,20,6
32,6,20,20,5,60,20,1,50,20,6
33,9,70,15,-10,30,5,2,50,20,6
34,9,60,20,35,-10,55,3,50,20,6
35,9,40,-5,30,40,30,0,50,20,6
36,9,10,25,40,30,30,1,50,20,6
37,10,45,30,-10,40,40,2,50,20,6
38,10,60,20,-5,30,60,3,50,20,6
39,10,10,80,30,-15,10,0,50,20,6
40,10,20,60,35,-10,10,1,50,20,6
