#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10
0,,0,0,0,0,0,0,0,0,0,0
1,physique augmenté de UNKNOWN%,10,10,15,15,20,100,100,100,100,100
2,mental augmenté de UNKNOWN%,10,10,15,15,20,100,100,100,100,100
3,tactique augmentée de UNKNOWN%,10,10,15,15,20,100,100,100,100,100
4,physique de l'escouade augmenté de UNKNOWN%,3,3,3,3,5,100,100,100,100,100
5,mental de l'escouade augmenté de UNKNOWN%,3,3,3,3,5,100,100,100,100,100
6,tactique de l'escouade augmentée de UNKNOWN%,3,3,3,3,5,100,100,100,100,100
7,gain d'expérience augmenté de UNKNOWN%,10,10,20,20,30,100,100,100,100,100
8,gain d'expérience augmenté de UNKNOWN% pour toute l'escouade,5,5,10,10,15,100,100,100,100,100
9,fréquence de déclenchement des affinités augmentée de UNKNOWN%,10,20,30,40,50,100,100,100,100,100
10,UNKNOWN% de chance d'obtenir un manuel d'instruction défensive,0,0,0,0,0,10,20,30,40,50
11,UNKNOWN% de chance d'obtenir un manuel d'instruction magique,0,0,0,0,0,10,20,30,40,50
12,UNKNOWN% de chance d'obtenir un manuel d'instruction offensive,0,0,0,0,0,10,20,30,40,50
13,UNKNOWN% de chance d'obtenir des gils,0,0,0,0,0,10,20,30,40,50
14,UNKNOWN% de chance d'obtenir des sceaux de compagnie,0,0,0,0,0,10,20,30,40,50
15,UNKNOWN% de chance d'obtenir des PGS,0,0,0,0,0,10,20,30,40,50
16,UNKNOWN% de chance d'obtenir une matéria pour tank,0,0,0,0,0,10,20,30,40,50
17,UNKNOWN% de chance d'obtenir une matéria pour DPS physique,0,0,0,0,0,10,20,30,40,50
18,UNKNOWN% de chance d'obtenir une matéria pour mage,0,0,0,0,0,10,20,30,40,50
19,UNKNOWN% de chance d'obtenir une matéria pour récolteur,0,0,0,0,0,10,20,30,40,50
20,UNKNOWN% de chance d'obtenir une matéria pour artisan,0,0,0,0,0,10,20,30,40,50
21,UNKNOWN% de chance d'obtenir des agrégats,0,0,0,0,0,10,20,30,40,50
22,UNKNOWN% de chance d'obtenir des assignats de récolteur,0,0,0,0,0,10,20,30,40,50
23,UNKNOWN% de chance d'obtenir des assignats d'artisan,0,0,0,0,0,10,20,30,40,50
