#,Name,LotteryExchangeParams[0].AmountAccepted,LotteryExchangeParams[0].ItemAccepted,LotteryExchangeParams[0].Unknown0,LotteryExchangeParams[0].Unknown1,LotteryExchangeParams[1].AmountAccepted,LotteryExchangeParams[1].ItemAccepted,LotteryExchangeParams[1].Unknown0,LotteryExchangeParams[1].Unknown1,LotteryExchangeParams[2].AmountAccepted,LotteryExchangeParams[2].ItemAccepted,LotteryExchangeParams[2].Unknown0,LotteryExchangeParams[2].Unknown1,LotteryExchangeParams[3].AmountAccepted,LotteryExchangeParams[3].ItemAccepted,LotteryExchangeParams[3].Unknown0,LotteryExchangeParams[3].Unknown1,LotteryExchangeParams[4].AmountAccepted,LotteryExchangeParams[4].ItemAccepted,LotteryExchangeParams[4].Unknown0,LotteryExchangeParams[4].Unknown1,LotteryExchangeParams[5].AmountAccepted,LotteryExchangeParams[5].ItemAccepted,LotteryExchangeParams[5].Unknown0,LotteryExchangeParams[5].Unknown1,LotteryExchangeParams[6].AmountAccepted,LotteryExchangeParams[6].ItemAccepted,LotteryExchangeParams[6].Unknown0,LotteryExchangeParams[6].Unknown1,LotteryExchangeParams[7].AmountAccepted,LotteryExchangeParams[7].ItemAccepted,LotteryExchangeParams[7].Unknown0,LotteryExchangeParams[7].Unknown1,LotteryExchangeParams[8].AmountAccepted,LotteryExchangeParams[8].ItemAccepted,LotteryExchangeParams[8].Unknown0,LotteryExchangeParams[8].Unknown1,LotteryExchangeParams[9].AmountAccepted,LotteryExchangeParams[9].ItemAccepted,LotteryExchangeParams[9].Unknown0,LotteryExchangeParams[9].Unknown1,LotteryExchangeParams[10].AmountAccepted,LotteryExchangeParams[10].ItemAccepted,LotteryExchangeParams[10].Unknown0,LotteryExchangeParams[10].Unknown1,LotteryExchangeParams[11].AmountAccepted,LotteryExchangeParams[11].ItemAccepted,LotteryExchangeParams[11].Unknown0,LotteryExchangeParams[11].Unknown1,LotteryExchangeParams[12].AmountAccepted,LotteryExchangeParams[12].ItemAccepted,LotteryExchangeParams[12].Unknown0,LotteryExchangeParams[12].Unknown1,LotteryExchangeParams[13].AmountAccepted,LotteryExchangeParams[13].ItemAccepted,LotteryExchangeParams[13].Unknown0,LotteryExchangeParams[13].Unknown1,LotteryExchangeParams[14].AmountAccepted,LotteryExchangeParams[14].ItemAccepted,LotteryExchangeParams[14].Unknown0,LotteryExchangeParams[14].Unknown1,LotteryExchangeParams[15].AmountAccepted,LotteryExchangeParams[15].ItemAccepted,LotteryExchangeParams[15].Unknown0,LotteryExchangeParams[15].Unknown1,LotteryExchangeParams[16].AmountAccepted,LotteryExchangeParams[16].ItemAccepted,LotteryExchangeParams[16].Unknown0,LotteryExchangeParams[16].Unknown1,LotteryExchangeParams[17].AmountAccepted,LotteryExchangeParams[17].ItemAccepted,LotteryExchangeParams[17].Unknown0,LotteryExchangeParams[17].Unknown1,LotteryExchangeParams[18].AmountAccepted,LotteryExchangeParams[18].ItemAccepted,LotteryExchangeParams[18].Unknown0,LotteryExchangeParams[18].Unknown1,LotteryExchangeParams[19].AmountAccepted,LotteryExchangeParams[19].ItemAccepted,LotteryExchangeParams[19].Unknown0,LotteryExchangeParams[19].Unknown1,LotteryExchangeParams[20].AmountAccepted,LotteryExchangeParams[20].ItemAccepted,LotteryExchangeParams[20].Unknown0,LotteryExchangeParams[20].Unknown1,LotteryExchangeParams[21].AmountAccepted,LotteryExchangeParams[21].ItemAccepted,LotteryExchangeParams[21].Unknown0,LotteryExchangeParams[21].Unknown1,LotteryExchangeParams[22].AmountAccepted,LotteryExchangeParams[22].ItemAccepted,LotteryExchangeParams[22].Unknown0,LotteryExchangeParams[22].Unknown1,LotteryExchangeParams[23].AmountAccepted,LotteryExchangeParams[23].ItemAccepted,LotteryExchangeParams[23].Unknown0,LotteryExchangeParams[23].Unknown1,LotteryExchangeParams[24].AmountAccepted,LotteryExchangeParams[24].ItemAccepted,LotteryExchangeParams[24].Unknown0,LotteryExchangeParams[24].Unknown1,LotteryExchangeParams[25].AmountAccepted,LotteryExchangeParams[25].ItemAccepted,LotteryExchangeParams[25].Unknown0,LotteryExchangeParams[25].Unknown1,LotteryExchangeParams[26].AmountAccepted,LotteryExchangeParams[26].ItemAccepted,LotteryExchangeParams[26].Unknown0,LotteryExchangeParams[26].Unknown1,LotteryExchangeParams[27].AmountAccepted,LotteryExchangeParams[27].ItemAccepted,LotteryExchangeParams[27].Unknown0,LotteryExchangeParams[27].Unknown1,LotteryExchangeParams[28].AmountAccepted,LotteryExchangeParams[28].ItemAccepted,LotteryExchangeParams[28].Unknown0,LotteryExchangeParams[28].Unknown1,LotteryExchangeParams[29].AmountAccepted,LotteryExchangeParams[29].ItemAccepted,LotteryExchangeParams[29].Unknown0,LotteryExchangeParams[29].Unknown1,LotteryExchangeParams[30].AmountAccepted,LotteryExchangeParams[30].ItemAccepted,LotteryExchangeParams[30].Unknown0,LotteryExchangeParams[30].Unknown1,LotteryExchangeParams[31].AmountAccepted,LotteryExchangeParams[31].ItemAccepted,LotteryExchangeParams[31].Unknown0,LotteryExchangeParams[31].Unknown1,Script,LogMessage[0],LogMessage[1],LogMessage[2],Unknown0
3407872,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,True
3407873,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,False
3407874,Déverrouillage,1,17341,0,0,40,17342,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7434,7435,0,True
3407875,,1,22508,0,0,1,23142,0,1,1,23379,0,2,1,24141,0,3,1,24142,0,4,1,24848,0,5,1,24849,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LotteryExchangeShopEurekaLockPicker,7434,7435,0,True
3407876,,1,21803,0,0,10,21803,0,1,50,21803,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LotteryExchangeShopEureka1Crystal,3975,3974,0,True
3407877,,1,24007,0,0,1,24008,0,1,1,24009,0,2,1,24010,0,3,1,24011,0,4,1,24012,0,5,1,24013,0,6,1,24014,0,7,1,24809,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LotteryExchangeShopEureka3Shard,3982,3983,0,True
3407878,,1,30884,2,0,1,30885,2,1,1,30886,2,2,1,30887,5,3,1,30888,5,4,1,30889,5,5,1,30890,8,6,1,30891,8,7,1,30892,8,8,1,30893,8,9,1,30894,11,11,1,30895,11,12,1,30896,12,13,1,30897,13,14,1,30898,14,16,1,30899,15,18,1,32162,10,10,1,32163,13,15,1,32164,14,17,1,32165,15,19,1,32831,15,20,1,32832,15,21,1,32833,15,22,1,32834,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LotteryExchangeShopMycTemporaryItem,7437,0,7436,True
3407879,,1,31357,0,0,1,33797,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LotteryExchangeShopMycLockPicker,7434,7435,0,True
3407880,,1,33768,16,0,1,33769,16,1,1,33770,16,2,1,33771,18,3,1,33772,18,4,1,33773,18,5,1,33774,22,6,1,33775,22,7,1,33776,22,8,1,33777,25,9,1,33778,25,10,1,33779,25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LotteryExchangeShopMycTemporaryItem,7437,0,7436,True
3407881,,1,16170,0,0,1,16171,0,0,1,16172,0,0,1,16173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LotteryExchangeShopDeepDungeon1TemporaryItem,7284,7435,0,True
