#,Unknown0,Unknown1,Unknown2
0,Noble sacrifice I,Terminer le plateau avec trois bêtes inconscientes.,True
1,Noble sacrifice II,Terminer le plateau avec deux bêtes inconscientes.,True
2,Noble sacrifice III,Terminer le plateau avec une bête inconsciente.,True
3,Traversée indemne,Terminer le plateau sans qu'aucune bête ne finisse inconsciente.,True
4,Équipe réduite I,Terminer le plateau avec une équipe de six à sept bêtes.,True
5,Équipe réduite II,Terminer le plateau avec une équipe de quatre à cinq bêtes.,True
6,Équipe réduite III,Terminer le plateau avec une équipe de une à trois bêtes.,True
7,Intouchable,Terminer le plateau avec 100% de vos PV.,True
8,Bouclier humain,Terminer le plateau avec chacune de vos bêtes à 100% de PV.,True
9,Maître de l'univers I,"Lancer ""Marche de l'univers"" au moins cinq fois.",False
10,Maître de l'univers II,"Lancer ""Marche de l'univers"" au moins dix fois.",False
11,Maître de l'univers III,"Lancer ""Marche de l'univers"" au moins quinze fois.",False
12,Esquive parfaite,"Terminer le plateau sans subir l'effet ""Malus de dégâts"" ni ""Vulnérabilité augmentée"".",True
13,Au naturel,Terminer le plateau sans obtenir de pièce d'équipement de dressage.,True
14,Arsenal sur pattes,Terminer le plateau avec dix pièces d'équipement de dressage.,True
15,Minimaliste,Terminer le plateau sans utiliser d'objet du Dédale.,True
16,Collectionnite aiguë,Terminer le plateau avec dix objets du Dédale.,True
17,Traversée affamée,Terminer le plateau sans utiliser d'aliment.,True
18,Traversée rassasiée,Terminer le plateau en ayant nourri vos bêtes vingt fois ou plus.,True
19,Grippe-sou,Terminer le plateau sans dépenser un seul jeton bestial.,True
20,Magnat des jetons,Terminer le plateau avec au moins 2 000 jetons en poche.,True
21,Marche forcée,Terminer le plateau sans se reposer dans un campement.,True
22,Maîtrise des thériens,Terminer le plateau avec une équipe composée uniquement de thériens.,True
23,Maîtrise des insectoïdes,Terminer le plateau avec une équipe composée uniquement d'insectoïdes.,True
24,Maîtrise des ptériens,Terminer le plateau avec une équipe composée uniquement de ptériens.,True
25,Maîtrise des floréens,Terminer le plateau avec une équipe composée uniquement de floréens.,True
26,Maîtrise des hydrides,Terminer le plateau avec une équipe composée uniquement d'hydrides.,True
27,Maîtrise des cuirassiens,Terminer le plateau avec une équipe composée uniquement de cuirassiens.,True
28,Maîtrise des animides,Terminer le plateau avec une équipe composée uniquement d'animides.,True
29,Maîtrise des nécroïdes,Terminer le plateau avec une équipe composée uniquement de nécroïdes.,True
30,Sentier bestial I,"Terminer le plateau dans le mode de difficulté ""Sentier bestial I"".",False
31,Sentier bestial II,"Terminer le plateau dans le mode de difficulté ""Sentier bestial II"".",False
32,Sentier bestial III,"Terminer le plateau dans le mode de difficulté ""Sentier bestial III"".",False
