#,Name,Example,Caster,Target,LogKind,Category,DisplayOrder,Preset
0,None,,65535,65535,0,0,0,0
1,Dire,"Cloud Strife : Dites, comment on avance ???",65535,65535,10,1,1,1
2,Hurler,Cloud Strife : Quelqu'un aurait des gils à me donner ?,65535,65535,11,1,3,1
3,Murmurer,">> Cloud Strife : Tu peux m'aider ?
Sephiroth >> Ça dépend. T'as des gils ?",65535,65535,12,1,4,1
4,Équipe,(Cloud Strife) Eh ! Où sont les autres ?,65535,65535,14,1,5,1
5,Emotes standard,Cloud Strife montre du doigt Sephiroth.,65535,65535,29,1,30,1
6,Emotes personnalisées,Celes Chere se recoiffe.,65535,65535,28,1,31,1
7,Compagnie libre,[CL]<Cloud Strife> Salut la compagnie !,65535,65535,24,1,7,1
8,Linkshell [1],[1]<Rosa Farrell> Bonsoir !,65535,65535,16,1,20,1
9,Linkshell [2],[2]<Kain Highwind> Bonjour !,65535,65535,17,1,21,1
10,Linkshell [3],[3]<Lenna Tycoon> Salut les gens !,65535,65535,18,1,22,1
11,Linkshell [4],[4]<Faris Scherwiz> Coucou !,65535,65535,19,1,23,1
12,Linkshell [5],"[5]<Vivi Ornitier> Salut, salut !",65535,65535,20,1,24,1
13,Linkshell [6],[6]<Serah Farron> Bonsoir !,65535,65535,21,1,25,1
14,Linkshell [7],[7]<Semih Lafihna> Salut la compagnie !,65535,65535,22,1,26,1
15,Linkshell [8],[8]<Nanaa Mihgo> Coucou !,65535,65535,23,1,27,1
16,Crier,Cloud Strife : Aeriiiiiith !,65535,65535,30,1,2,1
17,Alliance,((Cloud Strife)) Eeh ! Attendez-moi !,65535,65535,15,1,6,1
18,Réseau des novices,"[RdN]Barret Wallace : Viens par ici, nouveau venu.",65535,65535,27,1,28,1
19,Équipe JcJ,"[Équipe JcJ]<Cloud Strife> Salut, les copains !",65535,65535,36,1,8,1
20,Linkshell inter-Monde [1],[LSIM 1]<Cloud Strife> Salut !,65535,65535,37,1,10,1
21,Messages système,Vous invitez Cloud Strife dans l'équipe.,65535,65535,57,2,1,1
22,,,0,0,0,0,0,0
23,Messages système de récolte,Il n'y a ni filon de minerai ni carrière de pierre dans la région.,65535,65535,59,2,4,1
24,Messages d'erreur système,Votre murmure à Cloud Strife n'a pas pu être envoyé.,65535,65535,60,2,5,1
25,Écho,Écho,65535,65535,56,2,6,1
26,Dialogues des PNJ,"Miounne : Fé­li­ci­ta­tions, et bienvenue.",65535,65535,61,2,16,4
27,Butin,Vous obtenez Excalibur.,65535,65535,62,2,20,1
28,Progression personnelle,Vous atteignez le niveau 50 !,258,65535,64,2,25,1
29,Progression des autres,Cloud Strife atteint le niveau 2 !,2289,65535,64,2,27,1
30,Dés personnels,Vous jetez les dés (Besoin) pour Excalibur. 100 !,2,65535,65,2,30,1
31,Dés des autres,Cloud Strife jette les dés (Cupidité) pour Excalibur. 1 !,65532,65535,65,2,31,1
32,Synthèse personnelle,Vous fabriquez une armure en diamant.,2,65535,66,2,35,1
33,Synthèse des autres,Cloud Strife fabrique un œuf dur.,28,65535,66,2,36,1
34,Livre de correspondance,Un ou plusieurs nouveaux messages ont été laissés dans le livre de cor­res­pon­dance de votre maison de compagnie libre.,65535,65535,79,2,49,1
35,Récolte personnelle,Vous commencez à extraire du minerai.,3,65535,67,2,40,1
36,Pêche des autres,"Cloud Strife a pêché un **anchois limséen** de 3,3 ilms.",252,65535,67,2,41,0
37,Messages système de combat personnels,Vous avez vaincu Ifrit.,1807,65535,58,2,2,2
38,Messages système de combat des autres,Cloud Strife a vaincu une coccinelle.,2193,65535,58,2,3,0
39,Annonces des PNJ,Miounne : Bonjour !,65535,65535,68,2,17,1
40,Annonces de compagnie libre - Modification des rangs,La hiérarchie des rangs a été modifiée.,65535,65535,69,2,11,1
41,Annonces de compagnie libre - Connexion des membres,Cloud Strife s'est connecté.,65535,65535,70,2,13,1
42,Progression des équipiers,Agrias Oaks atteint le niveau 12 !,1548,65535,64,2,26,1
43,Objets vendus aux marchés,Un servant a vendu 2 potions pour 11 gils à Gridania.,65535,65535,71,2,15,1
44,Notifications de recrutement des équipes,"★ 12 équipes recrutent ac­tu­el­le­ment, dont 3 correspondant à vos critères de recherche.",65535,65535,72,2,45,1
45,Détails des signes placés,Cloud Strife place le signe “Cercle” sur Aerith.,65535,65535,73,2,46,1
46,Résultats des lancers de dés,Cloud Strife jette les dés et obtient 777 !,65535,65535,74,2,47,1
47,Annonces du réseau des novices,"(RdN) Vous avez rejoint le réseau des novices.
Participants actuels : Mentors 10/100 - Novices 30/412.",65535,65535,75,2,10,1
48,Lecture en cours de l'orchestrion,L'orchestrion joue désormais “Prelude – Discoveries”.,65535,65535,76,2,48,1
49,Annonces d'équipe JcJ,[Équipe JcJ] Cloud Strife a rejoint l'**équipe JcJ**.,65535,65535,77,2,12,1
50,Annonces d'équipe JcJ - Connexion des membres,[Équipe JcJ] Cloud Strife s'est connecté.,65535,65535,78,2,14,1
51,Dégâts infligés par vous,Vous infligez 1 337 points de dégâts à Ifrit.,2,65535,41,4,1,2
52,Vos attaques manquées,Vous manquez Ifrit.,2,65535,42,4,2,2
53,Vos actions,"Vous lancez Brasier.
Vous annulez Brasier.",2,65535,43,4,3,2
54,Objets utilisés par vous,"Vous utilisez une méga potion.
Vous annulez l'utilisation d'une méga potion.",2,65535,44,4,4,2
55,Soins lancés par vous,   Cloud Strife récupère 666 PV.,2,65535,45,4,5,2
56,Effets bénéfiques lancés par vous,   Cloud Strife bénéficie de l'effet Bouclier.,2,65535,46,4,6,2
57,Effets néfastes lancés par vous,   Ifrit subit l'effet Poison.,2,65535,47,4,7,2
58,Dégâts subis par vous,Ifrit vous inflige 1 337 points de dégâts.,65535,2,41,4,8,2
59,Attaques esquivées par vous,Ifrit vous manque.,65535,2,42,4,9,2
60,Actions utilisées sur vous,"Ifrit lance Explosion volcanique.
Ifrit annule Explosion volcanique.",65535,2,43,4,10,2
61,Objets utilisés sur vous,"Cloud Strife utilise une potion.
Cloud Strife annule l'utilisation d'une potion.",65535,2,44,4,11,2
62,Soins reçus par vous,   Vous récupérez 5 PV.,65535,2,45,4,12,2
63,Effets bénéfiques reçus par vous,   Vous bénéficiez de l'effet Bouclier.,65535,2,46,4,13,2
64,Effets néfastes subis par vous,   Vous subissez l'effet Poison.,65535,2,47,4,14,2
65,Fin des effets bénéfiques reçus par vous,Vous perdez l'effet Bouclier.,65535,2,48,4,15,2
66,Fin des effets néfastes subis par vous,Vous ne subissez plus l'effet Poison.,65535,2,49,4,16,2
67,Alerte," Alerte : dans 0 minute, il sera 12:34 .",65535,65535,55,2,50,1
68,Application de mirage,Vous projetez un mirage pour changer l'apparence de votre tenue.,65535,65535,54,2,51,1
69,,,0,0,0,0,0,0
70,,,0,0,0,0,0,0
71,Dégâts infligés par vos équipiers,Cloud Strife inflige 2 points de dégâts à la coccinelle.,4,65535,41,5,1,2
72,Attaques manquées de vos équipiers,Cloud Strife manque la coccinelle.,4,65535,42,5,2,2
73,Actions de vos équipiers,"Cloud Strife lance Pierre.
Cloud Strife annule Pierre.",4,65535,43,5,3,2
74,Objets utilisés par vos équipiers,"Cloud Strife utilise une potion.
Cloud Strife annule l'utilisation d'une potion.",4,65535,44,5,4,2
75,Soins lancés par vos équipiers,   Cloud Strife récupère 5 PV.,4,65535,45,5,5,2
76,Effets bénéfiques lancés par vos équipiers,   Cloud Strife bénéficie de l'effet Bouclier.,4,65535,46,5,6,2
77,Effets néfastes lancés par vos équipiers,   Ifrit subit l'effet Poison.,4,65535,47,5,7,2
78,Dégâts subis par vos équipiers,Ifrit inflige à Cloud Strife 9 999 points de dégâts.,65535,4,41,5,8,2
79,Attaques esquivées par vos équipiers,Ifrit manque Cloud Strife.,65535,4,42,5,9,2
