#,Objective
0,
1,Vaincre les cibles
2,Récupérer les objets désignés
3,Éliminer les cibles
4,Traquer et éliminer les cibles
5,Affaiblir la cible puis la calmer avec l'emote /apaiser
6,"Attaquer la cible pour révéler la véritable forme de la cible, puis la vaincre"
7,Vaincre toutes les cibles dans les zones désignées
8,Réunir les pages du Nécrologos et vaincre la créature invoquée
9,Utiliser l'emote */viens* (Inviter) pour mener  en lieu sûr
10,"Récolter aux endroits désignés
Bonus de récompense selon l'évaluation :
286 ou plus : +   5%
303 ou plus : + 10%
320 ou plus : + 25%"
11,Obtenir tous les objets désignés
12,Aller dans tous les lieux spécifiés pour récupérer les objets désignés
13,"Inspecter les lieux désignés
Bonus de récompense selon l'évaluation :
143 ou plus : +   5%
152 ou plus : + 10%
160 ou plus : + 25%"
14,Apporter les objets aux lieux désignés
15,Le mandat échoue si trop peu d'objets sont obtenus
16,Inspecter le lieu désigné
17,Attirer puis éliminer les cibles
18,"Récolter aux endroits désignés
Bonus de récompense selon l'évaluation :
429 ou plus : +   5%
454 ou plus : + 10%
479 ou plus : + 25%"
19,"Inspecter les lieux désignés
Bonus de récompense selon l'évaluation :
215 ou plus : +   5%
227 ou plus : + 10%
240 ou plus : + 25%"
20,Réunir les pages du Nécrologos en terrassant les ennemis et vaincre la créature invoquée
21,Progression 
22,Zones sécurisées 
23,"Les cibles se mettront en colère si vous tentez de les apaiser trop tôt
(Le mandat échoue si les cibles sont tuées)"
24,Vaincre des  pour obtenir des 
25,Le mandat échoue à la mort 
26,Protéger l'objet de la mission et vaincre les ennemis
27,Vaincre autant d'ennemis que possible dans le temps imparti
28,Découvrir l'ennemi qui possède  et le vaincre
29,
30,Abattre l'ennemi qui appelle des renforts
31,Le mandat échoue si trop peu d'ennemis sont éliminés
32,Éliminer les ennemis qui répondent à l'emote /toucher et récupérer 
33,Le mandat échoue si tous  sont perdus
34,Obtenir  sur  et l'utiliser sur  pour attirer 
35,Les cibles se mettront en colère si vous tentez de les apaiser trop tôt
