#,StartTime[0],StartTime[1],StartTime[2],Duration[0],Duration[1],Duration[2]
0,65535,65535,65535,0,0,0
1,900,65535,65535,300,0,0
2,1300,65535,65535,300,0,0
3,1700,65535,65535,300,0,0
4,900,65535,65535,300,0,0
5,100,500,900,300,300,300
6,100,65535,65535,300,0,0
7,500,65535,65535,300,0,0
8,2100,65535,65535,300,0,0
9,500,65535,65535,300,0,0
10,1300,65535,65535,300,0,0
11,1300,65535,65535,300,0,0
12,100,65535,65535,300,0,0
13,900,65535,65535,300,0,0
14,1700,65535,65535,300,0,0
15,2100,65535,65535,300,0,0
16,500,65535,65535,300,0,0
17,1300,1700,2100,300,300,300
18,300,65535,65535,300,0,0
19,900,65535,65535,300,0,0
20,700,65535,65535,300,0,0
21,200,65535,65535,300,0,0
22,800,65535,65535,300,0,0
23,600,65535,65535,300,0,0
24,300,65535,65535,300,0,0
25,400,65535,65535,300,0,0
26,1800,65535,65535,300,0,0
27,1900,65535,65535,300,0,0
28,600,65535,65535,300,0,0
29,500,65535,65535,300,0,0
30,200,65535,65535,300,0,0
31,600,65535,65535,300,0,0
32,200,65535,65535,300,0,0
33,400,65535,65535,300,0,0
34,400,65535,65535,300,0,0
35,1000,65535,65535,300,0,0
36,100,65535,65535,300,0,0
37,1700,65535,65535,300,0,0
38,1700,65535,65535,300,0,0
39,65535,65535,65535,0,0,0
40,65535,65535,65535,0,0,0
41,65535,65535,65535,0,0,0
42,1000,2200,65535,160,160,0
43,65535,65535,65535,0,0,0
44,0,1200,65535,160,160,0
45,1000,2200,65535,160,160,0
46,200,1400,65535,160,160,0
47,0,1200,65535,160,160,0
48,600,1800,65535,160,160,0
49,400,1600,65535,160,160,0
50,800,2000,65535,160,160,0
51,0,1200,65535,160,160,0
52,200,1400,65535,160,160,0
53,400,1600,65535,160,160,0
54,600,1800,65535,160,160,0
55,1000,2200,65535,160,160,0
56,600,1800,65535,160,160,0
57,400,1600,65535,160,160,0
58,0,1200,65535,160,160,0
59,1000,2200,65535,160,160,0
60,200,1400,65535,160,160,0
61,800,2000,65535,160,160,0
62,800,2000,65535,160,160,0
63,200,1400,65535,160,160,0
64,800,2000,65535,160,160,0
65,600,1800,65535,160,160,0
66,0,1200,65535,160,160,0
67,400,1600,65535,160,160,0
68,1000,2200,65535,160,160,0
69,600,1800,65535,160,160,0
70,0,1200,65535,160,160,0
71,400,1600,65535,160,160,0
72,800,2000,65535,160,160,0
73,200,1400,65535,160,160,0
74,600,1800,65535,160,160,0
75,1000,2200,65535,160,160,0
76,200,1400,65535,160,160,0
77,0,1200,65535,160,160,0
78,400,1600,65535,160,160,0
79,600,1800,65535,160,160,0
80,0,1200,65535,160,160,0
81,800,2000,65535,160,160,0
82,1000,2200,65535,160,160,0
83,400,1600,65535,160,160,0
84,65535,65535,65535,0,0,0
85,1000,2200,65535,160,160,0
86,800,2000,65535,160,160,0
87,400,1600,65535,160,160,0
88,200,1400,65535,160,160,0
89,600,1800,65535,160,160,0
90,600,1800,65535,160,160,0
91,0,1200,65535,160,160,0
92,600,1800,65535,160,160,0
93,800,2000,65535,160,160,0
94,400,1600,65535,160,160,0
95,200,1400,65535,160,160,0
96,0,1200,65535,160,160,0
97,1000,2200,65535,160,160,0
98,400,1600,65535,160,160,0
99,200,1400,65535,160,160,0
100,200,1400,65535,160,160,0
101,600,1800,65535,160,160,0
102,400,1600,65535,160,160,0
103,0,1200,65535,160,160,0
104,600,1800,65535,160,160,0
105,0,1200,65535,160,160,0
106,400,1600,65535,160,160,0
107,1000,2200,65535,160,160,0
108,65535,65535,65535,0,0,0
109,0,1200,65535,160,160,0
110,1000,2200,65535,160,160,0
111,800,2000,65535,160,160,0
112,0,1200,65535,160,160,0
113,600,1800,65535,160,160,0
114,200,1400,65535,160,160,0
115,800,2000,65535,160,160,0
116,200,1400,65535,160,160,0
117,600,1800,65535,160,160,0
118,800,2000,65535,160,160,0
119,0,1200,65535,160,160,0
120,1000,2200,65535,160,160,0
121,400,1600,65535,160,160,0
122,400,1600,65535,160,160,0
123,200,1400,65535,160,160,0
124,800,2000,65535,160,160,0
125,0,1200,65535,160,160,0
126,600,1800,65535,160,160,0
127,1000,2200,65535,160,160,0
128,0,1200,65535,160,160,0
129,200,1400,65535,160,160,0
130,400,1600,65535,160,160,0
131,600,1800,65535,160,160,0
132,800,2000,65535,160,160,0
133,1000,2200,65535,160,160,0
