#,TemporaryAction,Unknown2,Unknown1,RequiredItem[0],RequiredItem[1],RequiredItem[2],RequiredItemQuantity[0],RequiredItemQuantity[1],RequiredItemQuantity[2],Unknown9,Unknown10,Unknown11,Unknown12,MapMarker,Unknown18,Unknown19,WKSMissionText,Unknown14,Unknown15,Unknown16,Unknown17,MissionType
0,0,0,2000000,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,2000000,0,0,0,0,0,0,0,0,0,4,23,100,0,115,0,1,0,5,8
9,0,540,2000000,0,0,0,0,0,0,0,0,0,5,24,100,0,117,0,4,0,0,7
10,0,0,2000000,53,0,0,2,0,0,0,0,0,6,25,100,0,114,0,3,0,0,8
11,0,1000,2000000,0,0,0,0,0,0,0,426,0,7,26,100,0,121,0,4,0,0,1
12,0,0,2000000,0,0,0,0,0,0,2,0,0,8,23,100,0,113,0,2,2,0,8
13,0,2000,2000000,0,0,0,0,0,0,0,0,0,9,24,100,0,119,0,4,0,0,6
14,0,1570,2000000,0,0,0,0,0,0,0,0,0,10,26,100,0,117,0,4,0,0,7
15,0,0,2000000,69,70,0,1,1,0,0,0,0,11,23,100,0,114,0,3,0,0,8
16,0,1000,2000000,0,0,0,0,0,0,0,427,0,12,25,100,0,121,0,4,0,0,1
17,0,0,2000000,0,0,0,0,0,0,2,0,0,13,26,100,0,116,0,2,2,0,9
18,0,20000,2000000,0,0,0,0,0,0,0,0,0,14,23,100,0,119,0,4,0,0,6
19,0,200,2000000,0,0,0,0,0,0,0,428,0,15,25,100,0,122,0,4,0,0,1
20,0,0,2000000,0,0,0,0,0,0,4,0,0,16,24,100,0,113,0,2,2,0,8
21,0,0,2000000,95,0,0,3,0,0,0,0,0,17,27,100,0,114,0,3,0,0,8
22,41278,3000,2000000,0,0,0,0,0,0,0,429,0,18,23,100,0,121,0,4,0,0,1
23,0,0,2000000,0,0,0,0,0,0,3,0,0,19,27,100,0,116,0,2,2,0,9
24,0,3690,2000000,0,0,0,0,0,0,0,0,0,20,24,100,0,120,0,4,0,0,7
25,41278,2400,2000000,0,0,0,0,0,0,0,430,0,21,28,100,0,122,0,4,0,0,1
26,0,0,2000000,0,0,0,0,0,0,4,0,0,22,25,100,0,113,0,2,2,0,8
27,0,0,2000000,0,0,0,0,0,0,0,0,0,23,26,100,0,115,0,1,0,13,8
28,0,35000,2000000,0,0,0,0,0,0,0,0,0,24,28,100,0,119,0,4,0,0,6
29,0,0,2000000,135,0,0,1,0,0,0,0,0,25,24,100,0,114,0,3,0,0,8
30,0,1500,2000000,0,0,0,0,0,0,0,431,0,26,25,100,0,118,0,4,0,0,1
31,0,0,2000000,0,0,0,0,0,0,0,0,0,27,27,100,0,115,0,1,0,18,8
32,41278,5500,2000000,0,0,0,0,0,0,0,432,0,28,28,100,0,121,0,4,0,0,1
33,41278,5000,2000000,0,0,0,0,0,0,0,433,0,29,27,100,0,122,0,4,0,0,1
34,0,7730,2000000,0,0,0,0,0,0,0,0,0,30,23,100,0,117,0,4,0,0,7
35,0,30000,2000000,0,0,0,0,0,0,0,0,0,31,26,100,0,119,0,4,0,0,6
36,0,1500,2000000,0,0,0,0,0,0,0,482,0,32,31,100,0,118,0,4,0,0,1
37,0,0,2000000,0,0,0,0,0,0,0,0,0,33,29,100,0,115,0,1,0,18,8
38,0,0,2000000,222,0,0,1,0,0,0,0,0,34,28,100,0,114,0,3,0,0,8
39,0,4660,2000000,0,0,0,0,0,0,0,0,0,35,27,100,0,120,0,4,0,0,7
40,0,0,2000000,0,0,0,0,0,0,4,0,0,36,28,100,0,116,0,2,2,0,9
41,0,0,2000000,198,0,0,1,0,0,0,0,0,37,26,100,0,114,0,3,0,0,8
42,0,4510,2000000,0,0,0,0,0,0,0,0,0,38,25,100,0,120,0,4,0,0,7
43,0,0,2000000,0,0,0,0,0,0,5,0,0,39,23,100,0,113,0,2,2,0,8
44,41278,7900,2000000,0,0,0,0,0,0,0,434,0,40,27,100,0,121,0,4,0,0,1
45,41278,11700,2000000,0,0,0,0,0,0,0,435,0,41,24,100,0,121,0,4,0,0,1
